source_node,target_node,num_paths
GABRG3,GABRE,1
GABRG3,GABRP,2
GABRG3,GABRQ,8
GABRD,GABRE,1
GABRD,GABRP,2
JAK2,CREM,2
GABRD,GABRQ,3
GABRP,GABRQ,2
GABRG2,GABRG3,8
NTRK2,CREB1,7
GABRE,GABRQ,1
GABRG1,GABRQ,2
GABRE,GABRP,2
CREM,CREB1,5
