Source,Target,edgeID,signal,color
"RAC1","RHOA","None","a","#000000"
"RAC1","RAC1","id4838def1","a","#000000"
"RAC1","PAK2","ide31f3ac1","a","#000000"
"RAC1","PAK3","ide31f3ac1","a","#000000"
"RAC1","PAK4","ide31f3ac1","a","#000000"
"RAC1","PAK5","ide31f3ac1","a","#000000"
"RAC1","PAK6","ide31f3ac1","a","#000000"
"RAC1","PAK1","ide31f3ac1","a","#000000"
"RAC1","CDH11","C0IWY_0SQ3L_3TKLL_4WU1O_b4450_5","a","#nan"
"RAC1","NGEF","C0IWY_0SQ3L_3TKLL_4WU1O_b4450_5","a","#nan"
"RAC1","TIAM1","b4450_3TKLL_unlabeled","a","#unlabeled"
"RAC1","TRIO","C0IWY_0SQ3L_3TKLL_4WU1O_b4450_5","a","#nan"
"RHOA","Cytokeleton
remodeling","id98761c5a","a","#000000"
"proBDNF","NGFR","None","a","#000000"
"proBDNF","NTRK2","None","a","#000000"
"proBDNF","SORT1","None","a","#000000"
"NGFR","NGFR-ICD","None","a","#000000"
"NGFR","NTRK2","d1f4e_f1c64_unlabeled","a","#unlabeled"
"NGFR","KIDINS220","a7084_c17f2_ddf43_3","a","#nan"
"NGFR","SORT1","d1f4e_f1c64_a3268_1","a","#nan"
"NGFR","NGFR","None","None","None"
"NTRK2","NGFR-ICD","None","a","#000000"
"NTRK2","NGFR","f1c64_d1f4e_unlabeled","a","#unlabeled"
"NTRK2","KIDINS220","a7084_c17f2_unlabeled","a","#unlabeled"
"NTRK2","SORT1","f1c64_a3268_unlabeled","a","#unlabeled"
"NTRK2","NTRK2","None","None","None"
"SORT1","NGFR-ICD","None","a","#000000"
"SORT1","NGFR","d1f4e_f1c64_a3268_3","a","#nan"
"SORT1","NTRK2","a3268_f1c64_unlabeled","a","#unlabeled"
"NGFR-ICD","AKT2","None","a","#000000"
"NGFR-ICD","AKT3","None","a","#000000"
"NGFR-ICD","AKT1","None","a","#000000"
"AKT2","AKT3","KY5P7_PFQ2Z_unlabeled","a","#unlabeled"
"AKT2","AKT1","KY5P7_a7d31_unlabeled","a","#unlabeled"
"AKT2","AKT2","id8275b8c2","a","#000000"
"AKT2","FOS","idea9d954d","a","#000000"
"AKT2","JUN","idea9d954d","a","#000000"
"AKT3","AKT3","id8275b8c2","a","#000000"
"AKT3","AKT1","PFQ2Z_a7d31_KY5P7_1","a","#nan"
