source|target|source_label|target_label|source_id|target_id
KIF5B|SYNE4|KIF5B|SYNE4|http://www.ncbi.nlm.nih.gov/gene/3799|http://www.ncbi.nlm.nih.gov/gene/163183
TGFB3|Smad2|TGFB3|Smad2|http://www.ncbi.nlm.nih.gov/gene/7043|http://www.ncbi.nlm.nih.gov/gene/4087
TGFB3|Smad3|TGFB3|Smad3|http://www.ncbi.nlm.nih.gov/gene/7043|http://www.ncbi.nlm.nih.gov/gene/4088
TGFB2|TGFB3|TGFB2|TGFB3|http://www.ncbi.nlm.nih.gov/gene/7042|http://www.ncbi.nlm.nih.gov/gene/7043
TGFB2|Smad2|TGFB2|Smad2|http://www.ncbi.nlm.nih.gov/gene/7042|http://www.ncbi.nlm.nih.gov/gene/4087
TGFB2|Smad3|TGFB2|Smad3|http://www.ncbi.nlm.nih.gov/gene/7042|http://www.ncbi.nlm.nih.gov/gene/4088
TGFB1|TGFB3|TGFB1|TGFB3|http://www.ncbi.nlm.nih.gov/gene/7040|http://www.ncbi.nlm.nih.gov/gene/7043
TGFB1|TGFB2|TGFB1|TGFB2|http://www.ncbi.nlm.nih.gov/gene/7040|http://www.ncbi.nlm.nih.gov/gene/7042
TGFB1|Smad2|TGFB1|Smad2|http://www.ncbi.nlm.nih.gov/gene/7040|http://www.ncbi.nlm.nih.gov/gene/4087
TGFB1|Smad3|TGFB1|Smad3|http://www.ncbi.nlm.nih.gov/gene/7040|http://www.ncbi.nlm.nih.gov/gene/4088
Microtubule|KIF5B|Microtubule|KIF5B|http://purl.obolibrary.org/obo/GO_0005874|http://www.ncbi.nlm.nih.gov/gene/3799
MAP2K1|MAPK3|MAP2K1|MAPK3|http://www.ncbi.nlm.nih.gov/gene/5604|http://www.ncbi.nlm.nih.gov/gene/5595
Smad3|Smad3|Smad3|Smad3|http://www.ncbi.nlm.nih.gov/gene/4088|http://www.ncbi.nlm.nih.gov/gene/4088
MAP2K1|MAPK1|MAP2K1|MAPK1|http://www.ncbi.nlm.nih.gov/gene/5604|http://www.ncbi.nlm.nih.gov/gene/5594
MAP2K1|Smad2|MAP2K1|Smad2|http://www.ncbi.nlm.nih.gov/gene/5604|http://www.ncbi.nlm.nih.gov/gene/4087
MAP2K1|Smad3|MAP2K1|Smad3|http://www.ncbi.nlm.nih.gov/gene/5604|http://www.ncbi.nlm.nih.gov/gene/4088
Smad2|Smad2|Smad2|Smad2|http://www.ncbi.nlm.nih.gov/gene/4087|http://www.ncbi.nlm.nih.gov/gene/4087
Smad3|Smad4|Smad3|Smad4|http://www.ncbi.nlm.nih.gov/gene/4088|http://www.ncbi.nlm.nih.gov/gene/4089
Smad3|Smad2|Smad3|Smad2|http://www.ncbi.nlm.nih.gov/gene/4088|http://www.ncbi.nlm.nih.gov/gene/4087
MAP2K2|MAP2K1|MAP2K2|MAP2K1|http://www.ncbi.nlm.nih.gov/gene/5605|http://www.ncbi.nlm.nih.gov/gene/5604
MAP2K2|MAPK3|MAP2K2|MAPK3|http://www.ncbi.nlm.nih.gov/gene/5605|http://www.ncbi.nlm.nih.gov/gene/5595
MAP2K2|MAPK1|MAP2K2|MAPK1|http://www.ncbi.nlm.nih.gov/gene/5605|http://www.ncbi.nlm.nih.gov/gene/5594
MAP2K2|Smad2|MAP2K2|Smad2|http://www.ncbi.nlm.nih.gov/gene/5605|http://www.ncbi.nlm.nih.gov/gene/4087
MAP2K2|Smad3|MAP2K2|Smad3|http://www.ncbi.nlm.nih.gov/gene/5605|http://www.ncbi.nlm.nih.gov/gene/4088
TAZ|TAZ|TAZ|TAZ|http://www.ncbi.nlm.nih.gov/gene/6901|http://www.ncbi.nlm.nih.gov/gene/6901
TAZ|YY1AP1|TAZ|YY1AP1|http://www.ncbi.nlm.nih.gov/gene/6901|http://www.ncbi.nlm.nih.gov/gene/55249
MAP3K9|SRF|MAP3K9|SRF|http://www.ncbi.nlm.nih.gov/gene/4293|http://www.ncbi.nlm.nih.gov/gene/6722
MAP3K9|TAZ|MAP3K9|TAZ|http://www.ncbi.nlm.nih.gov/gene/4293|http://www.ncbi.nlm.nih.gov/gene/6901
ADCY6|ADCY6|ADCY6|ADCY6|http://www.ncbi.nlm.nih.gov/gene/112|http://www.ncbi.nlm.nih.gov/gene/112
Intermediate filament|PLEC|Intermediate filament|PLEC|http://purl.obolibrary.org/obo/GO_0005882|http://www.ncbi.nlm.nih.gov/gene/5339
PLEC|SYNE3|PLEC|SYNE3|http://www.ncbi.nlm.nih.gov/gene/5339|http://www.ncbi.nlm.nih.gov/gene/161176
SOS2|HRAS|SOS2|HRAS|http://www.ncbi.nlm.nih.gov/gene/6655|http://www.ncbi.nlm.nih.gov/gene/3265
SOS2|NRAS|SOS2|NRAS|http://www.ncbi.nlm.nih.gov/gene/6655|http://www.ncbi.nlm.nih.gov/gene/4893
TMEM43|SUN|TMEM43|SUN|http://www.ncbi.nlm.nih.gov/gene/79188|http://www.ncbi.nlm.nih.gov/gene/23353
SYNE3|SUN|SYNE3|SUN|http://www.ncbi.nlm.nih.gov/gene/161176|http://www.ncbi.nlm.nih.gov/gene/23353
EMD|BANF1|EMD|BANF1|http://www.ncbi.nlm.nih.gov/gene/2010|http://www.ncbi.nlm.nih.gov/gene/8815
MAPK3|MAPK3|MAPK3|MAPK3|http://www.ncbi.nlm.nih.gov/gene/5595|http://www.ncbi.nlm.nih.gov/gene/5595
MAPK1|MAPK1|MAPK1|MAPK1|http://www.ncbi.nlm.nih.gov/gene/5594|http://www.ncbi.nlm.nih.gov/gene/5594
MAPK1|MAPK3|MAPK1|MAPK3|http://www.ncbi.nlm.nih.gov/gene/5594|http://www.ncbi.nlm.nih.gov/gene/5595
TMPO|BANF1|TMPO|BANF1|http://www.ncbi.nlm.nih.gov/gene/7112|http://www.ncbi.nlm.nih.gov/gene/8815
LBR|BANF1|LBR|BANF1|http://www.ncbi.nlm.nih.gov/gene/3930|http://www.ncbi.nlm.nih.gov/gene/8815
Cofilin-1|MAPK3|Cofilin-1|MAPK3|http://www.ncbi.nlm.nih.gov/gene/1072|http://www.ncbi.nlm.nih.gov/gene/5595
Cofilin-1|F-actin|Cofilin-1|F-actin|http://www.ncbi.nlm.nih.gov/gene/1072|http://purl.obolibrary.org/obo/GO_0031941
RhoA|MAPK3|RhoA|MAPK3|http://www.ncbi.nlm.nih.gov/gene/387|http://www.ncbi.nlm.nih.gov/gene/5595
RhoA|MAPK1|RhoA|MAPK1|http://www.ncbi.nlm.nih.gov/gene/387|http://www.ncbi.nlm.nih.gov/gene/5594
RhoA|MAP3K9|RhoA|MAP3K9|http://www.ncbi.nlm.nih.gov/gene/387|http://www.ncbi.nlm.nih.gov/gene/4293
SYNE2|SUN|SYNE2|SUN|http://www.ncbi.nlm.nih.gov/gene/23224|http://www.ncbi.nlm.nih.gov/gene/23353
SYNE1|SYNE2|SYNE1|SYNE2|http://www.ncbi.nlm.nih.gov/gene/23345|http://www.ncbi.nlm.nih.gov/gene/23224
SYNE1|SUN|SYNE1|SUN|http://www.ncbi.nlm.nih.gov/gene/23345|http://www.ncbi.nlm.nih.gov/gene/23353
F-actin|SYNE2|F-actin|SYNE2|http://purl.obolibrary.org/obo/GO_0031941|http://www.ncbi.nlm.nih.gov/gene/23224
F-actin|SYNE1|F-actin|SYNE1|http://purl.obolibrary.org/obo/GO_0031941|http://www.ncbi.nlm.nih.gov/gene/23345
KRAS|MAP2K1|KRAS|MAP2K1|http://www.ncbi.nlm.nih.gov/gene/3845|http://www.ncbi.nlm.nih.gov/gene/5604
KRAS|MAP2K2|KRAS|MAP2K2|http://www.ncbi.nlm.nih.gov/gene/3845|http://www.ncbi.nlm.nih.gov/gene/5605
NRAS|KRAS|NRAS|KRAS|http://www.ncbi.nlm.nih.gov/gene/4893|http://www.ncbi.nlm.nih.gov/gene/3845
NRAS|MAP2K1|NRAS|MAP2K1|http://www.ncbi.nlm.nih.gov/gene/4893|http://www.ncbi.nlm.nih.gov/gene/5604
