Source,Target,edgeID,signal,color
"CYP19A1","Estradiol-17beta","id90673804","a","#000000"
"HSD17B1","Estradiol-17beta","idf88bcdf0","a","#000000"
"HSD17B1","NADH dianion","None","None","None"
"HSD17B1","NAD anion","None","None","None"
"STS","estrone","id7688567b","a","#000000"
"STS","DHEA","idfefe8251","a","#000000"
"STS","Estradiol-17beta","idf0535e6c","a","#000000"
"testosterone","Estradiol-17beta","id90673804","a","#000000"
"Estradiol-17beta","Estradiol-17beta","id725a25d7","a","#000000"
"Estradiol-17beta","estradiol 3-sulphate","id7e4f4e24","a","#000000"
"Estradiol-17beta","ESR2","id367d3891","a","#000000"
"Estradiol-17beta","ESR1","id367d3891","a","#000000"
"Estradiol-17beta","estrone","idd8141160","a","#000000"
"estrone","estrone sulphate","idd54253f5","a","#000000"
"estrone","Estradiol-17beta","idf88bcdf0","a","#000000"
"estrone sulphate","estrone","id7688567b","a","#000000"
"estrone sulphate","estrone sulphate","id777f3bad","a","#000000"
"SULT1E1","DHEA-S","idd57dc9ff","a","#000000"
"SULT1E1","estradiol 3-sulphate","id7e4f4e24","a","#000000"
"SULT1E1","PAP","None","None","None"
"SULT1E1","PAPS(4-)","None","None","None"
"DHEA","DHEA-S","idd57dc9ff","a","#000000"
"DHEA","Androstenedione","d391d","a","#000000"
"DHEA-S","DHEA","idfefe8251","a","#000000"
"DHEA-S","DHEA-S","ide6322db8","a","#000000"
"PAPS(4-)","estrone sulphate","idd54253f5","a","#000000"
"HSD17B2","NADH dianion","None","None","None"
"HSD17B3","testosterone","idf3869959","a","#000000"
"HSD17B3","NADPH tetraanion","None","None","None"
"HSD17B3","NADP trianion","None","None","None"
"NAD anion","estrone","idd8141160","a","#000000"
"HSD3B1","Androstenedione","d391d","a","#000000"
"estradiol 3-sulphate","Estradiol-17beta","idf0535e6c","a","#000000"
"ESR2","ESR1","d2ff1_d8e9c_unlabeled","a","#unlabeled"
"ESR1","ESR2","d8e9c_d2ff1_unlabeled","a","#unlabeled"
"Androstenedione","testosterone","idf3869959","a","#000000"
"SLCO1B1","estrone sulphate","id777f3bad","a","#000000"
