,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,WDR35,AN35R,da860,187.0,187.5,80.0,20.0,#None,Entrez Gene,57539,POINT (187 187.5)
1,IFT122,KC75U,da860,187.0,207.5,80.0,20.0,#None,Entrez Gene,55764,POINT (187 207.5)
2,IFT140,EPXC0,da860,187.0,227.5,80.0,20.0,#None,Entrez Gene,9742,POINT (187 227.5)
3,WDR19,IWY0S,da860,187.0,247.5,80.0,20.0,#None,Entrez Gene,57728,POINT (187 247.5)
4,IFT22,Q3LTX,da860,295.0,189.5,80.0,20.0,#None,Entrez Gene,64792,POINT (295 189.5)
5,HSPB11,I3P2Y,da860,295.0,209.5,80.0,20.0,#None,Entrez Gene,51668,POINT (295 209.5)
6,IFT27,CAPIM,da860,295.0,229.5,80.0,20.0,#None,Entrez Gene,11020,POINT (295 229.5)
7,IFT43,T8XPU,da860,187.0,267.5,80.0,20.0,#None,Entrez Gene,112752,POINT (187 267.5)
8,IFT46,9214E,da860,295.0,249.5,80.0,20.0,#None,Entrez Gene,56912,POINT (295 249.5)
9,IFT80,U6KO0,da860,397.0,190.5,80.0,20.0,#None,Entrez Gene,57560,POINT (397 190.5)
10,IFT81,PCC5T,da860,295.0,269.5,80.0,20.0,#None,Entrez Gene,28981,POINT (295 269.5)
11,DYNLL2,a0505,f17ff,187.0,611.0,90.0,25.0,#None,Ensembl,ENSG00000264364,POINT (187 611)
12,TCTEX1D2,b77ca,b7eae,397.0,687.0,90.0,25.0,#None,Ensembl,ENSG00000213123,POINT (397 687)
13,DYNLT1,b88b3,f17ff,187.0,636.0,90.0,25.0,#None,Ensembl,ENSG00000146425,POINT (187 636)
14,DYNC1LI1,bd605,f17ff,187.0,457.0,90.0,25.0,#None,Ensembl,ENSG00000144635,POINT (187 457)
15,WDR34,c77cf,b7eae,397.0,420.0,90.0,25.0,#None,Ensembl,ENSG00000119333,POINT (397 420)
16,DYNC1H1,c9eb2,f17ff,187.0,341.0,90.0,25.0,#None,Ensembl,ENSG00000197102,POINT (187 341)
17,DYNLRB1,cd250,f17ff,187.0,536.0,90.0,25.0,#None,Ensembl,ENSG00000125971,POINT (187 536)
18,DYNC2H1,ce425,b7eae,397.0,342.0,90.0,25.0,#None,Ensembl,ENSG00000187240,POINT (397 342)
19,DYNC2LI1,ce63c,b7eae,397.0,459.0,90.0,25.0,#None,Ensembl,ENSG00000138036,POINT (397 459)
20,DYNLL1,dc81d,f17ff,187.0,586.0,90.0,25.0,#None,Ensembl,ENSG00000088986,POINT (187 586)
21,DYNC1I2,dde0a,f17ff,187.0,420.0,90.0,25.0,#None,Ensembl,ENSG00000077380,POINT (187 420)
22,DYNC1I1,e4767,f17ff,187.0,395.0,90.0,25.0,#None,Ensembl,ENSG00000158560,POINT (187 395)
23,DYNLRB2,e9601,f17ff,187.0,561.0,90.0,25.0,#None,Ensembl,ENSG00000168589,POINT (187 561)
24,WDR60,f5372,b7eae,397.0,395.0,90.0,25.0,#None,Ensembl,ENSG00000126870,POINT (397 395)
25,DYNLT3,f24c0,f17ff,187.0,661.0,90.0,25.0,#None,Ensembl,ENSG00000165169,POINT (187 661)
26,DYNLL2,f0701,b7eae,397.0,612.0,90.0,25.0,#None,Ensembl,ENSG00000264364,POINT (397 612)
27,DYNLT1,ac44f,b7eae,397.0,637.0,90.0,25.0,#None,Ensembl,ENSG00000146425,POINT (397 637)
28,DYNLRB1,ef11b,b7eae,397.0,537.0,90.0,25.0,#None,Ensembl,ENSG00000125971,POINT (397 537)
29,DYNLL1,b53fe,b7eae,397.0,587.0,90.0,25.0,#None,Ensembl,ENSG00000088986,POINT (397 587)
30,DYNLRB2,d6173,b7eae,397.0,562.0,90.0,25.0,#None,Ensembl,ENSG00000168589,POINT (397 562)
31,DYNLT3,ed6f7,b7eae,397.0,662.0,90.0,25.0,#None,Ensembl,ENSG00000165169,POINT (397 662)
32,DYNC1LI2,e084a,f17ff,187.0,482.0,90.0,25.0,#None,Ensembl,ENSG00000135720,POINT (187 482)
