source|target|source_label|target_label|source_id|target_id
PPP1R14A|PPP1R12A|PPP1R14A|PPP1R12A|http://www.ncbi.nlm.nih.gov/gene/94274|http://www.ncbi.nlm.nih.gov/gene/4659
EGFR|PDGFRB|EGFR|PDGFRB|http://www.ncbi.nlm.nih.gov/gene/1956|http://www.ncbi.nlm.nih.gov/gene/5159
EGFR|TEK|EGFR|TEK|http://www.ncbi.nlm.nih.gov/gene/1956|http://www.ncbi.nlm.nih.gov/gene/7010
EGFR|FLT3|EGFR|FLT3|http://www.ncbi.nlm.nih.gov/gene/1956|http://www.ncbi.nlm.nih.gov/gene/2322
EGFR|NTRK1|EGFR|NTRK1|http://www.ncbi.nlm.nih.gov/gene/1956|http://www.ncbi.nlm.nih.gov/gene/4914
EGFR|NTRK2|EGFR|NTRK2|http://www.ncbi.nlm.nih.gov/gene/1956|http://www.ncbi.nlm.nih.gov/gene/4915
CSF1R|NF2|CSF1R|NF2|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/4771
CSF1R|FGFR4|CSF1R|FGFR4|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/2264
CSF1R|FLT1|CSF1R|FLT1|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/2321
CSF1R|FLT4|CSF1R|FLT4|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/2324
CSF1R|NGFR|CSF1R|NGFR|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/4804
CSF1R|MET|CSF1R|MET|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/4233
CSF1R|PDGFRA|CSF1R|PDGFRA|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/5156
CSF1R|PDGFRB|CSF1R|PDGFRB|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/5159
EGFR|PDGFRA|EGFR|PDGFRA|http://www.ncbi.nlm.nih.gov/gene/1956|http://www.ncbi.nlm.nih.gov/gene/5156
CSF1R|TEK|CSF1R|TEK|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/7010
CSF1R|NTRK1|CSF1R|NTRK1|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/4914
CSF1R|NTRK2|CSF1R|NTRK2|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/4915
FGFR4|NF2|FGFR4|NF2|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/4771
FGFR4|FLT1|FGFR4|FLT1|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/2321
FGFR4|FLT4|FGFR4|FLT4|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/2324
FGFR4|NGFR|FGFR4|NGFR|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/4804
FGFR4|MET|FGFR4|MET|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/4233
FGFR4|PDGFRA|FGFR4|PDGFRA|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/5156
FGFR4|PDGFRB|FGFR4|PDGFRB|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/5159
FGFR4|TEK|FGFR4|TEK|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/7010
FGFR4|FLT3|FGFR4|FLT3|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/2322
FGFR4|NTRK1|FGFR4|NTRK1|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/4914
FGFR4|NTRK2|FGFR4|NTRK2|http://www.ncbi.nlm.nih.gov/gene/2264|http://www.ncbi.nlm.nih.gov/gene/4915
CSF1R|FLT3|CSF1R|FLT3|http://www.ncbi.nlm.nih.gov/gene/1436|http://www.ncbi.nlm.nih.gov/gene/2322
FLT1|NF2|FLT1|NF2|http://www.ncbi.nlm.nih.gov/gene/2321|http://www.ncbi.nlm.nih.gov/gene/4771
EGFR|MET|EGFR|MET|http://www.ncbi.nlm.nih.gov/gene/1956|http://www.ncbi.nlm.nih.gov/gene/4233
EGFR|FLT4|EGFR|FLT4|http://www.ncbi.nlm.nih.gov/gene/1956|http://www.ncbi.nlm.nih.gov/gene/2324
FGFR1|FLT1|FGFR1|FLT1|http://www.ncbi.nlm.nih.gov/gene/2260|http://www.ncbi.nlm.nih.gov/gene/2321
FGFR1|FLT4|FGFR1|FLT4|http://www.ncbi.nlm.nih.gov/gene/2260|http://www.ncbi.nlm.nih.gov/gene/2324
FGFR1|NGFR|FGFR1|NGFR|http://www.ncbi.nlm.nih.gov/gene/2260|http://www.ncbi.nlm.nih.gov/gene/4804
FGFR1|MET|FGFR1|MET|http://www.ncbi.nlm.nih.gov/gene/2260|http://www.ncbi.nlm.nih.gov/gene/4233
FGFR1|PDGFRA|FGFR1|PDGFRA|http://www.ncbi.nlm.nih.gov/gene/2260|http://www.ncbi.nlm.nih.gov/gene/5156
FGFR1|PDGFRB|FGFR1|PDGFRB|http://www.ncbi.nlm.nih.gov/gene/2260|http://www.ncbi.nlm.nih.gov/gene/5159
FGFR1|TEK|FGFR1|TEK|http://www.ncbi.nlm.nih.gov/gene/2260|http://www.ncbi.nlm.nih.gov/gene/7010
