,anchor,arrow,Color,comments,edgeGroup,edgeID,geometry,node1_coords,node1_graphref,node1_x,node1_y,node2_coords,node2_graphref,node2_x,node2_y,matched_Node1_dist,matched_Node1,matched_Node2_dist,matched_Node2,matched_Node1_cat,matched_Node2_cat,matched_Node1_textlabel,matched_Node2_textlabel
0,[],['Arrow'],#000000,[],,idc567908f,"LINESTRING (1424.7724406665955 734.2779840544777, 1505.6726094003243 636.952998379254)",POINT (1424.7724406665955 734.2779840544777),af8f9,1424.7724406665955,734.2779840544777,POINT (1505.6726094003243 636.952998379254),e2914,1505.6726094003243,636.952998379254,0.0,af8f9,0.0,e2914,,,"['RAB3A', 'RAB3B']",Neuron
1,[],['Arrow'],#000000,[],,id2dab58e1,"LINESTRING (1506.829282655764 503.263560029734, 1448.493749500998 557.740090230449)",POINT (1506.829282655764 503.263560029734),d2bb4,1506.829282655764,503.263560029734,POINT (1448.493749500998 557.740090230449),cb944,1448.493749500998,557.740090230449,0.0,d2bb4,0.0,cb944,,,DNM2,"Early 
endosome"
2,,group,#nan,,b46d3,b2b28_d20de_1,"MULTIPOINT ((1072.7604302243271 235.64313116434482), (1072.7604302243226 210.64313116434514))",POINT (1072.7604302243271 235.64313116434482),b2b28,"14    1072.76043
Name: centerX, dtype: float64","14    235.643131
Name: centerY, dtype: float64",POINT (1072.7604302243226 210.64313116434514),d20de,"16    1072.76043
Name: centerX, dtype: float64","16    210.643131
Name: centerY, dtype: float64",0.0,b2b28,0.0,d20de,datanodeDF,datanodeDF,SBF2,MTMR2
3,,group,#nan,,b46d3,b2b28_d20de_2,"MULTIPOINT ((1072.7604302243226 210.64313116434514), (1072.7604302243271 235.64313116434482))",POINT (1072.7604302243226 210.64313116434514),d20de,"16    1072.76043
Name: centerX, dtype: float64","16    210.643131
Name: centerY, dtype: float64",POINT (1072.7604302243271 235.64313116434482),b2b28,"14    1072.76043
Name: centerX, dtype: float64","14    235.643131
Name: centerY, dtype: float64",0.0,d20de,0.0,b2b28,datanodeDF,datanodeDF,MTMR2,SBF2
4,,group,#nan,,c6ad7,a848e_b2911_1,"MULTIPOINT ((1083.999520980478 496.1188692074649), (1032.5838352294095 460.3367386991317))",POINT (1083.999520980478 496.1188692074649),a848e,"18    1083.999521
Name: centerX, dtype: float64","18    496.118869
Name: centerY, dtype: float64",POINT (1032.5838352294095 460.3367386991317),b2911,"20    1032.583835
Name: centerX, dtype: float64","20    460.336739
Name: centerY, dtype: float64",0.0,a848e,0.0,b2911,datanodeDF,datanodeDF,HSPB1,FGD4
5,,group,#nan,,c6ad7,a848e_b2911_2,"MULTIPOINT ((1032.5838352294095 460.3367386991317), (1083.999520980478 496.1188692074649))",POINT (1032.5838352294095 460.3367386991317),b2911,"20    1032.583835
Name: centerX, dtype: float64","20    460.336739
Name: centerY, dtype: float64",POINT (1083.999520980478 496.1188692074649),a848e,"18    1083.999521
Name: centerX, dtype: float64","18    496.118869
Name: centerY, dtype: float64",0.0,b2911,0.0,a848e,datanodeDF,datanodeDF,FGD4,HSPB1
6,,group,#nan,,d1cdc,bb7c9_a9687_f656b_1,"MULTIPOINT ((823.3471401108712 157.1941846489485), (729.271489135696 157.18371213823113))",POINT (823.3471401108712 157.1941846489485),bb7c9,"7    823.34714
Name: centerX, dtype: float64","7    157.194185
Name: centerY, dtype: float64",POINT (729.271489135696 157.18371213823113),a9687,"12    729.271489
Name: centerX, dtype: float64","12    157.183712
Name: centerY, dtype: float64",0.0,bb7c9,0.0,a9687,datanodeDF,datanodeDF,MTMR2,LITAF
7,,group,#nan,,d1cdc,bb7c9_a9687_f656b_1,"MULTIPOINT ((823.3471401108712 157.1941846489485), (822.7604302243269 182.64313116434482))",POINT (823.3471401108712 157.1941846489485),bb7c9,"7    823.34714
Name: centerX, dtype: float64","7    157.194185
Name: centerY, dtype: float64",POINT (822.7604302243269 182.64313116434482),f656b,"33    822.76043
Name: centerX, dtype: float64","33    182.643131
Name: centerY, dtype: float64",0.0,bb7c9,0.0,f656b,datanodeDF,datanodeDF,MTMR2,SBF2
8,,group,#nan,,d1cdc,bb7c9_a9687_f656b_2,"MULTIPOINT ((729.271489135696 157.18371213823113), (823.3471401108712 157.1941846489485))",POINT (729.271489135696 157.18371213823113),a9687,"12    729.271489
Name: centerX, dtype: float64","12    157.183712
Name: centerY, dtype: float64",POINT (823.3471401108712 157.1941846489485),bb7c9,"7    823.34714
Name: centerX, dtype: float64","7    157.194185
Name: centerY, dtype: float64",0.0,a9687,0.0,bb7c9,datanodeDF,datanodeDF,LITAF,MTMR2
9,,group,#nan,,d1cdc,bb7c9_a9687_f656b_2,"MULTIPOINT ((729.271489135696 157.18371213823113), (822.7604302243269 182.64313116434482))",POINT (729.271489135696 157.18371213823113),a9687,"12    729.271489
Name: centerX, dtype: float64","12    157.183712
Name: centerY, dtype: float64",POINT (822.7604302243269 182.64313116434482),f656b,"33    822.76043
Name: centerX, dtype: float64","33    182.643131
Name: centerY, dtype: float64",0.0,a9687,0.0,f656b,datanodeDF,datanodeDF,LITAF,SBF2
10,,group,#nan,,d1cdc,bb7c9_a9687_f656b_3,"MULTIPOINT ((822.7604302243269 182.64313116434482), (823.3471401108712 157.1941846489485))",POINT (822.7604302243269 182.64313116434482),f656b,"33    822.76043
Name: centerX, dtype: float64","33    182.643131
Name: centerY, dtype: float64",POINT (823.3471401108712 157.1941846489485),bb7c9,"7    823.34714
Name: centerX, dtype: float64","7    157.194185
Name: centerY, dtype: float64",0.0,f656b,0.0,bb7c9,datanodeDF,datanodeDF,SBF2,MTMR2
11,,group,#nan,,d1cdc,bb7c9_a9687_f656b_3,"MULTIPOINT ((822.7604302243269 182.64313116434482), (729.271489135696 157.18371213823113))",POINT (822.7604302243269 182.64313116434482),f656b,"33    822.76043
Name: centerX, dtype: float64","33    182.643131
Name: centerY, dtype: float64",POINT (729.271489135696 157.18371213823113),a9687,"12    729.271489
Name: centerX, dtype: float64","12    157.183712
Name: centerY, dtype: float64",0.0,f656b,0.0,a9687,datanodeDF,datanodeDF,SBF2,LITAF
12,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_1,"MULTIPOINT ((340.00000000000017 179.00000000000017), (467.8333333333338 165.66666666666666))",POINT (340.00000000000017 179.00000000000017),c6bfd,"0    340.0
Name: centerX, dtype: float64","0    179.0
Name: centerY, dtype: float64",POINT (467.8333333333338 165.66666666666666),b20c3,"1    467.833333
Name: centerX, dtype: float64","1    165.666667
Name: centerY, dtype: float64",0.0,c6bfd,0.0,b20c3,datanodeDF,datanodeDF,RAB11A,NDRG1
13,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_1,"MULTIPOINT ((340.00000000000017 179.00000000000017), (464.4999999999998 192.66666666666674))",POINT (340.00000000000017 179.00000000000017),c6bfd,"0    340.0
Name: centerX, dtype: float64","0    179.0
Name: centerY, dtype: float64",POINT (464.4999999999998 192.66666666666674),e150c,"2    464.5
Name: centerX, dtype: float64","2    192.666667
Name: centerY, dtype: float64",0.0,c6bfd,0.0,e150c,datanodeDF,datanodeDF,RAB11A,RAB4A
14,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_1,"MULTIPOINT ((340.00000000000017 179.00000000000017), (363.5266106442574 234.84593837535))",POINT (340.00000000000017 179.00000000000017),c6bfd,"0    340.0
Name: centerX, dtype: float64","0    179.0
Name: centerY, dtype: float64",POINT (363.5266106442574 234.84593837535),f77d8,"5    363.526611
Name: centerX, dtype: float64","5    234.845938
Name: centerY, dtype: float64",0.0,c6bfd,0.0,f77d8,datanodeDF,datanodeDF,RAB11A,SH3TC2
15,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_1,"MULTIPOINT ((340.00000000000017 179.00000000000017), (464.4999999999998 217.66666666666663))",POINT (340.00000000000017 179.00000000000017),c6bfd,"0    340.0
Name: centerX, dtype: float64","0    179.0
Name: centerY, dtype: float64",POINT (464.4999999999998 217.66666666666663),fc847,"10    464.5
Name: centerX, dtype: float64","10    217.666667
Name: centerY, dtype: float64",0.0,c6bfd,0.0,fc847,datanodeDF,datanodeDF,RAB11A,RAB4B
16,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_1,"MULTIPOINT ((340.00000000000017 179.00000000000017), (340.00000000000017 206.66666666666686))",POINT (340.00000000000017 179.00000000000017),c6bfd,"0    340.0
Name: centerX, dtype: float64","0    179.0
Name: centerY, dtype: float64",POINT (340.00000000000017 206.66666666666686),a4b11,"11    340.0
Name: centerX, dtype: float64","11    206.666667
Name: centerY, dtype: float64",0.0,c6bfd,0.0,a4b11,datanodeDF,datanodeDF,RAB11A,RAB11B
17,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_1,"MULTIPOINT ((340.00000000000017 179.00000000000017), (340.00000000000017 151.33333333333348))",POINT (340.00000000000017 179.00000000000017),c6bfd,"0    340.0
Name: centerX, dtype: float64","0    179.0
Name: centerY, dtype: float64",POINT (340.00000000000017 151.33333333333348),a5914,"13    340.0
Name: centerX, dtype: float64","13    151.333333
Name: centerY, dtype: float64",0.0,c6bfd,0.0,a5914,datanodeDF,datanodeDF,RAB11A,RAB25
18,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_1,"MULTIPOINT ((340.00000000000017 179.00000000000017), (426.450170565378 239.80977296499077))",POINT (340.00000000000017 179.00000000000017),c6bfd,"0    340.0
Name: centerX, dtype: float64","0    179.0
Name: centerY, dtype: float64",POINT (426.450170565378 239.80977296499077),a509a,"36    426.450171
Name: centerX, dtype: float64","36    239.809773
Name: centerY, dtype: float64",0.0,c6bfd,0.0,a509a,datanodeDF,datanodeDF,RAB11A,RABAC1
19,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_2,"MULTIPOINT ((467.8333333333338 165.66666666666666), (340.00000000000017 179.00000000000017))",POINT (467.8333333333338 165.66666666666666),b20c3,"1    467.833333
Name: centerX, dtype: float64","1    165.666667
Name: centerY, dtype: float64",POINT (340.00000000000017 179.00000000000017),c6bfd,"0    340.0
Name: centerX, dtype: float64","0    179.0
Name: centerY, dtype: float64",0.0,b20c3,0.0,c6bfd,datanodeDF,datanodeDF,NDRG1,RAB11A
20,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_2,"MULTIPOINT ((467.8333333333338 165.66666666666666), (464.4999999999998 192.66666666666674))",POINT (467.8333333333338 165.66666666666666),b20c3,"1    467.833333
Name: centerX, dtype: float64","1    165.666667
Name: centerY, dtype: float64",POINT (464.4999999999998 192.66666666666674),e150c,"2    464.5
Name: centerX, dtype: float64","2    192.666667
Name: centerY, dtype: float64",0.0,b20c3,0.0,e150c,datanodeDF,datanodeDF,NDRG1,RAB4A
21,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_2,"MULTIPOINT ((467.8333333333338 165.66666666666666), (363.5266106442574 234.84593837535))",POINT (467.8333333333338 165.66666666666666),b20c3,"1    467.833333
Name: centerX, dtype: float64","1    165.666667
Name: centerY, dtype: float64",POINT (363.5266106442574 234.84593837535),f77d8,"5    363.526611
Name: centerX, dtype: float64","5    234.845938
Name: centerY, dtype: float64",0.0,b20c3,0.0,f77d8,datanodeDF,datanodeDF,NDRG1,SH3TC2
22,,group,#nan,,d3a35,c6bfd_b20c3_e150c_f77d8_fc847_a4b11_a5914_a509a_2,"MULTIPOINT ((467.8333333333338 165.66666666666666), (464.4999999999998 217.66666666666663))",POINT (467.8333333333338 165.66666666666666),b20c3,"1    467.833333
Name: centerX, dtype: float64","1    165.666667
Name: centerY, dtype: float64",POINT (464.4999999999998 217.66666666666663),fc847,"10    464.5
Name: centerX, dtype: float64","10    217.666667
Name: centerY, dtype: float64",0.0,b20c3,0.0,fc847,datanodeDF,datanodeDF,NDRG1,RAB4B
