,anchor,arrow,Color,comments,edgeGroup,edgeID,geometry,node1_coords,node1_graphref,node1_x,node1_y,node2_coords,node2_graphref,node2_x,node2_y,matched_Node1_dist,matched_Node1,matched_Node2_dist,matched_Node2,matched_Node1_cat,matched_Node2_cat,matched_Node1_textlabel,matched_Node2_textlabel
0,[],['Arrow'],#000000,[],,,"LINESTRING (310.5740740740779 312.04629629629693, 324.37037037037254 355.37962962963127)",POINT (310.5740740740779 312.04629629629693),bc132,310.5740740740779,312.04629629629693,POINT (324.37037037037254 355.37962962963127),e8cce,324.37037037037254,355.37962962963127,0.0,bc132,0.0,e8cce,,,RAC1,RHOA
1,[],['mim-modification'],#000000,[],,,"LINESTRING (936.0312997672416 88.03703703703702, 934.6139491200139 134.47359018334663)",POINT (936.0312997672416 88.03703703703702),e3ba1,936.0312997672416,88.03703703703702,POINT (934.6139491200139 134.47359018334663),e4a42,934.6139491200139,134.47359018334663,0.0,e3ba1,0.0,e4a42,,,proBDNF,"['NGFR', 'NTRK2', 'SORT1']"
2,[],['Arrow'],#000000,[],,,"LINESTRING (934.6139491200139 218.47359018334663, 934.6911266282829 328.4691800400171)",POINT (934.6139491200139 218.47359018334663),e4a42,934.6139491200139,218.47359018334663,POINT (934.6911266282829 328.4691800400171),e31fb,934.6911266282829,328.4691800400171,0.0,e4a42,0.0,e31fb,,,"['NGFR', 'NTRK2', 'SORT1']",NGFR-ICD
3,[],['Arrow'],#000000,[],,,"LINESTRING (914.6911266282829 348.4691800400171, 784.1468924823384 396.345328514843)",POINT (914.6911266282829 348.4691800400171),e31fb,914.6911266282829,348.4691800400171,POINT (784.1468924823384 396.345328514843),cecb3,784.1468924823384,396.345328514843,0.0,e31fb,0.0,cecb3,,,NGFR-ICD,"['AKT2', 'AKT3', 'AKT1']"
4,[],['mim-inhibition'],#000000,[],,id251be782,"LINESTRING (393.0370370370387 365.3611111111115, 364.37037037037254 365.37962962963127)",POINT (393.0370370370387 365.3611111111115),cdc18,393.0370370370387,365.3611111111115,POINT (364.37037037037254 365.37962962963127),e8cce,364.37037037037254,365.37962962963127,0.0,cdc18,0.0,e8cce,,,"['PAK2', 'PAK3', 'PAK4', 'PAK5', 'PAK6', 'PAK1']",RHOA
5,[],['Arrow'],#000000,[],,id3d5f527f,"LINESTRING (408.39814814814696 141.4444444444444, 407.5115740740739 71.52777777777774)",POINT (408.39814814814696 141.4444444444444),a9aa3,408.39814814814696,141.4444444444444,POINT (407.5115740740739 71.52777777777774),deb17,407.5115740740739,71.52777777777774,0.0,a9aa3,0.0,deb17,,,MMP8,['Invasion']
6,[],['Arrow'],#000000,[],,id4838def1,"LINESTRING (568.583333333336 243.52777777777686, 569.0925925925952 354.96296296296293)",POINT (568.583333333336 243.52777777777686),b4450,568.583333333336,243.52777777777686,POINT (569.0925925925952 354.96296296296293),fe6ba,569.0925925925952,354.96296296296293,0.0,b4450,0.0,fe6ba,,,RAC1,RAC1
7,[],['Arrow'],#000000,[],,id5ef49ccc,"LINESTRING (306.9351851851875 249.25925925925878, 310.5740740740779 312.04629629629693)",POINT (306.9351851851875 249.25925925925878),a9582,306.9351851851875,249.25925925925878,POINT (310.5740740740779 312.04629629629693),bc132,310.5740740740779,312.04629629629693,0.0,a9582,0.0,bc132,,,"['EPHB1', 'EPHB2', 'EPHB3', 'EPHB4', 'EPHB6']",RAC1
8,[],['Arrow'],#000000,[],,id60bcc49b,"LINESTRING (330.9351851851875 220.259259259259, 365.62037037037464 209.40740740740802)",POINT (330.9351851851875 220.259259259259),a9582,330.9351851851875,220.259259259259,POINT (365.62037037037464 209.40740740740802),afff5,365.62037037037464,209.40740740740802,0.0,a9582,0.0,afff5,,,"['EPHB1', 'EPHB2', 'EPHB3', 'EPHB4', 'EPHB6']",ARF1
9,[],['Arrow'],#000000,[],,id69ac1285,"LINESTRING (234.9351851851875 220.259259259259, 166.74074074074088 197.21296296296336)",POINT (234.9351851851875 220.259259259259),a9582,234.9351851851875,220.259259259259,POINT (166.74074074074088 197.21296296296336),d54bf,166.74074074074088,197.21296296296336,0.0,a9582,0.0,d54bf,,,"['EPHB1', 'EPHB2', 'EPHB3', 'EPHB4', 'EPHB6']","['NTRK2', 'KIDINS220', 'NGFR']"
