source_node,target_node,num_paths
AKT1,Rab43,3
ERK 2,FOXO1,26
Pdx1,AKT2,4
CDK2,AKT1,14
cMyc,CDK2,11
Smad7,AKT1,4
Smad7,AKT2,3
Smad7,AKT3,3
CDK4,Rab43,15906
CRTC2,Rasf1a,329
AKT3,CDK2,13
FOXM1,Rasf1a,2
FOXM1,AKT1,4
CDK2,Rasf1a,4
Pdx1,CRTC2,302
Pdx1,CDK2,1
Pdx1,cMyc,1
FOXM1,Rab43,2
Pdx1,CDK4,1
Pdx1,Rab43,1692
Pdx1,Rasf1a,5
Pdx1,AKT1,3
CRTC2,AKT2,1
FOXM1,Pdx1,1838
AKT2,CDK4,7
CDK2,Rab43,1
Rab43,PI3K,2
AKT2,Rasf1a,35
AKT2,cMyc,15
EZH2,CDK4,8
EZH2,cMyc,7
EZH2,CDK2,4
EZH2,PI3K,7
EZH2,CRTC2,1
EZH2,FOXM1,2
CaM,AKT1,26
CaM,CDK4,1
CaM,cMyc,10
CaM,CDK2,4
CaM,PI3K,194
CaM,FOXM1,51
Pdx1,PI3K,4
Pref-1,ERK 1,2
Pref-1,ERK 2,2
CDK4,Rasf1a,1
CDK4,AKT1,10
Rab43,Rasf1a,4
Rasf1a,AKT1,1
CRTC2,Rab43,961
cMyc,AKT1,24
cMyc,Rab43,3
CRTC2,AKT1,1
AKT2,CDK2,13
EZH2,AKT1,5
FOXM1,AKT2,5
AKT3,cMyc,11
AKT3,CDK4,7
AKT3,Pdx1,3
IR,K-Ras,17
EZH2,Rab43,9
EZH2,Rasf1a,34
CDK4,FOXM1,4
CDK2,FOXM1,5
CRTC2,CDK2,1
CRTC2,cMyc,3947
CRTC2,PI3K,169
VEGFR-1,AKT2,4
VEGFR-1,AKT3,2
PI3K,AKT3,112
PI3K,AKT2,133
PI3K,AKT1,155
TGFB1R,Smad7,10
PLGF,VEGFR-1,5
FOXO1,Pdx1,3
TGFB1,TGFB1R,25
B-Raf,ERK 1,72
cMyc,CDK4,13
cMyc,FOXM1,4
CDK2,CDK4,16
AKT3,Rab43,2
AKT3,FOXO1,28
K-Ras,Rasf1a,3
cMyc,Rasf1a,8
AKT3,CRTC2,1
Rasf1a,PI3K,3
AKT2,FOXO1,28
AKT3,Rasf1a,3
Insulin,IR,31
Ca2+,CaM,156
ERK 2,EZH2,4
ERK 1,ERK 2,146
IGF-1,IGF-1R,11
ERK 1,EZH2,6
AKT3,FOXM1,2
AKT1,FOXO1,33
AKT1,AKT3,69
AKT2,Rab43,2
CRTC2,FOXM1,1006
T3,ERK 2,1
CRTC2,CDK4,1
VEGFR-1,AKT1,6
IGF-1R,K-Ras,8
CaM,CRTC2,3
ERK 1,FOXO1,27
B-Raf,ERK 2,77
T3,T4,3
T3,ERK 1,3
K-Ras,B-Raf,81
AKT1,AKT2,84
AKT2,AKT3,69
PDGFa,K-Ras,58
