IL27RA
AGTR1
IL20RB
RPTOR
MAPK11
IL12RB2
F2R
DUSP2
IL2RB
IFNGR1
CSF2RB
"placeholder

miR-135a-5p
miR-17-5p
miR-29b
miR-124
miR-519a"
