source_node,target_node,num_paths
RAC1,RHOA,170
RAC1,PAK2,170
RAC1,PAK3,170
RAC1,PAK4,170
RAC1,PAK5,170
RAC1,PAK6,170
RAC1,PAK1,170
RAC1,CDH11,170
RAC1,NGEF,170
RAC1,TIAM1,170
RAC1,TRIO,170
proBDNF,NGFR,170
proBDNF,NTRK2,170
proBDNF,SORT1,170
NGFR,NTRK2,170
NGFR,KIDINS220,170
NGFR,SORT1,170
NTRK2,NGFR-ICD,170
NTRK2,KIDINS220,170
NTRK2,SORT1,170
SORT1,NGFR-ICD,170
NGFR-ICD,AKT2,170
NGFR-ICD,AKT3,170
NGFR-ICD,AKT1,170
AKT2,AKT3,170
AKT2,AKT1,170
AKT2,FOS,170
PAK2,PAK4,170
AKT2,JUN,170
AKT3,FOS,170
AKT3,JUN,170
AKT1,FOS,170
AKT1,JUN,170
PAK2,RHOA,170
PAK2,PAK3,170
AKT3,AKT1,170
EPHB3,EPHB6,170
PAK2,PAK5,170
PAK2,PAK1,170
PAK3,RHOA,170
PAK3,PAK4,170
PAK3,PAK5,170
PAK3,PAK6,170
PAK3,PAK1,170
PAK4,RHOA,170
PAK4,PAK5,170
PAK4,PAK6,170
EPHB1,KIDINS220,170
PAK4,PAK1,170
PAK5,PAK6,170
PAK5,PAK1,170
PAK6,RHOA,170
PAK6,PAK1,170
PAK1,RHOA,170
EPHB1,RAC1,170
EPHB1,ARF1,170
EPHB1,NTRK2,170
PAK5,RHOA,170
EPHB1,STAT3,170
EPHB4,RAC1,170
EPHB1,EPHB2,170
EPHB1,EPHB3,170
EPHB1,EPHB4,170
EPHB1,EPHB6,170
EPHB2,RAC1,170
EPHB2,ARF1,170
EPHB2,NTRK2,170
EPHB2,KIDINS220,170
EPHB2,NGFR,170
EPHB2,STAT3,170
EPHB2,EPHB3,170
EPHB2,EPHB4,170
EPHB2,EPHB6,170
EPHB3,RAC1,170
EPHB3,ARF1,170
EPHB3,NTRK2,170
EPHB3,KIDINS220,170
EPHB3,NGFR,170
EPHB3,STAT3,170
EPHB3,EPHB4,170
PAK2,PAK6,170
EPHB4,ARF1,170
TIAM1,TRIO,170
PIK3R5,AKT3,170
EPHB4,KIDINS220,170
EPHB4,NGFR,170
EPHB4,STAT3,170
EPHB4,EPHB6,170
EPHB6,RAC1,170
EPHB6,ARF1,170
PIK3CB,PIK3R6,170
EPHB6,NTRK2,170
EPHB6,NGFR,170
EPHB6,STAT3,170
ARF1,MMP8,170
F2RL2,RAC1,170
STAT3,MMP2,170
STAT3,MMP9,170
MMP2,MMP9,170
EPHB6,KIDINS220,170
BDNF,NGFR,170
PIK3CB,PIK3R5,170
TWIST1,MMP9,170
BDNF,KIDINS220,170
MMP2,TWIST1,170
PIK3CA,AKT2,170
STAT3,TWIST1,170
PIK3CA,AKT3,170
PIK3CA,AKT1,170
PIK3CA,PIK3CB,170
PIK3CA,PIK3CD,170
PIK3CA,PIK3R3,170
PIK3CA,PIK3R4,170
BDNF,NTRK2,170
PIK3CA,PIK3R5,170
PIK3CA,PIK3CG,170
PIK3CB,AKT2,170
PIK3CB,AKT3,170
PIK3CB,AKT1,170
PIK3CB,PIK3CD,170
PIK3CB,PIK3R3,170
TWIST1,CDH11,170
PIK3CB,PIK3R4,170
PIK3CA,PIK3R6,170
PIK3CB,PIK3CG,170
PIK3CD,AKT2,170
PIK3CD,AKT3,170
PIK3CD,AKT1,170
PIK3CD,PIK3R3,170
PIK3CD,PIK3R4,170
PIK3CD,PIK3R5,170
PIK3CD,PIK3R6,170
PIK3CD,PIK3CG,170
PIK3R3,AKT2,170
PIK3R3,AKT3,170
PIK3R3,AKT1,170
PIK3R3,PIK3R4,170
PIK3R3,PIK3R5,170
PIK3R3,PIK3R6,170
PIK3R3,PIK3CG,170
PIK3R4,AKT2,170
PIK3R4,AKT3,170
PIK3R4,AKT1,170
PIK3R4,PIK3R5,170
PIK3R4,PIK3R6,170
PIK3R4,PIK3CG,170
PIK3R5,AKT2,170
EPHB1,NGFR,170
PIK3R5,AKT1,170
PIK3R5,PIK3R6,170
PIK3R5,PIK3CG,170
PIK3R6,AKT2,170
PIK3R6,AKT3,170
PIK3R6,AKT1,170
PIK3R6,PIK3CG,170
PIK3CG,AKT2,170
PIK3CG,AKT3,170
PIK3CG,AKT1,170
FOS,TWIST1,170
FOS,CDH11,170
FOS,JUN,170
JUN,TWIST1,170
JUN,CDH11,170
CDH11,NGEF,170
CDH11,TIAM1,170
CDH11,TRIO,170
NGEF,TIAM1,170
NGEF,TRIO,170
EPHB4,NTRK2,170
RHOA,MMP8,170
