source_node,target_node,num_paths
RAC1,RHOA,34
RAC1,PAK2,32
RAC1,PAK3,24
RAC1,PAK4,5
RAC1,PAK5,5
RAC1,PAK6,5
RAC1,PAK1,35
RAC1,CDH11,2
RAC1,NGEF,13
RAC1,TIAM1,15
RAC1,TRIO,15
proBDNF,NGFR,11
proBDNF,NTRK2,7
proBDNF,SORT1,2
NGFR,NTRK2,4
NGFR,KIDINS220,3
NGFR,SORT1,1
NTRK2,NGFR-ICD,4
NTRK2,KIDINS220,5
NTRK2,SORT1,1
SORT1,NGFR-ICD,1
NGFR-ICD,AKT2,3
NGFR-ICD,AKT3,3
NGFR-ICD,AKT1,6
AKT2,AKT3,71
AKT2,AKT1,86
AKT2,FOS,10
PAK2,PAK4,5
AKT2,JUN,12
AKT3,FOS,7
AKT3,JUN,10
AKT1,FOS,15
AKT1,JUN,13
PAK2,RHOA,14
PAK2,PAK3,29
AKT3,AKT1,71
EPHB3,EPHB6,7
PAK2,PAK5,5
PAK2,PAK1,32
PAK3,RHOA,12
PAK3,PAK4,5
PAK3,PAK5,5
PAK3,PAK6,5
PAK3,PAK1,28
PAK4,RHOA,3
PAK4,PAK5,5
PAK4,PAK6,5
EPHB1,KIDINS220,1
PAK4,PAK1,5
PAK5,PAK6,5
PAK5,PAK1,5
PAK6,RHOA,4
PAK6,PAK1,6
PAK1,RHOA,15
EPHB1,RAC1,7
EPHB1,ARF1,1
EPHB1,NTRK2,2
PAK5,RHOA,3
EPHB1,STAT3,2
EPHB4,RAC1,7
EPHB1,EPHB2,7
EPHB1,EPHB3,7
EPHB1,EPHB4,7
EPHB1,EPHB6,8
EPHB2,RAC1,8
EPHB2,ARF1,1
EPHB2,NTRK2,2
EPHB2,KIDINS220,2
EPHB2,NGFR,2
EPHB2,STAT3,3
EPHB2,EPHB3,7
EPHB2,EPHB4,8
EPHB2,EPHB6,7
EPHB3,RAC1,7
EPHB3,ARF1,1
EPHB3,NTRK2,1
EPHB3,KIDINS220,1
EPHB3,NGFR,1
EPHB3,STAT3,2
EPHB3,EPHB4,7
PAK2,PAK6,6
EPHB4,ARF1,3
TIAM1,TRIO,13
PIK3R5,AKT3,10
EPHB4,KIDINS220,2
EPHB4,NGFR,1
EPHB4,STAT3,4
EPHB4,EPHB6,7
EPHB6,RAC1,7
EPHB6,ARF1,1
PIK3CB,PIK3R6,14
EPHB6,NTRK2,2
EPHB6,NGFR,1
EPHB6,STAT3,2
ARF1,MMP8,2
F2RL2,RAC1,6
STAT3,MMP2,11
STAT3,MMP9,14
MMP2,MMP9,33
EPHB6,KIDINS220,1
BDNF,NGFR,11
PIK3CB,PIK3R5,14
TWIST1,MMP9,7
BDNF,KIDINS220,2
MMP2,TWIST1,6
PIK3CA,AKT2,47
STAT3,TWIST1,9
PIK3CA,AKT3,42
PIK3CA,AKT1,58
PIK3CA,PIK3CB,69
PIK3CA,PIK3CD,51
PIK3CA,PIK3R3,54
PIK3CA,PIK3R4,15
BDNF,NTRK2,7
PIK3CA,PIK3R5,16
PIK3CA,PIK3CG,16
PIK3CB,AKT2,41
PIK3CB,AKT3,34
PIK3CB,AKT1,46
PIK3CB,PIK3CD,49
PIK3CB,PIK3R3,47
TWIST1,CDH11,2
PIK3CB,PIK3R4,15
PIK3CA,PIK3R6,14
PIK3CB,PIK3CG,15
PIK3CD,AKT2,33
PIK3CD,AKT3,33
PIK3CD,AKT1,39
PIK3CD,PIK3R3,48
PIK3CD,PIK3R4,8
PIK3CD,PIK3R5,16
PIK3CD,PIK3R6,14
PIK3CD,PIK3CG,16
PIK3R3,AKT2,35
PIK3R3,AKT3,35
PIK3R3,AKT1,40
PIK3R3,PIK3R4,8
PIK3R3,PIK3R5,15
PIK3R3,PIK3R6,14
PIK3R3,PIK3CG,15
PIK3R4,AKT2,11
PIK3R4,AKT3,4
PIK3R4,AKT1,12
PIK3R4,PIK3R5,6
PIK3R4,PIK3R6,6
PIK3R4,PIK3CG,6
PIK3R5,AKT2,10
EPHB1,NGFR,1
PIK3R5,AKT1,12
PIK3R5,PIK3R6,14
PIK3R5,PIK3CG,15
PIK3R6,AKT2,9
PIK3R6,AKT3,9
PIK3R6,AKT1,10
PIK3R6,PIK3CG,15
PIK3CG,AKT2,9
PIK3CG,AKT3,9
PIK3CG,AKT1,12
FOS,TWIST1,5
FOS,CDH11,2
FOS,JUN,39
JUN,TWIST1,4
JUN,CDH11,1
CDH11,NGEF,3
CDH11,TIAM1,3
CDH11,TRIO,2
NGEF,TIAM1,15
NGEF,TRIO,13
EPHB4,NTRK2,2
RHOA,MMP8,4
