,anchor,arrow,Color,comments,edgeGroup,edgeID,geometry,node1_coords,node1_graphref,node1_x,node1_y,node2_coords,node2_graphref,node2_x,node2_y,matched_Node1_dist,matched_Node1,matched_Node2_dist,matched_Node2,matched_Node1_cat,matched_Node2_cat,matched_Node1_textlabel,matched_Node2_textlabel
0,[],['mim-inhibition'],#000000,[],,id1102b1e3,"LINESTRING (321.96938775510193 705.4459349963132, 396.4285714285718 705.4459349963131)",POINT (321.96938775510193 705.4459349963132),e35f9,321.96938775510193,705.4459349963132,POINT (396.4285714285718 705.4459349963131),d8cfb,396.4285714285718,705.4459349963131,0.0,e35f9,0.0,d8cfb,,,CREM,['GABA gene expression']
1,[],['Arrow'],#000000,[],,id1c37932b,"LINESTRING (1034.1326530612248 500.96938775510193, 708.4285714285708 705.4459349963131)",POINT (1034.1326530612248 500.96938775510193),ffa0b,1034.1326530612248,500.96938775510193,POINT (708.4285714285708 705.4459349963131),e6aef,708.4285714285708,705.4459349963131,0.0,ffa0b,0.0,e6aef,,,MAPK,CREB1
2,[],['Arrow'],#000000,[],,id3a1e1075,"LINESTRING (125.5 171.64285714285714, 125.5 324.5)",POINT (125.5 171.64285714285714),c4297,125.5,171.64285714285714,POINT (125.5 324.5),ee3a5,125.5,324.5,0.0,c4297,0.0,ee3a5,,,SLC12A5,SLC12A5
3,[],['Arrow'],#000000,[],,id4fb8d6bc,"LINESTRING (939.6428571428573 413.92857142857144, 708.4285714285708 705.4459349963131)",POINT (939.6428571428573 413.92857142857144),b312e,939.6428571428573,413.92857142857144,POINT (708.4285714285708 705.4459349963131),e6aef,708.4285714285708,705.4459349963131,0.0,b312e,0.0,e6aef,,,PLCG1,CREB1
4,[],['Arrow'],#000000,[],,id6afbd607,"LINESTRING (288.4693877551019 546.7857142857147, 288.46938775510193 692.9459349963132)",POINT (288.4693877551019 546.7857142857147),f2c92,288.4693877551019,546.7857142857147,POINT (288.46938775510193 692.9459349963132),e35f9,288.46938775510193,692.9459349963132,0.0,f2c92,0.0,e35f9,,,STAT3,CREM
5,[],['mim-inhibition'],#000000,[],,id7689d67,"LINESTRING (600.7058823529418 533.7857142857144, 601.268907563026 487.785714285714)",POINT (600.7058823529418 533.7857142857144),b2bc7,600.7058823529418,533.7857142857144,POINT (601.268907563026 487.785714285714),eb3f3,601.268907563026,487.785714285714,0.0,b2bc7,0.0,eb3f3,,,PTEN,"['PIK3CA', 'PIK3CB', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'PIK3CG']"
6,[],['Arrow'],#000000,[],,id76e2cce5,"LINESTRING (771.2244897959184 378.2142857142854, 673.268907563026 438.285714285714)",POINT (771.2244897959184 378.2142857142854),ec7bb,771.2244897959184,378.2142857142854,POINT (673.268907563026 438.285714285714),eb3f3,673.268907563026,438.285714285714,0.0,ec7bb,0.0,eb3f3,,,PKC,"['PIK3CA', 'PIK3CB', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'PIK3CG']"
7,[],['mim-binding'],#000000,[],,id79776874,"LINESTRING (938.3520408163275 58.91836734693878, 938.3520408163275 150.20408163265324)",POINT (938.3520408163275 58.91836734693878),b5d78,938.3520408163275,58.91836734693878,POINT (938.3520408163275 150.20408163265324),ce452,938.3520408163275,150.20408163265324,0.0,b5d78,0.0,ce452,,,mBDNF,NTRK2
8,[],['Arrow'],#000000,[],,id7f0b0c9a,"LINESTRING (923.7270408163275 175.20408163265324, 771.2244897959184 353.2142857142854)",POINT (923.7270408163275 175.20408163265324),ce452,923.7270408163275,175.20408163265324,POINT (771.2244897959184 353.2142857142854),ec7bb,771.2244897959184,353.2142857142854,0.0,ce452,0.0,ec7bb,,,NTRK2,PKC
9,[],['Arrow'],#000000,[],,id7f9af931,"LINESTRING (618.4285714285708 705.4459349963131, 551.1224489795918 705.4459349963131)",POINT (618.4285714285708 705.4459349963131),e6aef,618.4285714285708,705.4459349963131,POINT (551.1224489795918 705.4459349963131),d8cfb,551.1224489795918,705.4459349963131,0.0,e6aef,0.0,d8cfb,,,CREB1,['GABA gene expression']
