source|target|source_label|target_label|source_id|target_id
PRKCQ|PRKCI|PRKCQ|PRKCI|http://www.ncbi.nlm.nih.gov/gene/5588|http://www.ncbi.nlm.nih.gov/gene/5584
PRKCH|PRKCB|PRKCH|PRKCB|http://www.ncbi.nlm.nih.gov/gene/5583|http://www.ncbi.nlm.nih.gov/gene/5579
MMP12|MMP19|MMP12|MMP19|http://www.ncbi.nlm.nih.gov/gene/4321|http://www.ncbi.nlm.nih.gov/gene/4327
MMP27|MMP17|MMP27|MMP17|http://www.ncbi.nlm.nih.gov/gene/64066|http://www.ncbi.nlm.nih.gov/gene/4326
PRKCQ|PRKCZ|PRKCQ|PRKCZ|http://www.ncbi.nlm.nih.gov/gene/5588|http://www.ncbi.nlm.nih.gov/gene/5590
MMP12|MMP21|MMP12|MMP21|http://www.ncbi.nlm.nih.gov/gene/4321|http://www.ncbi.nlm.nih.gov/gene/118856
MMP12|MMP24|MMP12|MMP24|http://www.ncbi.nlm.nih.gov/gene/4321|http://www.ncbi.nlm.nih.gov/gene/10893
MMP13|MMP17|MMP13|MMP17|http://www.ncbi.nlm.nih.gov/gene/4322|http://www.ncbi.nlm.nih.gov/gene/4326
MMP13|MMP27|MMP13|MMP27|http://www.ncbi.nlm.nih.gov/gene/4322|http://www.ncbi.nlm.nih.gov/gene/64066
MMP13|MMP19|MMP13|MMP19|http://www.ncbi.nlm.nih.gov/gene/4322|http://www.ncbi.nlm.nih.gov/gene/4327
MMP13|MMP25|MMP13|MMP25|http://www.ncbi.nlm.nih.gov/gene/4322|http://www.ncbi.nlm.nih.gov/gene/64386
MMP13|MMP14|MMP13|MMP14|http://www.ncbi.nlm.nih.gov/gene/4322|http://www.ncbi.nlm.nih.gov/gene/4323
MMP13|MMP21|MMP13|MMP21|http://www.ncbi.nlm.nih.gov/gene/4322|http://www.ncbi.nlm.nih.gov/gene/118856
MMP20|MMP1|MMP20|MMP1|http://www.ncbi.nlm.nih.gov/gene/9313|http://www.ncbi.nlm.nih.gov/gene/4312
PRKCZ|PRKCI|PRKCZ|PRKCI|http://www.ncbi.nlm.nih.gov/gene/5590|http://www.ncbi.nlm.nih.gov/gene/5584
MMP21|MMP14|MMP21|MMP14|http://www.ncbi.nlm.nih.gov/gene/118856|http://www.ncbi.nlm.nih.gov/gene/4323
MMP21|MMP19|MMP21|MMP19|http://www.ncbi.nlm.nih.gov/gene/118856|http://www.ncbi.nlm.nih.gov/gene/4327
PRKCD|PRKCH|PRKCD|PRKCH|http://www.ncbi.nlm.nih.gov/gene/5580|http://www.ncbi.nlm.nih.gov/gene/5583
NO|BDNF|NO|BDNF|http://purl.obolibrary.org/obo/CHEBI_16480|http://www.ncbi.nlm.nih.gov/gene/627
MMP1|MMP12|MMP1|MMP12|http://www.ncbi.nlm.nih.gov/gene/4312|http://www.ncbi.nlm.nih.gov/gene/4321
PRKCQ|PRKCD|PRKCQ|PRKCD|http://www.ncbi.nlm.nih.gov/gene/5588|http://www.ncbi.nlm.nih.gov/gene/5580
MMP21|MMP25|MMP21|MMP25|http://www.ncbi.nlm.nih.gov/gene/118856|http://www.ncbi.nlm.nih.gov/gene/64386
MMP7|MMP16|MMP7|MMP16|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4325
MMP3|MMP2|MMP3|MMP2|http://www.ncbi.nlm.nih.gov/gene/4314|http://www.ncbi.nlm.nih.gov/gene/4313
MMP12|MMP25|MMP12|MMP25|http://www.ncbi.nlm.nih.gov/gene/4321|http://www.ncbi.nlm.nih.gov/gene/64386
MMP21|MMP27|MMP21|MMP27|http://www.ncbi.nlm.nih.gov/gene/118856|http://www.ncbi.nlm.nih.gov/gene/64066
MMP25|MMP17|MMP25|MMP17|http://www.ncbi.nlm.nih.gov/gene/64386|http://www.ncbi.nlm.nih.gov/gene/4326
MMP25|MMP27|MMP25|MMP27|http://www.ncbi.nlm.nih.gov/gene/64386|http://www.ncbi.nlm.nih.gov/gene/64066
MMP25|MMP19|MMP25|MMP19|http://www.ncbi.nlm.nih.gov/gene/64386|http://www.ncbi.nlm.nih.gov/gene/4327
MMP14|MMP17|MMP14|MMP17|http://www.ncbi.nlm.nih.gov/gene/4323|http://www.ncbi.nlm.nih.gov/gene/4326
MMP20|MMP17|MMP20|MMP17|http://www.ncbi.nlm.nih.gov/gene/9313|http://www.ncbi.nlm.nih.gov/gene/4326
MMP9|MMP25|MMP9|MMP25|http://www.ncbi.nlm.nih.gov/gene/4318|http://www.ncbi.nlm.nih.gov/gene/64386
MMP12|MMP17|MMP12|MMP17|http://www.ncbi.nlm.nih.gov/gene/4321|http://www.ncbi.nlm.nih.gov/gene/4326
MMP14|MMP25|MMP14|MMP25|http://www.ncbi.nlm.nih.gov/gene/4323|http://www.ncbi.nlm.nih.gov/gene/64386
MMP12|MMP14|MMP12|MMP14|http://www.ncbi.nlm.nih.gov/gene/4321|http://www.ncbi.nlm.nih.gov/gene/4323
MMP20|MMP24|MMP20|MMP24|http://www.ncbi.nlm.nih.gov/gene/9313|http://www.ncbi.nlm.nih.gov/gene/10893
MMP20|MMP13|MMP20|MMP13|http://www.ncbi.nlm.nih.gov/gene/9313|http://www.ncbi.nlm.nih.gov/gene/4322
MMP2|MMP24|MMP2|MMP24|http://www.ncbi.nlm.nih.gov/gene/4313|http://www.ncbi.nlm.nih.gov/gene/10893
MMP16|MMP13|MMP16|MMP13|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/4322
MMP7|MMP24|MMP7|MMP24|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/10893
MMP7|MMP21|MMP7|MMP21|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/118856
MMP7|MMP14|MMP7|MMP14|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4323
O2- radical|O2- radical|O2- radical|O2- radical|http://purl.obolibrary.org/obo/CHEBI_61073|http://purl.obolibrary.org/obo/CHEBI_61073
NAD|Fructose|NAD|Fructose|http://purl.obolibrary.org/obo/CHEBI_13389|http://purl.obolibrary.org/obo/CHEBI_28757
MMP15|MMP3|MMP15|MMP3|http://www.ncbi.nlm.nih.gov/gene/4324|http://www.ncbi.nlm.nih.gov/gene/4314
Glut-1|Glut-3|Glut-1|Glut-3|http://www.ncbi.nlm.nih.gov/gene/6513|http://www.ncbi.nlm.nih.gov/gene/6515
ROS|NO|ROS|NO|http://purl.obolibrary.org/obo/CHEBI_26523|http://purl.obolibrary.org/obo/CHEBI_16480
MMP7|MMP23B|MMP7|MMP23B|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/8510
MMP7|MMP20|MMP7|MMP20|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/9313
MMP16|MMP23B|MMP16|MMP23B|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/8510
MMP14|MMP27|MMP14|MMP27|http://www.ncbi.nlm.nih.gov/gene/4323|http://www.ncbi.nlm.nih.gov/gene/64066
MMP7|MMP3|MMP7|MMP3|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4314
MMP7|MMP28|MMP7|MMP28|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/79148
MMP7|MMP25|MMP7|MMP25|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/64386
MMP7|MMP12|MMP7|MMP12|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4321
MMP16|MMP12|MMP16|MMP12|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/4321
O2- radical|ROS|O2- radical|ROS|http://purl.obolibrary.org/obo/CHEBI_61073|http://purl.obolibrary.org/obo/CHEBI_26523
e-|ATP|e-|ATP|http://purl.obolibrary.org/obo/CHEBI_10545|http://purl.obolibrary.org/obo/CHEBI_15422
MMP7|MMP15|MMP7|MMP15|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4324
Ca2+|PKC|Ca2+|PKC|http://purl.obolibrary.org/obo/CHEBI_29108|http://purl.obolibrary.org/obo/GO_0004697
TRPV1|Ca2+|TRPV1|Ca2+|http://www.ncbi.nlm.nih.gov/gene/7442|http://purl.obolibrary.org/obo/CHEBI_29108
MMP7|MMP8|MMP7|MMP8|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4317
TRPA1|Ca2+|TRPA1|Ca2+|http://www.ncbi.nlm.nih.gov/gene/8989|http://purl.obolibrary.org/obo/CHEBI_29108
MMP7|MMP11|MMP7|MMP11|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4320
MMP7|MMP10|MMP7|MMP10|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4319
MMP7|MMP2|MMP7|MMP2|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4313
AGE|RAGE|AGE|RAGE|http://purl.obolibrary.org/obo/CHEBI_84123|http://www.ncbi.nlm.nih.gov/gene/177
MMP7|MMP1|MMP7|MMP1|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4312
Glucose|Glucose|Glucose|Glucose|http://purl.obolibrary.org/obo/CHEBI_17234|http://purl.obolibrary.org/obo/CHEBI_17234
Glut-3|Glucose|Glut-3|Glucose|http://www.ncbi.nlm.nih.gov/gene/6515|http://purl.obolibrary.org/obo/CHEBI_17234
Glucose|ATP|Glucose|ATP|http://purl.obolibrary.org/obo/CHEBI_17234|http://purl.obolibrary.org/obo/CHEBI_15422
"Sorbitol 
dehydrogenase"|NADH|"Sorbitol 
dehydrogenase"|NADH|http://www.ncbi.nlm.nih.gov/gene/6652|http://purl.obolibrary.org/obo/CHEBI_16908
Fructose|AGE|Fructose|AGE|http://purl.obolibrary.org/obo/CHEBI_28757|http://purl.obolibrary.org/obo/CHEBI_84123
MMP28|MMP16|MMP28|MMP16|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/4325
NADPH|NADP|NADPH|NADP|http://purl.obolibrary.org/obo/CHEBI_16474|http://purl.obolibrary.org/obo/CHEBI_25523
Glut-1|Glucose|Glut-1|Glucose|http://www.ncbi.nlm.nih.gov/gene/6513|http://purl.obolibrary.org/obo/CHEBI_17234
MMP7|MMP13|MMP7|MMP13|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4322
MMP15|MMP9|MMP15|MMP9|http://www.ncbi.nlm.nih.gov/gene/4324|http://www.ncbi.nlm.nih.gov/gene/4318
AGE|MMP|AGE|MMP|http://purl.obolibrary.org/obo/CHEBI_84123|http://purl.obolibrary.org/obo/CHEBI_340824
MMP24|MMP14|MMP24|MMP14|http://www.ncbi.nlm.nih.gov/gene/10893|http://www.ncbi.nlm.nih.gov/gene/4323
MMP16|MMP8|MMP16|MMP8|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/4317
PRKCI|PRKCB|PRKCI|PRKCB|http://www.ncbi.nlm.nih.gov/gene/5584|http://www.ncbi.nlm.nih.gov/gene/5579
MMP16|MMP2|MMP16|MMP2|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/4313
MMP3|MMP13|MMP3|MMP13|http://www.ncbi.nlm.nih.gov/gene/4314|http://www.ncbi.nlm.nih.gov/gene/4322
Glucose|e-|Glucose|e-|http://purl.obolibrary.org/obo/CHEBI_17234|http://purl.obolibrary.org/obo/CHEBI_10545
Glucose|AGE|Glucose|AGE|http://purl.obolibrary.org/obo/CHEBI_17234|http://purl.obolibrary.org/obo/CHEBI_84123
PKC|PRKCB|PKC|PRKCB|http://purl.obolibrary.org/obo/GO_0004697|http://www.ncbi.nlm.nih.gov/gene/5579
PKC|PRKCA|PKC|PRKCA|http://purl.obolibrary.org/obo/GO_0004697|http://www.ncbi.nlm.nih.gov/gene/5578
PKC|PRKD3|PKC|PRKD3|http://purl.obolibrary.org/obo/GO_0004697|http://www.ncbi.nlm.nih.gov/gene/23683
MMP7|MMP27|MMP7|MMP27|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/64066
PKC|PRKCG|PKC|PRKCG|http://purl.obolibrary.org/obo/GO_0004697|http://www.ncbi.nlm.nih.gov/gene/5582
K+|K+|K+|K+|http://purl.obolibrary.org/obo/CHEBI_29103|http://purl.obolibrary.org/obo/CHEBI_29103
PKC|PRKCI|PKC|PRKCI|http://purl.obolibrary.org/obo/GO_0004697|http://www.ncbi.nlm.nih.gov/gene/5584
PKC|PRKCH|PKC|PRKCH|http://purl.obolibrary.org/obo/GO_0004697|http://www.ncbi.nlm.nih.gov/gene/5583
PKC|PRKCD|PKC|PRKCD|http://purl.obolibrary.org/obo/GO_0004697|http://www.ncbi.nlm.nih.gov/gene/5580
PKC|PRKCQ|PKC|PRKCQ|http://purl.obolibrary.org/obo/GO_0004697|http://www.ncbi.nlm.nih.gov/gene/5588
PKC|PRKCE|PKC|PRKCE|http://purl.obolibrary.org/obo/GO_0004697|http://www.ncbi.nlm.nih.gov/gene/5581
MMP23B|MMP14|MMP23B|MMP14|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/4323
MMP23B|MMP13|MMP23B|MMP13|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/4322
PKC|PRKCZ|PKC|PRKCZ|http://purl.obolibrary.org/obo/GO_0004697|http://www.ncbi.nlm.nih.gov/gene/5590
MMP16|MMP24|MMP16|MMP24|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/10893
MMP23B|MMP21|MMP23B|MMP21|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/118856
MMP23B|MMP17|MMP23B|MMP17|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/4326
MMP3|MMP8|MMP3|MMP8|http://www.ncbi.nlm.nih.gov/gene/4314|http://www.ncbi.nlm.nih.gov/gene/4317
MMP15|MMP16|MMP15|MMP16|http://www.ncbi.nlm.nih.gov/gene/4324|http://www.ncbi.nlm.nih.gov/gene/4325
MMP16|MMP10|MMP16|MMP10|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/4319
e-|ROS|e-|ROS|http://purl.obolibrary.org/obo/CHEBI_10545|http://purl.obolibrary.org/obo/CHEBI_26523
MMP15|MMP23B|MMP15|MMP23B|http://www.ncbi.nlm.nih.gov/gene/4324|http://www.ncbi.nlm.nih.gov/gene/8510
