source_node,target_node,num_paths
FGFR2,KDR,8
FGFR2,FGFR1,71
FGFR2,EPHA2,4
FGFR2,EGFR,66
FGFR2,CSF1R,5
FGFR2,FGFR4,63
FGFR2,FLT1,5
FGFR2,FLT4,4
FGFR2,NGFR,4
FGFR2,KIT,62
FGFR2,MET,64
FGFR2,PDGFRB,62
FGFR2,TEK,48
FGFR2,FLT3,5
FGFR2,NTRK1,14
FGFR2,NTRK2,7
KDR,FGFR3,9
INSR,EGFR,26
INSR,CSF1R,3
FGFR2,PDGFRA,63
FGFR2,IGF1R,6
FGFR2,FGFR3,71
FGFR2,INSR,25
KDR,FGFR4,8
KDR,FLT1,15
KDR,FLT4,7
KDR,NGFR,3
KDR,MET,14
KDR,PDGFRA,8
KDR,PDGFRB,9
KDR,TEK,9
KDR,FLT3,2
KDR,NTRK1,4
KDR,NTRK2,4
INSR,FGFR3,25
INSR,IGF1R,10
INSR,KIT,26
INSR,FGFR1,26
KDR,KIT,8
INSR,EPHA2,2
KDR,IGF1R,3
KDR,INSR,3
KDR,FGFR1,9
KDR,EPHA2,6
FGFR3,NTRK1,12
FGFR3,NTRK2,6
INSR,MET,25
INSR,PDGFRA,26
INSR,PDGFRB,25
INSR,TEK,16
INSR,FLT3,3
INSR,NTRK1,7
KIT,EPHA2,4
INSR,NTRK2,6
FGFR3,KIT,63
FGFR3,FGFR1,68
FGFR3,EPHA2,4
FGFR3,EGFR,66
FGFR3,CSF1R,5
FGFR3,FGFR4,64
FGFR3,FLT1,5
FGFR3,FLT4,5
FGFR3,NGFR,4
FGFR3,IGF1R,7
FGFR3,FLT3,5
INSR,NGFR,3
KDR,CSF1R,2
INSR,FLT4,3
INSR,FGFR4,24
IGF1R,KIT,10
IGF1R,FGFR1,8
IGF1R,EPHA2,3
IGF1R,EGFR,9
IGF1R,CSF1R,4
IGF1R,FGFR4,5
IGF1R,FLT1,6
IGF1R,FLT4,4
IGF1R,NGFR,3
IGF1R,MET,6
IGF1R,PDGFRA,7
IGF1R,PDGFRB,7
IGF1R,TEK,6
IGF1R,FLT3,2
IGF1R,NTRK1,4
IGF1R,NTRK2,4
FGFR3,TEK,48
FGFR3,PDGFRB,62
FGFR3,PDGFRA,62
INSR,FLT1,2
KDR,EGFR,14
FGFR3,MET,62
KIT,FGFR1,62
KIT,MET,65
KIT,PDGFRA,65
KIT,PDGFRB,61
KIT,TEK,49
KIT,FLT3,6
KIT,NTRK1,12
KIT,NTRK2,6
FGFR1,EPHA2,4
FGFR1,EGFR,66
FGFR1,CSF1R,6
FGFR1,FGFR4,63
FGFR1,FLT1,5
FGFR1,FLT4,5
FGFR1,NGFR,5
FGFR1,MET,74
FGFR1,PDGFRB,63
EGFR,MET,74
EGFR,PDGFRA,61
KIT,EGFR,66
KIT,NGFR,3
EGFR,PDGFRB,62
KIT,FLT4,4
KIT,FGFR4,61
EPHA2,FGFR4,3
EPHA2,FLT1,1
EPHA2,FLT4,2
EPHA2,NGFR,1
EPHA2,MET,4
EPHA2,PDGFRA,4
EPHA2,PDGFRB,4
EPHA2,TEK,4
EPHA2,FLT3,2
EPHA2,NTRK1,2
EPHA2,NTRK2,2
EGFR,CSF1R,5
EGFR,FGFR4,61
EGFR,FLT1,4
EGFR,FLT4,5
FGFR1,FLT3,5
EGFR,NGFR,5
