Source,Target,edgeID,signal,color
"RELA","RELA","None","a","#000000"
"RELA","REL","WFK77_d4d1a_unlabeled","a","#unlabeled"
"RELA","NFKB1","WFK77_c6bb4_d4d1a_d4937_d7cfb_1","a","#nan"
"RELA","NFKBIA","WFK77_c6bb4_d4d1a_d4937_d7cfb_1","a","#nan"
"RELA","NFKBIE","WFK77_c6bb4_d4d1a_d4937_d7cfb_1","a","#nan"
"REL","RELA","d4d1a_WFK77_unlabeled","a","#unlabeled"
"REL","REL","None","a","#000000"
"REL","NFKB1","WFK77_c6bb4_d4d1a_d4937_d7cfb_3","a","#nan"
"REL","NFKBIA","WFK77_c6bb4_d4d1a_d4937_d7cfb_3","a","#nan"
"REL","NFKBIE","WFK77_c6bb4_d4d1a_d4937_d7cfb_3","a","#nan"
"NFKB1","RELA","WFK77_c6bb4_d4d1a_d4937_d7cfb_4","a","#nan"
"NFKB1","REL","WFK77_c6bb4_d4d1a_d4937_d7cfb_4","a","#nan"
"NFKB1","NFKB1","None","a","#000000"
"NFKB1","NFKBIA","WFK77_c6bb4_d4d1a_d4937_d7cfb_4","a","#nan"
"NFKB1","NFKBIE","WFK77_c6bb4_d4d1a_d4937_d7cfb_4","a","#nan"
"NFKBIA","RELA","WFK77_c6bb4_d4d1a_d4937_d7cfb_2","a","#nan"
"NFKBIA","REL","WFK77_c6bb4_d4d1a_d4937_d7cfb_2","a","#nan"
"NFKBIA","NFKB1","WFK77_c6bb4_d4d1a_d4937_d7cfb_2","a","#nan"
"NFKBIA","NFKBIA","None","a","#000000"
"NFKBIA","NFKBIE","c6bb4_d7cfb_unlabeled","a","#unlabeled"
"NFKBIE","RELA","WFK77_c6bb4_d4d1a_d4937_d7cfb_5","a","#nan"
"NFKBIE","REL","WFK77_c6bb4_d4d1a_d4937_d7cfb_5","a","#nan"
"NFKBIE","NFKB1","WFK77_c6bb4_d4d1a_d4937_d7cfb_5","a","#nan"
"NFKBIE","NFKBIA","d7cfb_c6bb4_unlabeled","a","#unlabeled"
"NFKBIE","NFKBIE","None","a","#000000"
"NFKB stimuli","CHUK","None","a","#000000"
"NFKB stimuli","IKBKB","None","a","#000000"
"NFKB stimuli","IKBKG","None","a","#000000"
"CHUK","RELA","None","a","#000000"
"CHUK","NFKBIA","None","a","#000000"
"CHUK","REL","None","a","#000000"
"CHUK","NFKB1","None","a","#000000"
"CHUK","NFKBIE","None","a","#000000"
"CHUK","IKBKB","eb4eb_f5a4f_unlabeled","a","#unlabeled"
"CHUK","IKBKG","eb4eb_f8aac_unlabeled","a","#unlabeled"
"IKBKB","RELA","None","a","#000000"
"IKBKB","NFKBIA","None","a","#000000"
"IKBKB","REL","None","a","#000000"
"IKBKB","NFKB1","None","a","#000000"
"IKBKB","NFKBIE","None","a","#000000"
"IKBKB","CHUK","f5a4f_eb4eb_unlabeled","a","#unlabeled"
"IKBKB","IKBKG","eb4eb_f5a4f_f8aac_2","a","#nan"
"IKBKG","RELA","None","a","#000000"
"IKBKG","NFKBIA","None","a","#000000"
"IKBKG","REL","None","a","#000000"
"IKBKG","NFKB1","None","a","#000000"
"IKBKG","NFKBIE","None","a","#000000"
"IKBKG","CHUK","f8aac_eb4eb_unlabeled","a","#unlabeled"
"IKBKG","IKBKB","eb4eb_f5a4f_f8aac_3","a","#nan"
