,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,RELA,8PJN1,c03e9,218.84615384615336,421.56871218668977,89.99999999999997,25.00000000000001,#None,Ensembl,ENSG00000173039,POINT (218.84615384615336 421.56871218668977)
1,NFKBIA,b0712,c03e9,256.69835782195327,370.78651685393265,90.0,25.0,#None,Ensembl,ENSG00000100906,POINT (256.69835782195327 370.78651685393265)
2,REL,ba194,c03e9,218.8461538461533,446.56871218668977,89.99999999999997,25.00000000000001,#None,Ensembl,ENSG00000162924,POINT (218.8461538461533 446.56871218668977)
3,NFKB1,d72bb,c03e9,310.28522039757974,430.42350907519364,90.0,25.0,#None,Ensembl,ENSG00000109320,POINT (310.28522039757974 430.42350907519364)
4,NFKBIE,e605f,c03e9,256.69835782195315,395.7865168539327,90.0,25.0,#None,Ensembl,ENSG00000146232,POINT (256.69835782195315 395.7865168539327)
5,CHUK,eb4eb,d4ced,454.8012100259291,319.0406222990493,90.0,25.00000000000001,#None,Ensembl,ENSG00000213341,POINT (454.8012100259291 319.0406222990493)
6,IKBKB,f5a4f,d4ced,454.8012100259291,344.04062229904923,90.0,25.0,#None,Ensembl,ENSG00000104365,POINT (454.8012100259291 344.04062229904923)
7,IKBKG,f8aac,d4ced,454.8012100259291,294.04062229904923,90.0,25.00000000000001,#None,Ensembl,ENSG00000269335,POINT (454.8012100259291 294.04062229904923)
8,RELA,5TO5Z,c41ce,220.2031114952456,606.1581676750218,89.99999999999997,25.00000000000001,#None,Ensembl,ENSG00000173039,POINT (220.2031114952456 606.1581676750218)
9,REL,5TDNM,c41ce,220.20311149524554,631.1581676750216,89.99999999999997,25.00000000000001,#None,Ensembl,ENSG00000162924,POINT (220.20311149524554 631.1581676750216)
10,NFKB1,ada00,c41ce,311.6421780466725,615.0129645635254,90.0,25.0,#None,Ensembl,ENSG00000109320,POINT (311.6421780466725 615.0129645635254)
11,NFKBIA,eebb4,f7bb1,503.5177182368194,415.3586862575628,90.0,25.0,#None,Ensembl,ENSG00000100906,POINT (503.5177182368194 415.3586862575628)
12,NFKBIE,bb67d,f7bb1,503.5177182368192,440.3586862575628,90.0,25.0,#None,Ensembl,ENSG00000146232,POINT (503.5177182368192 440.3586862575628)
13,RELA,WFK77,db377,218.47450302506365,255.25064822817674,89.99999999999997,25.00000000000001,#None,Ensembl,ENSG00000173039,POINT (218.47450302506365 255.25064822817674)
14,NFKBIA,c6bb4,db377,256.3267070008643,204.46845289541918,90.0,25.0,#None,Ensembl,ENSG00000100906,POINT (256.3267070008643 204.46845289541918)
15,REL,d4d1a,db377,218.47450302506354,280.2506482281766,89.99999999999997,25.00000000000001,#None,Ensembl,ENSG00000162924,POINT (218.47450302506354 280.2506482281766)
16,NFKB1,d4937,db377,309.91356957649054,264.10544511668036,90.0,25.0,#None,Ensembl,ENSG00000109320,POINT (309.91356957649054 264.10544511668036)
17,NFKBIE,d7cfb,db377,256.3267070008642,229.4684528954193,90.0,25.0,#None,Ensembl,ENSG00000146232,POINT (256.3267070008642 229.4684528954193)
