Source,Target,edgeID,signal,color
"TCTEX1D2","WDR35","None","a","#000000"
"TCTEX1D2","IFT122","None","a","#000000"
"TCTEX1D2","IFT140","None","a","#000000"
"TCTEX1D2","WDR19","None","a","#000000"
"TCTEX1D2","IFT22","None","a","#000000"
"TCTEX1D2","HSPB11","None","a","#000000"
"TCTEX1D2","IFT27","None","a","#000000"
"TCTEX1D2","IFT43","None","a","#000000"
"TCTEX1D2","IFT46","None","a","#000000"
"TCTEX1D2","IFT80","None","a","#000000"
"TCTEX1D2","IFT81","None","a","#000000"
"TCTEX1D2","WDR34","b77ca_c77cf_ce425_ce63c_f5372_f0701_ac44f_ef11b_b53fe_d6173_ed6f7_1","a","#nan"
"TCTEX1D2","DYNC2H1","b77ca_c77cf_ce425_ce63c_f5372_f0701_ac44f_ef11b_b53fe_d6173_ed6f7_1","a","#nan"
"TCTEX1D2","DYNC2LI1","b77ca_c77cf_ce425_ce63c_f5372_f0701_ac44f_ef11b_b53fe_d6173_ed6f7_1","a","#nan"
"TCTEX1D2","WDR60","b77ca_c77cf_ce425_ce63c_f5372_f0701_ac44f_ef11b_b53fe_d6173_ed6f7_1","a","#nan"
"TCTEX1D2","DYNLL2","b77ca_c77cf_ce425_ce63c_f5372_f0701_ac44f_ef11b_b53fe_d6173_ed6f7_1","a","#nan"
"TCTEX1D2","DYNLT1","b77ca_c77cf_ce425_ce63c_f5372_f0701_ac44f_ef11b_b53fe_d6173_ed6f7_1","a","#nan"
"TCTEX1D2","DYNLRB1","b77ca_c77cf_ce425_ce63c_f5372_f0701_ac44f_ef11b_b53fe_d6173_ed6f7_1","a","#nan"
"TCTEX1D2","DYNLL1","b77ca_c77cf_ce425_ce63c_f5372_f0701_ac44f_ef11b_b53fe_d6173_ed6f7_1","a","#nan"
"TCTEX1D2","DYNLRB2","b77ca_c77cf_ce425_ce63c_f5372_f0701_ac44f_ef11b_b53fe_d6173_ed6f7_1","a","#nan"
"TCTEX1D2","DYNLT3","b77ca_ed6f7_unlabeled","a","#unlabeled"
"WDR35","IFT122","27NUM_DH7K1_unlabeled","a","#unlabeled"
"WDR35","IFT140","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_1","a","#nan"
"WDR35","WDR19","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_1","a","#nan"
"WDR35","IFT22","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_1","a","#nan"
"WDR35","HSPB11","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_1","a","#nan"
"WDR35","IFT27","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_1","a","#nan"
"WDR35","IFT43","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_1","a","#nan"
"WDR35","IFT46","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_1","a","#nan"
"WDR35","IFT80","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_1","a","#nan"
"WDR35","IFT81","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_1","a","#nan"
"IFT122","WDR35","DH7K1_27NUM_unlabeled","a","#unlabeled"
"IFT122","IFT140","DH7K1_P4CV2_unlabeled","a","#unlabeled"
"IFT122","WDR19","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_2","a","#nan"
"IFT122","IFT22","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_2","a","#nan"
"IFT122","HSPB11","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_2","a","#nan"
"IFT122","IFT27","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_2","a","#nan"
"IFT122","IFT43","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_2","a","#nan"
"IFT122","IFT46","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_2","a","#nan"
"IFT122","IFT80","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_2","a","#nan"
"IFT122","IFT81","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_2","a","#nan"
"IFT140","WDR35","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_3","a","#nan"
"IFT140","IFT122","P4CV2_DH7K1_unlabeled","a","#unlabeled"
"IFT140","WDR19","P4CV2_4HY5Z_unlabeled","a","#unlabeled"
"IFT140","IFT22","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_3","a","#nan"
"IFT140","HSPB11","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_3","a","#nan"
"IFT140","IFT27","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_3","a","#nan"
"IFT140","IFT43","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_3","a","#nan"
"IFT140","IFT46","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_3","a","#nan"
"IFT140","IFT80","27NUM_DH7K1_P4CV2_4HY5Z_FN265_YRKXS_OEIU2_D68KU_6XJCO_S03GR_TBJMV_3","a","#nan"
