,textlabel,graphid,groupref,centerX,centerY,width,height,color,database,databaseID,geometry
0,DUSP2,S2KXW,a13c0,1112.40436105049,983.2464944056861,89.99999999999993,24.999999999999982,#None,Entrez Gene,1844,POINT (1112.40436105049 983.2464944056861)
1,GHR,S6ODB,ed488,883.4080868920144,405.1929826503845,80.0,20.0,#None,Entrez Gene,2690,POINT (883.4080868920144 405.1929826503845)
2,IFNAR1,L3WUW,d9cf2,1040.4739716193903,303.3513863429515,90.00000000000004,25.0,#None,Entrez Gene,3454,POINT (1040.4739716193903 303.3513863429515)
3,IL2RA,ZOAXY,bb866,423.5557764967364,366.81689642609103,90.0,24.99999999999998,#None,Entrez Gene,3559,POINT (423.5557764967364 366.81689642609103)
4,IL7R,GU7SM,de938,538.1197112023854,368.4491074204511,90.0,24.99999999999998,#None,Entrez Gene,3575,POINT (538.1197112023854 368.4491074204511)
5,PTPRC,LRKXV,a13c0,1112.40436105049,933.2464944056861,89.99999999999993,24.999999999999982,#None,Entrez Gene,5788,POINT (1112.40436105049 933.2464944056861)
6,MAPK1,a0aa5,a9577,415.6516897984722,900.9084323739132,90.00000000000001,24.99999999999993,#None,Entrez Gene,5594,POINT (415.6516897984722 900.9084323739132)
7,CSF2RB,a0dc9,f2b84,726.9205939315685,383.2956746287927,90.0,25.0,#None,HGNC,CSF2RB,POINT (726.9205939315685 383.2956746287927)
8,SOCS3,a2f44,,90.7464187333112,830.3276660352303,80.0,20.0,#None,Entrez Gene,9021,POINT (90.7464187333112 830.3276660352303)
9,IFNGR1,a33b1,f42d5,1036.408967966057,377.139121405956,90.00000000000004,25.0,#None,HGNC,IFNGR1,POINT (1036.408967966057 377.139121405956)
10,MAPKAP1,a49c6,ea90a,494.5380007033437,1216.5696852741407,89.99999999999997,24.99999999999993,#None,HGNC,MAPKAP1,POINT (494.5380007033437 1216.5696852741407)
11,MAPK14,a5a21,a9577,415.6516897984722,1025.9084323739128,90.00000000000001,24.99999999999993,#None,Entrez Gene,1432,POINT (415.6516897984722 1025.9084323739128)
12,CREBBP,a970d,,853.8470578203305,1526.6371751470085,90.0,25.0,#None,HGNC,CREBBP,POINT (853.8470578203305 1526.6371751470085)
13,SRC,aa0a8,,1403.9886857753154,723.6195481537081,90.0,25.0,#None,HGNC,SRC,POINT (1403.9886857753154 723.6195481537081)
14,MAPK15,ab8f9,a9577,508.45911439244054,948.41423283795,90.00000000000001,24.99999999999993,#None,HGNC,MAPK15,POINT (508.45911439244054 948.41423283795)
15,PDGFRB,acac2,f4624,1348.2063180439065,563.1667101415447,90.0,25.0,#None,HGNC,PDGFRB,POINT (1348.2063180439065 563.1667101415447)
16,MAPK12,adf07,a9577,415.6516897984722,975.9084323739129,90.00000000000001,24.99999999999993,#None,Entrez Gene,6300,POINT (415.6516897984722 975.9084323739129)
17,OSMR,aeb6f,db32c,197.5872527967609,593.9253546817583,90.00000000000001,25.0,#None,Entrez Gene,9180,POINT (197.5872527967609 593.9253546817583)
18,SETD7,af521,,814.2858068765568,1498.8936380610703,90.0,25.0,#None,HGNC,SETD7,POINT (814.2858068765568 1498.8936380610703)
19,IL10RA,aff11,bd139,1032.650523644102,451.56324108138597,90.00000000000004,25.0,#None,HGNC,IL10RA,POINT (1032.650523644102 451.56324108138597)
