source_node,target_node,num_paths
NF2,STK3,2
NF2,SAV1,2
NF2,STK4,2
STK3,STK38L,1
STK3,NDRG1,1
STK3,CXCL10,2
STK3,LATS1,3
STK3,LATS2,3
STK3,SAV1,3
STK3,STK4,2
SAV1,STK38L,1
SAV1,NDRG1,1
SAV1,CXCL10,2
SAV1,LATS1,3
SAV1,LATS2,3
SAV1,STK3,3
SAV1,STK4,2
STK4,STK38L,2
STK4,NDRG1,3
STK4,CXCL10,2
STK4,LATS1,2
STK4,LATS2,2
STK4,STK3,2
STK4,SAV1,2
MINK1,STK38L,2
MINK1,NDRG1,1
MINK1,CXCL10,1
MINK1,LATS1,1
MINK1,LATS2,1
MINK1,TNIK,4
MINK1,MAP4K1,2
MINK1,MAP4K2,2
MINK1,MAP4K4,5
MINK1,MAP4K3,1
STK38L,NDRG1,1
NDRG1,STK38L,1
TNIK,STK38L,1
TNIK,NDRG1,2
TNIK,CXCL10,1
TNIK,LATS1,1
TNIK,LATS2,1
TNIK,MINK1,4
TNIK,MAP4K1,1
TNIK,MAP4K2,1
TNIK,MAP4K4,4
TNIK,MAP4K3,1
MAP4K1,STK38L,2
MAP4K1,NDRG1,1
MAP4K1,CXCL10,1
MAP4K1,LATS1,1
MAP4K1,LATS2,1
MAP4K1,MINK1,2
MAP4K1,TNIK,1
MAP4K1,MAP4K2,2
MAP4K1,MAP4K4,2
MAP4K1,MAP4K3,2
MAP4K2,STK38L,2
MAP4K2,NDRG1,1
MAP4K2,CXCL10,1
MAP4K2,LATS1,1
MAP4K2,LATS2,1
MAP4K2,MINK1,2
MAP4K2,TNIK,1
MAP4K2,MAP4K1,2
MAP4K2,MAP4K4,2
MAP4K2,MAP4K3,1
MAP4K4,STK38L,2
MAP4K4,NDRG1,1
MAP4K4,CXCL10,1
MAP4K4,LATS1,1
MAP4K4,LATS2,1
MAP4K4,MINK1,5
MAP4K4,TNIK,4
MAP4K4,MAP4K1,2
MAP4K4,MAP4K2,2
MAP4K4,MAP4K3,1
MAP4K3,STK38L,1
MAP4K3,NDRG1,1
MAP4K3,CXCL10,1
MAP4K3,LATS1,1
MAP4K3,LATS2,1
MAP4K3,MINK1,1
MAP4K3,TNIK,1
MAP4K3,MAP4K1,2
MAP4K3,MAP4K2,1
MAP4K3,MAP4K4,1
CXCL10,YAP1,2
CXCL10,WWTR1,2
CXCL10,LATS1,2
CXCL10,LATS2,2
YAP1,TEAD1,9
YAP1,TEAD2,8
YAP1,TEAD3,8
YAP1,TEAD4,8
YAP1,WWTR1,11
WWTR1,TEAD1,8
WWTR1,TEAD2,8
WWTR1,TEAD3,8
WWTR1,TEAD4,8
WWTR1,YAP1,11
LATS1,YAP1,3
LATS1,WWTR1,3
LATS1,CXCL10,2
LATS1,LATS2,13
LATS2,YAP1,3
LATS2,WWTR1,3
LATS2,CXCL10,2
LATS2,LATS1,13
RASSF1,STK3,1
RASSF1,SAV1,1
RASSF1,STK4,1
TEAD1,TEAD2,8
TEAD1,TEAD3,8
TEAD1,TEAD4,8
TEAD1,YAP1,9
TEAD1,WWTR1,8
TEAD2,TEAD1,8
TEAD2,TEAD3,8
TEAD2,TEAD4,8
TEAD2,YAP1,8
TEAD2,WWTR1,8
TEAD3,TEAD1,8
TEAD3,TEAD2,8
TEAD3,TEAD4,9
TEAD3,YAP1,8
TEAD3,WWTR1,8
TEAD4,TEAD1,8
TEAD4,TEAD2,8
TEAD4,TEAD3,9
TEAD4,YAP1,8
TEAD4,WWTR1,8
