PRKAG1
NTRK2
FLT3
PLCB4
FGFR4
PDGFRA
CDH6
CDH18
LEF1
IGF1R
EPHA2
PRKACG
FGFR2
PRKCA
PLCB3
CDH19
INSR
CDH16
PRKD3
FGFR1
