source_node,target_node,num_paths
IFNAR1,IFNAR2,6
IFNAR2,JAK1,6
IFNAR2,TYK2,7
IFNGR2,JAK1,7
IFNGR2,JAK2,8
IFNGR2,TYK2,5
IL10RA,JAK1,5
IL10RA,JAK2,6
IFNAR1,JAK1,6
IL10RA,TYK2,6
IL10RA,IL10RB,8
IL10RB,JAK2,6
IL10RB,TYK2,6
IL10RB,IFNLR1,4
IL10RB,IL22RA1,5
IL20RA,JAK1,4
IL20RA,JAK2,5
IL20RA,TYK2,4
IL22RA1,JAK1,5
IL22RA1,JAK2,5
IL21R,JAK3,3
IL22RA1,TYK2,4
IL6ST,IL11RA,7
CSF3R,JAK2,6
IL2RA,JAK3,54
IL2RA,JAK1,54
IL9R,JAK3,4
IL9R,JAK1,4
IL21R,JAK1,2
IL15RA,JAK1,4
IL6ST,TYK2,13
IL7R,IL2RG,6
IL6ST,CTF1,6
IL2RG,JAK3,56
IL2RG,JAK1,55
IL2RG,IL21R,2
IL2RG,IL9R,4
IL15RA,JAK3,4
IL2RG,IL2RA,55
IL6ST,IL6R,16
IL6ST,OSMR,6
IL6ST,CNTFR,7
IL6ST,LIFR,9
IL6ST,JAK2,16
IL6ST,JAK1,15
IL2RG,IL15RA,4
IFNAR1,TYK2,6
IL10RB,JAK1,5
IFNLR1,JAK1,4
IL5RA,JAK2,54
CSF2RA,IL3RA,54
IL20RA,IL22RA1,5
IL15RA,IL2RA,4
IL5RA,CSF2RA,54
IL7R,JAK1,5
IL5RA,IL3RA,53
EGFR,JAK1,49
IFNLR1,TYK2,6
EGFR,JAK2,54
EGFR,SRC,68
PDGFRB,JAK1,48
PDGFRB,JAK2,52
PDGFRB,SRC,60
F2RL2,JAK2,8
F2RL2,AGTR2,8
IFNLR1,JAK2,4
PDGFRA,SRC,59
PDGFRA,JAK1,47
AGTR2,JAK2,5
PDGFRB,PDGFRA,61
TRIM28,STAT3,3
SETD7,STAT3,1
CREBBP,STAT3,11
CSF3R,TYK2,5
PDGFRA,JAK2,50
IL3RA,JAK2,53
MAPK1,MAPK7,36
MAPK1,MAPK6,3
MAPK1,MAPK3,147
MAPK1,MAPK10,28
MAPK1,MAPK13,11
MAPK1,MAPK4,4
MAPK1,MAPK12,12
MAPK1,MAPK8,36
F2RL3,F2RL2,13
F2RL3,JAK2,8
MAPK15,MAPK12,2
MAPK15,MAPK9,1
MAPK15,MAPK8,2
MAPK15,MAPK7,1
MAPK15,MAPK6,1
MAPK15,MAPK3,2
MAPK15,MAPK10,2
MAPK15,MAPK13,2
IL7R,JAK3,8
F2RL3,AGTR2,8
MAPK12,MAPK9,3
MAPK15,MAPK4,2
MAPK3,MAPK13,11
MAPK1,MAPK9,30
STAT3,STMN1,7
SOCS3,JAK2,15
SOCS3,JAK1,15
SOCS3,TYK2,11
PTPRD,STAT3,2
PTPRD,PTPRC,2
PTPRD,PTPRT,1
MLST8,STAT3,11
MLST8,MTOR,52
MLST8,AKT1S1,38
MLST8,DEPTOR,1
MLST8,MAPKAP1,37
MLST8,RICTOR,37
MTOR,STAT3,21
MTOR,AKT1S1,37
MTOR,DEPTOR,1
MTOR,MAPKAP1,36
MTOR,RICTOR,36
AKT1S1,DEPTOR,1
MAPK1,MAPK15,2
MAPK12,MAPK10,4
MAPK12,MAPK4,3
MAPK14,MAPK3,42
MAPK6,MAPK10,2
MAPK6,MAPK4,4
MAPK3,MAPK4,4
MAPK10,MAPK13,4
MAPK1,MAPK14,42
MAPK10,MAPK4,2
MAPK13,MAPK4,3
PRKCB,STAT3,7
MAPKAP1,STAT3,10
MAPKAP1,RICTOR,37
RICTOR,STAT3,10
JAK2,STAT3,22
PTPRC,STAT3,5
MAPK3,MAPK10,28
MAPK12,MAPK7,7
PTPRC,PTPRT,1
PIAS3,STAT3,3
CSF2RA,JAK2,54
MPL,JAK2,4
MPL,TYK2,2
GHR,JAK2,9
GHR,TYK2,4
PTPRT,STAT3,3
MAPK12,MAPK8,8
MAPK12,MAPK6,2
MAPK12,MAPK13,16
MAPK12,MAPK3,12
MAPK6,MAPK3,3
MAPK9,MAPK8,34
MAPK9,MAPK7,24
MAPK14,MAPK6,2
MAPK9,MAPK6,1
MAPK9,MAPK3,30
MAPK9,MAPK10,28
MAPK9,MAPK13,3
MAPK6,MAPK13,2
MAPK9,MAPK4,1
MAPK8,MAPK6,2
MAPK8,MAPK3,37
MAPK8,MAPK10,29
MAPK8,MAPK13,8
MAPK8,MAPK4,3
MAPK7,MAPK6,2
MAPK14,MAPK4,2
MAPK14,MAPK13,16
MAPK14,MAPK10,25
MAPK7,MAPK3,36
MAPK7,MAPK10,23
MAPK14,MAPK7,29
MAPK14,MAPK8,31
MAPK14,MAPK9,26
MAPK14,MAPK12,20
MAPK14,MAPK15,1
MAPK7,MAPK13,6
MAPK7,MAPK4,2
MAPK8,MAPK7,26
SOCS3,STAT3,14
