source|target
SIN3A|SKIL
TEAD1|TEAD1
TEAD4|SKIL
TEAD4|LATS2
TEAD3|SKIL
TEAD3|LATS2
TEAD1|SKIL
TEAD1|LATS2
PRMT5|SKIL
PRMT5|LATS2
Mob|SKIL
Mob|LATS2
HDAC3|SKIL
HDAC3|LATS2
SATB2|SKIL
SATB2|LATS2
HDAC1|SKIL
HDAC1|LATS2
NF1|SKIL
NF1|LATS2
MERTK|SKIL
MERTK|LATS2
TEAD3|TEAD4
TEAD1|TEAD4
TEAD1|TEAD3
LATS2|SKIL
SKIL|MECP2
SKIL|STK3
SKIL|ING2
SKIL|LATS1
TEAD3|TEAD3
TEAD4|TEAD4
