source|target
RELA|RELA
IKBKG|RELA
IKBKB|IKBKG
IKBKB|NFKB1
NFKBIA|NFKBIA
IKBKB|NFKBIA
IKBKB|RELA
CHUK|IKBKG
CHUK|IKBKB
CHUK|NFKB1
CHUK|NFKBIA
CHUK|RELA
NFKB stimuli|IKBKG
NFKB stimuli|IKBKB
NFKB stimuli|CHUK
NFKB1|NFKB1
NFKB1|NFKBIA
RELA|NFKBIA
RELA|NFKB1
IKBKG|NFKBIA
IKBKG|NFKB1
