source_node,target_node,num_paths
Sparc,Cell adhesion,1361
Sparc,PAI-1,8
14-3-3,TAZ,4
14-3-3,Smad2,4
14-3-3,Smad4,4
TAZ,POSTN,1
TAZ,SERPINE1,7
Smad4,Sparc,3
TAZ,Smad2,7
Smad2,POSTN,2
Smad2,SERPINE1,8
Smad2,Smad4,24
Smad2,TGFβ-II-R,17
Smad4,POSTN,2
Smad4,SERPINE1,10
Smad2,Sparc,1
TAZ,Smad4,8
Smad3,SERPINE1,10
Smad3,POSTN,3
TAZ,Sparc,1
Smad2,Smad3,29
TGFβ-I-R,Smad2,18
TGFβ-I-R,Smad3,25
TGFβ-I-R,TGFβ-II-R,26
TAZ,Smad3,7
TGFβ-I-R,TGFβ-III-R,1
TGFβ-II-R,TGFβ-III-R,1
POSTN,Sparc,2
14-3-3,Smad3,4
TAZ,CTFG,9
Smad2,CTFG,4
Smad4,CTFG,4
Smad3,Smad4,25
Smad3,CTFG,5
TGF-β,TGFβ-II-R,28
Smad3,Sparc,5
