Curie,Uri
DRUGBANK:DB14500,http://purl.obolibrary.org/obo/DRUGBANK_DB14500
DRUGBANK:DB02527,http://purl.obolibrary.org/obo/DRUGBANK_DB02527
DRUGBANK:DB00151,http://purl.obolibrary.org/obo/DRUGBANK_DB00151
DRUGBANK:DB02891,http://purl.obolibrary.org/obo/DRUGBANK_DB02891
DRUGBANK:DB11846,http://purl.obolibrary.org/obo/DRUGBANK_DB11846
DRUGBANK:DB00815,http://purl.obolibrary.org/obo/DRUGBANK_DB00815
MOP:0000364,http://purl.obolibrary.org/obo/MOP_0000364
GO:0022838,http://purl.obolibrary.org/obo/GO_0022838
DRUGBANK:DB15056,http://purl.obolibrary.org/obo/DRUGBANK_DB15056
DRUGBANK:DB11842,http://purl.obolibrary.org/obo/DRUGBANK_DB11842
MOP:0000410,http://purl.obolibrary.org/obo/MOP_0000410
MOP:0000369,http://purl.obolibrary.org/obo/MOP_0000369
DRUGBANK:DB00123,http://purl.obolibrary.org/obo/DRUGBANK_DB00123
CL:0000181,http://purl.obolibrary.org/obo/CL_0000181
DRUGBANK:DB01593,http://purl.obolibrary.org/obo/DRUGBANK_DB01593
DRUGBANK:DB10710,http://purl.obolibrary.org/obo/DRUGBANK_DB10710
GO:0044702,http://purl.obolibrary.org/obo/GO_0044702
DRUGBANK:DB14547,http://purl.obolibrary.org/obo/DRUGBANK_DB14547
DRUGBANK:DB00145,http://purl.obolibrary.org/obo/DRUGBANK_DB00145
DRUGBANK:DB09130,http://purl.obolibrary.org/obo/DRUGBANK_DB09130
GO:0005057,http://purl.obolibrary.org/obo/GO_0005057
UBERON:0000470,http://purl.obolibrary.org/obo/UBERON_0000470
GO:0044430,http://purl.obolibrary.org/obo/GO_0044430
DRUGBANK:DB00149,http://purl.obolibrary.org/obo/DRUGBANK_DB00149
DRUGBANK:DB00368,http://purl.obolibrary.org/obo/DRUGBANK_DB00368
GO:0004702,http://purl.obolibrary.org/obo/GO_0004702
NCBITaxon:186285,http://purl.obolibrary.org/obo/NCBITaxon_186285
NCBITaxon:46879,http://purl.obolibrary.org/obo/NCBITaxon_46879
PR:Q42578,http://purl.obolibrary.org/obo/PR_Q42578
PR:000041244,http://purl.obolibrary.org/obo/PR_000041244
GO:0030529,http://purl.obolibrary.org/obo/GO_0030529
MOP:0000029,http://purl.obolibrary.org/obo/MOP_0000029
DRUGBANK:DB00396,http://purl.obolibrary.org/obo/DRUGBANK_DB00396
DRUGBANK:DB03128,http://purl.obolibrary.org/obo/DRUGBANK_DB03128
DRUGBANK:DB15006,http://purl.obolibrary.org/obo/DRUGBANK_DB15006
DRUGBANK:DB03904,http://purl.obolibrary.org/obo/DRUGBANK_DB03904
DRUGBANK:DB00624,http://purl.obolibrary.org/obo/DRUGBANK_DB00624
DRUGBANK:DB01109,http://purl.obolibrary.org/obo/DRUGBANK_DB01109
GO:0055114,http://purl.obolibrary.org/obo/GO_0055114
DRUGBANK:DB00160,http://purl.obolibrary.org/obo/DRUGBANK_DB00160
PR:000029063,http://purl.obolibrary.org/obo/PR_000029063
DRUGBANK:DB14546,http://purl.obolibrary.org/obo/DRUGBANK_DB14546
DRUGBANK:DB00945,http://purl.obolibrary.org/obo/DRUGBANK_DB00945
DRUGBANK:DB00741,http://purl.obolibrary.org/obo/DRUGBANK_DB00741
DRUGBANK:DB00150,http://purl.obolibrary.org/obo/DRUGBANK_DB00150
DRUGBANK:DB00783,http://purl.obolibrary.org/obo/DRUGBANK_DB00783
DRUGBANK:DB00640,http://purl.obolibrary.org/obo/DRUGBANK_DB00640
DRUGBANK:DB00156,http://purl.obolibrary.org/obo/DRUGBANK_DB00156
DRUGBANK:DB15230,http://purl.obolibrary.org/obo/DRUGBANK_DB15230
DRUGBANK:DB10519,http://purl.obolibrary.org/obo/DRUGBANK_DB10519
DRUGBANK:DB14865,http://purl.obolibrary.org/obo/DRUGBANK_DB14865
DRUGBANK:DB00120,http://purl.obolibrary.org/obo/DRUGBANK_DB00120
PR:000029033,http://purl.obolibrary.org/obo/PR_000029033
MOP:0000162,http://purl.obolibrary.org/obo/MOP_0000162
DRUGBANK:DB05768,http://purl.obolibrary.org/obo/DRUGBANK_DB05768
DRUGBANK:DB00142,http://purl.obolibrary.org/obo/DRUGBANK_DB00142
DRUGBANK:DB10529,http://purl.obolibrary.org/obo/DRUGBANK_DB10529
DRUGBANK:DB10447,http://purl.obolibrary.org/obo/DRUGBANK_DB10447
DRUGBANK:DB00131,http://purl.obolibrary.org/obo/DRUGBANK_DB00131
NCBITaxon:4930,http://purl.obolibrary.org/obo/NCBITaxon_4930
DRUGBANK:DB11133,http://purl.obolibrary.org/obo/DRUGBANK_DB11133
NCBITaxon:4932,http://purl.obolibrary.org/obo/NCBITaxon_4932
GO:0044429,http://purl.obolibrary.org/obo/GO_0044429
DRUGBANK:DB00062,http://purl.obolibrary.org/obo/DRUGBANK_DB00062
DRUGBANK:DB02772,http://purl.obolibrary.org/obo/DRUGBANK_DB02772
NCBITaxon:35301,http://purl.obolibrary.org/obo/NCBITaxon_35301
DRUGBANK:DB11132,http://purl.obolibrary.org/obo/DRUGBANK_DB11132
DRUGBANK:DB00515,http://purl.obolibrary.org/obo/DRUGBANK_DB00515
DRUGBANK:DB00091,http://purl.obolibrary.org/obo/DRUGBANK_DB00091
GO:0044463,http://purl.obolibrary.org/obo/GO_0044463
DRUGBANK:DB14151,http://purl.obolibrary.org/obo/DRUGBANK_DB14151
DRUGBANK:DB06633,http://purl.obolibrary.org/obo/DRUGBANK_DB06633
DRUGBANK:DB11094,http://purl.obolibrary.org/obo/DRUGBANK_DB11094
DRUGBANK:DB00126,http://purl.obolibrary.org/obo/DRUGBANK_DB00126
DRUGBANK:DB12880,http://purl.obolibrary.org/obo/DRUGBANK_DB12880
GO:1902589,http://purl.obolibrary.org/obo/GO_1902589
DRUGBANK:DB00052,http://purl.obolibrary.org/obo/DRUGBANK_DB00052
DRUGBANK:DB12965,http://purl.obolibrary.org/obo/DRUGBANK_DB12965
DRUGBANK:DB03843,http://purl.obolibrary.org/obo/DRUGBANK_DB03843
DRUGBANK:DB01367,http://purl.obolibrary.org/obo/DRUGBANK_DB01367
DRUGBANK:DB00128,http://purl.obolibrary.org/obo/DRUGBANK_DB00128
DRUGBANK:DB05381,http://purl.obolibrary.org/obo/DRUGBANK_DB05381
DRUGBANK:DB02530,http://purl.obolibrary.org/obo/DRUGBANK_DB02530
PR:000045382,http://purl.obolibrary.org/obo/PR_000045382
DRUGBANK:DB01221,http://purl.obolibrary.org/obo/DRUGBANK_DB01221
PR:000036816,http://purl.obolibrary.org/obo/PR_000036816
PR:000036817,http://purl.obolibrary.org/obo/PR_000036817
PR:000036818,http://purl.obolibrary.org/obo/PR_000036818
PR:O73682,http://purl.obolibrary.org/obo/PR_O73682
NCBITaxon:9702,http://purl.obolibrary.org/obo/NCBITaxon_9702
DRUGBANK:DB01234,http://purl.obolibrary.org/obo/DRUGBANK_DB01234
DRUGBANK:DB01509,http://purl.obolibrary.org/obo/DRUGBANK_DB01509
DRUGBANK:DB04485,http://purl.obolibrary.org/obo/DRUGBANK_DB04485
DRUGBANK:DB10579,http://purl.obolibrary.org/obo/DRUGBANK_DB10579
DRUGBANK:DB01992,http://purl.obolibrary.org/obo/DRUGBANK_DB01992
PR:P54644,http://purl.obolibrary.org/obo/PR_P54644
DRUGBANK:DB14049,http://purl.obolibrary.org/obo/DRUGBANK_DB14049
GO:0016458,http://purl.obolibrary.org/obo/GO_0016458
DRUGBANK:DB00668,http://purl.obolibrary.org/obo/DRUGBANK_DB00668
DRUGBANK:DB11237,http://purl.obolibrary.org/obo/DRUGBANK_DB11237
DRUGBANK:DB00132,http://purl.obolibrary.org/obo/DRUGBANK_DB00132
DRUGBANK:DB09287,http://purl.obolibrary.org/obo/DRUGBANK_DB09287
DRUGBANK:DB14158,http://purl.obolibrary.org/obo/DRUGBANK_DB14158
DRUGBANK:DB05382,http://purl.obolibrary.org/obo/DRUGBANK_DB05382
PR:000029043,http://purl.obolibrary.org/obo/PR_000029043
DRUGBANK:DB00295,http://purl.obolibrary.org/obo/DRUGBANK_DB00295
DRUGBANK:DB10563,http://purl.obolibrary.org/obo/DRUGBANK_DB10563
GO:0044420,http://purl.obolibrary.org/obo/GO_0044420
DRUGBANK:DB11091,http://purl.obolibrary.org/obo/DRUGBANK_DB11091
DRUGBANK:DB00531,http://purl.obolibrary.org/obo/DRUGBANK_DB00531
DRUGBANK:DB14513,http://purl.obolibrary.org/obo/DRUGBANK_DB14513
DRUGBANK:DB12182,http://purl.obolibrary.org/obo/DRUGBANK_DB12182
DRUGBANK:DB01285,http://purl.obolibrary.org/obo/DRUGBANK_DB01285
DRUGBANK:DB13598,http://purl.obolibrary.org/obo/DRUGBANK_DB13598
DRUGBANK:DB11300,http://purl.obolibrary.org/obo/DRUGBANK_DB11300
DRUGBANK:DB00161,http://purl.obolibrary.org/obo/DRUGBANK_DB00161
DRUGBANK:DB09462,http://purl.obolibrary.org/obo/DRUGBANK_DB09462
GO:0015077,http://purl.obolibrary.org/obo/GO_0015077
DRUGBANK:DB09222,http://purl.obolibrary.org/obo/DRUGBANK_DB09222
DRUGBANK:DB00158,http://purl.obolibrary.org/obo/DRUGBANK_DB00158
