source|target|source_label|target_label|source_id|target_id
MERTK|SKI|MERTK|SKI|http://www.ncbi.nlm.nih.gov/gene/10461|http://www.ncbi.nlm.nih.gov/gene/6497
TEAD3|TEAD4|TEAD3|TEAD4|http://www.ncbi.nlm.nih.gov/gene/7005|http://www.ncbi.nlm.nih.gov/gene/7004
TEAD3|SKI|TEAD3|SKI|http://www.ncbi.nlm.nih.gov/gene/7005|http://www.ncbi.nlm.nih.gov/gene/6497
TEAD2|TEAD4|TEAD2|TEAD4|http://www.ncbi.nlm.nih.gov/gene/8463|http://www.ncbi.nlm.nih.gov/gene/7004
TEAD2|TEAD3|TEAD2|TEAD3|http://www.ncbi.nlm.nih.gov/gene/8463|http://www.ncbi.nlm.nih.gov/gene/7005
TEAD2|SKI|TEAD2|SKI|http://www.ncbi.nlm.nih.gov/gene/8463|http://www.ncbi.nlm.nih.gov/gene/6497
TEAD1|TEAD4|TEAD1|TEAD4|http://www.ncbi.nlm.nih.gov/gene/7003|http://www.ncbi.nlm.nih.gov/gene/7004
TEAD1|TEAD3|TEAD1|TEAD3|http://www.ncbi.nlm.nih.gov/gene/7003|http://www.ncbi.nlm.nih.gov/gene/7005
TEAD1|TEAD2|TEAD1|TEAD2|http://www.ncbi.nlm.nih.gov/gene/7003|http://www.ncbi.nlm.nih.gov/gene/8463
TEAD1|SKI|TEAD1|SKI|http://www.ncbi.nlm.nih.gov/gene/7003|http://www.ncbi.nlm.nih.gov/gene/6497
PRMT5|SKI|PRMT5|SKI|http://www.ncbi.nlm.nih.gov/gene/10419|http://www.ncbi.nlm.nih.gov/gene/6497
TEAD4|SKI|TEAD4|SKI|http://www.ncbi.nlm.nih.gov/gene/7004|http://www.ncbi.nlm.nih.gov/gene/6497
Mob|SKI|Mob|SKI|http://purl.obolibrary.org/obo/PR_Q86VZ5|http://www.ncbi.nlm.nih.gov/gene/6497
SATB2|SKI|SATB2|SKI|http://www.ncbi.nlm.nih.gov/gene/23314|http://www.ncbi.nlm.nih.gov/gene/6497
LATS2|SKIL|LATS2|SKIL|http://www.ncbi.nlm.nih.gov/gene/26524|http://www.ncbi.nlm.nih.gov/gene/6498
HDAC1|SKI|HDAC1|SKI|http://www.ncbi.nlm.nih.gov/gene/3065|http://www.ncbi.nlm.nih.gov/gene/6497
SKIL|MECP2|SKIL|MECP2|http://www.ncbi.nlm.nih.gov/gene/6498|http://www.ncbi.nlm.nih.gov/gene/4204
SKIL|STK3|SKIL|STK3|http://www.ncbi.nlm.nih.gov/gene/6498|http://www.ncbi.nlm.nih.gov/gene/6788
SKIL|ING2|SKIL|ING2|http://www.ncbi.nlm.nih.gov/gene/6498|http://www.ncbi.nlm.nih.gov/gene/3622
SKIL|LATS1|SKIL|LATS1|http://www.ncbi.nlm.nih.gov/gene/6498|http://www.ncbi.nlm.nih.gov/gene/9113
SIN3A|SKIL|SIN3A|SKIL|http://www.ncbi.nlm.nih.gov/gene/25942|http://www.ncbi.nlm.nih.gov/gene/6498
NF1|SKI|NF1|SKI|http://www.ncbi.nlm.nih.gov/gene/4763|http://www.ncbi.nlm.nih.gov/gene/6497
SKI|LATS2|SKI|LATS2|http://www.ncbi.nlm.nih.gov/gene/6497|http://www.ncbi.nlm.nih.gov/gene/26524
HDAC3|SKI|HDAC3|SKI|http://www.ncbi.nlm.nih.gov/gene/8841|http://www.ncbi.nlm.nih.gov/gene/6497
SKI|SKIL|SKI|SKIL|http://www.ncbi.nlm.nih.gov/gene/6497|http://www.ncbi.nlm.nih.gov/gene/6498
