source|target
NF2|STK3
NF2|SAV1
NF2|STK4
STK3|STK38L
STK3|NDRG1
STK3|CXCL10
STK3|LATS1
STK3|LATS2
STK3|SAV1
STK3|STK4
SAV1|STK38L
SAV1|NDRG1
SAV1|CXCL10
SAV1|LATS1
SAV1|LATS2
SAV1|STK3
SAV1|STK4
STK4|STK38L
STK4|NDRG1
STK4|CXCL10
STK4|LATS1
STK4|LATS2
STK4|STK3
STK4|SAV1
MINK1|STK38L
MINK1|NDRG1
MINK1|CXCL10
MINK1|LATS1
MINK1|LATS2
MINK1|TNIK
MINK1|MAP4K1
MINK1|MAP4K2
MINK1|MAP4K4
MINK1|MAP4K3
STK38L|NDRG1
NDRG1|STK38L
TNIK|STK38L
TNIK|NDRG1
TNIK|CXCL10
TNIK|LATS1
TNIK|LATS2
TNIK|MINK1
TNIK|MAP4K1
TNIK|MAP4K2
TNIK|MAP4K4
TNIK|MAP4K3
MAP4K1|STK38L
MAP4K1|NDRG1
MAP4K1|CXCL10
MAP4K1|LATS1
MAP4K1|LATS2
MAP4K1|MINK1
MAP4K1|TNIK
MAP4K1|MAP4K2
MAP4K1|MAP4K4
MAP4K1|MAP4K3
MAP4K2|STK38L
MAP4K2|NDRG1
MAP4K2|CXCL10
MAP4K2|LATS1
MAP4K2|LATS2
MAP4K2|MINK1
MAP4K2|TNIK
MAP4K2|MAP4K1
MAP4K2|MAP4K4
MAP4K2|MAP4K3
MAP4K4|STK38L
MAP4K4|NDRG1
MAP4K4|CXCL10
MAP4K4|LATS1
MAP4K4|LATS2
MAP4K4|MINK1
MAP4K4|TNIK
MAP4K4|MAP4K1
MAP4K4|MAP4K2
MAP4K4|MAP4K3
MAP4K3|STK38L
MAP4K3|NDRG1
MAP4K3|CXCL10
MAP4K3|LATS1
MAP4K3|LATS2
MAP4K3|MINK1
MAP4K3|TNIK
MAP4K3|MAP4K1
MAP4K3|MAP4K2
MAP4K3|MAP4K4
CXCL10|YAP1
CXCL10|WWTR1
CXCL10|LATS1
CXCL10|LATS2
YAP1|Degradation
YAP1|TEAD1
YAP1|TEAD2
YAP1|TEAD3
YAP1|TEAD4
YAP1|YAP1
YAP1|WWTR1
YAP1|14-3-3
WWTR1|Degradation
WWTR1|TEAD1
WWTR1|TEAD2
WWTR1|TEAD3
WWTR1|TEAD4
WWTR1|YAP1
WWTR1|WWTR1
WWTR1|14-3-3
LATS1|YAP1
LATS1|WWTR1
LATS1|CXCL10
LATS1|LATS2
LATS2|YAP1
LATS2|WWTR1
LATS2|CXCL10
LATS2|LATS1
RASSF1|STK3
RASSF1|SAV1
RASSF1|STK4
TEAD1|TEAD2
TEAD1|TEAD3
TEAD1|TEAD4
TEAD1|YAP1
TEAD1|WWTR1
TEAD2|TEAD1
TEAD2|TEAD3
TEAD2|TEAD4
TEAD2|YAP1
TEAD2|WWTR1
TEAD3|TEAD1
TEAD3|TEAD2
TEAD3|TEAD4
TEAD3|YAP1
TEAD3|WWTR1
TEAD4|TEAD1
TEAD4|TEAD2
TEAD4|TEAD3
TEAD4|YAP1
TEAD4|WWTR1
14-3-3|YAP1
14-3-3|WWTR1
