source|target
RAC1|RHOA
RAC1|RAC1
RAC1|PAK2
RAC1|PAK3
RAC1|PAK4
RAC1|PAK5
RAC1|PAK6
RAC1|PAK1
RAC1|CDH11
RAC1|NGEF
RAC1|TIAM1
RAC1|TRIO
RHOA|"Cytokeleton
remodeling"
proBDNF|NGFR
proBDNF|NTRK2
proBDNF|SORT1
NGFR|NGFR-ICD
NGFR|NTRK2
NGFR|KIDINS220
NGFR|SORT1
NGFR|NGFR
NTRK2|NGFR-ICD
NTRK2|NGFR
NTRK2|KIDINS220
NTRK2|SORT1
NTRK2|NTRK2
SORT1|NGFR-ICD
SORT1|NGFR
SORT1|NTRK2
NGFR-ICD|AKT2
NGFR-ICD|AKT3
NGFR-ICD|AKT1
AKT2|AKT3
AKT2|AKT1
AKT2|AKT2
AKT2|FOS
AKT2|JUN
AKT3|AKT3
AKT3|AKT1
AKT3|AKT2
AKT3|FOS
AKT3|JUN
AKT1|AKT3
AKT1|AKT1
AKT1|AKT2
AKT1|FOS
AKT1|JUN
PAK2|RHOA
PAK2|PAK3
PAK2|PAK4
PAK2|PAK5
PAK2|PAK6
PAK2|PAK1
PAK3|RHOA
PAK3|PAK2
PAK3|PAK4
PAK3|PAK5
PAK3|PAK6
PAK3|PAK1
PAK4|RHOA
PAK4|PAK2
PAK4|PAK3
PAK4|PAK5
PAK4|PAK6
PAK4|PAK1
PAK5|RHOA
PAK5|PAK2
PAK5|PAK3
PAK5|PAK4
PAK5|PAK6
PAK5|PAK1
PAK6|RHOA
PAK6|PAK2
PAK6|PAK3
PAK6|PAK4
PAK6|PAK5
PAK6|PAK1
PAK1|RHOA
PAK1|PAK2
PAK1|PAK3
PAK1|PAK4
PAK1|PAK5
PAK1|PAK6
MMP8|Invasion
EPHB1|RAC1
EPHB1|ARF1
EPHB1|NTRK2
EPHB1|KIDINS220
EPHB1|NGFR
EPHB1|STAT3
EPHB1|EPHB2
EPHB1|EPHB3
EPHB1|EPHB4
EPHB1|EPHB6
EPHB2|RAC1
EPHB2|ARF1
EPHB2|NTRK2
EPHB2|KIDINS220
EPHB2|NGFR
EPHB2|STAT3
EPHB2|EPHB1
EPHB2|EPHB3
