source|target
RUNX2|Hypertrophy
RUNX2|COL10A1
RUNX2|VEGFA
RUNX2|MMP13
RUNX2|CEBPB
RUNX2|RUNX2
COL10A1|Hypertrophy
COL10A1|DDR2
COL10A1|COL3A1
COL10A1|COL1A1
COL10A1|COL2A1
COL10A1|RUNX2
COL10A1|VEGFA
COL10A1|MMP13
COL10A1|CEBPB
COL10A1|COL10A1
MMP13|Hypertrophy
MMP13|RUNX2
MMP13|COL10A1
MMP13|VEGFA
MMP13|CEBPB
MMP13|MMP13
CEBPB|Hypertrophy
CEBPB|RUNX2
CEBPB|COL10A1
CEBPB|MMP13
CEBPB|CEBPB
DIO2|Triiodothyronine
EPAS1|CEBPB
Vascularization|Hypertrophy
DDR2|Vascularization
ARNT|GANC
ARNT|COL2A1
ARNT|ACAN
ARNT|VEGFA
ARNT|ARNT
ARNT|HIF1A
GANC|COL2A1
GANC|ACAN
GANC|VEGFA
COL2A1|DDR2
COL2A1|SOX9
COL2A1|AGC
COL2A1|COL3A1
COL2A1|COL10A1
COL2A1|COL1A1
COL2A1|GANC
COL2A1|ACAN
COL2A1|VEGFA
COL2A1|COL2A1
ACAN|GANC
ACAN|COL2A1
ACAN|VEGFA
VEGFA|Vascularization
VEGFA|KDR
VEGFA|Hypertrophy
VEGFA|RUNX2
VEGFA|COL10A1
VEGFA|MMP13
VEGFA|GANC
VEGFA|COL2A1
VEGFA|ACAN
HIF1A|GANC
HIF1A|COL2A1
HIF1A|ACAN
HIF1A|VEGFA
HIF1A|HIF1A
HIF1A|ARNT
HIF1A|VHL
Triiodothyronine|EPAS1
Prolyl 4-hydroxylase|HIF1A
CNMD|EPAS1
CNMD|Vascularization
KDR|PIK3CA
KDR|MAPK3
KDR|MAPK1
KDR|JAK2
KDR|PRKCA
KDR|RELA
KDR|NFKB1
KDR|RELB
KDR|JUND
KDR|JUNB
KDR|FOS
KDR|JUN
KDR|FOSL2
KDR|FOSL1
KDR|FOSB
KDR|HIF1A
PIK3CA|AKT1
PIK3CA|AKT2
PIK3CA|AKT3
NGF|NTRK1
NGF|Endothelial cell proliferation
NGF|Migration
NGF|Tube formation
NTRK1|RAS
Hypoxia|HIF1A
L-thyroxine|Triiodothyronine
Endothelial cell proliferation|Migration
Endothelial cell proliferation|Tube formation
Migration|Endothelial cell proliferation
Migration|Tube formation
Tube formation|Endothelial cell proliferation
Tube formation|Migration
JUND|CCN2
JUND|NGF
JUND|JUNB
JUND|FOS
JUND|JUN
JUND|FOSL2
JUND|FOSL1
JUND|FOSB
CCN2|Endothelial cell proliferation
CCN2|Migration
CCN2|Tube formation
JUNB|CCN2
JUNB|NGF
JUNB|JUND
JUNB|FOS
JUNB|JUN
JUNB|FOSL2
JUNB|FOSL1
JUNB|FOSB
FOS|CCN2
FOS|NGF
FOS|JUND
FOS|JUNB
FOS|JUN
FOS|FOSL2
FOS|FOSL1
FOS|FOSB
JUN|CCN2
JUN|NGF
JUN|JUND
JUN|JUNB
JUN|FOS
JUN|FOSL2
JUN|FOSL1
JUN|FOSB
FOSL2|CCN2
FOSL2|NGF
FOSL2|JUND
FOSL2|JUNB
FOSL2|FOS
FOSL2|JUN
FOSL2|FOSL1
FOSL2|FOSB
FOSL1|CCN2
FOSL1|NGF
FOSL1|JUND
FOSL1|JUNB
FOSL1|FOS
FOSL1|JUN
FOSL1|FOSL2
FOSL1|FOSB
FOSB|CCN2
FOSB|NGF
FOSB|JUND
FOSB|JUNB
FOSB|FOS
FOSB|JUN
FOSB|FOSL2
FOSB|FOSL1
RELA|IBSP
RELA|SPP1
RELA|VEGFA
RELA|CCN2
RELA|NGF
RELA|NFKB1
RELA|RELB
IBSP|Endothelial cell proliferation
IBSP|Migration
IBSP|Tube formation
IBSP|SPP1
SPP1|Endothelial cell proliferation
SPP1|Migration
SPP1|Tube formation
SPP1|IBSP
NFKB1|IBSP
NFKB1|SPP1
NFKB1|VEGFA
NFKB1|CCN2
NFKB1|NGF
NFKB1|RELA
NFKB1|RELB
RELB|IBSP
RELB|SPP1
RELB|VEGFA
RELB|CCN2
RELB|NGF
RELB|RELA
RELB|NFKB1
MAPK3|SOX9
MAPK3|AGC
MAPK3|COL2A1
MAPK3|RUNX2
MAPK3|COL10A1
MAPK3|VEGFA
MAPK3|MMP13
MAPK3|MAPK1
MAPK3|MAPK3
MAPK1|SOX9
MAPK1|AGC
MAPK1|COL2A1
MAPK1|RUNX2
MAPK1|COL10A1
MAPK1|VEGFA
MAPK1|MMP13
MAPK1|MAPK3
MAPK1|MAPK1
JAK2|STAT3
FGFR1|PIK3CA
FGFR1|RAS
FGFR1|FGFR2
FGFR1|FGFR3
FGFR1|FGFR4
FGFR1|LAMTOR1
FGFR2|PIK3CA
FGFR2|RAS
FGFR2|FGFR1
FGFR2|FGFR3
FGFR2|FGFR4
FGFR2|LAMTOR1
FGFR3|PIK3CA
FGFR3|RAS
FGFR3|FGFR1
FGFR3|FGFR2
FGFR3|FGFR4
FGFR3|LAMTOR1
FGFR4|PIK3CA
FGFR4|RAS
FGFR4|FGFR1
FGFR4|FGFR2
FGFR4|FGFR3
FGFR4|LAMTOR1
LAMTOR1|PIK3CA
LAMTOR1|RAS
LAMTOR1|FGFR1
LAMTOR1|FGFR2
LAMTOR1|FGFR3
LAMTOR1|FGFR4
RAS|MAPK1
RAS|MAPK3
AKT1|RUNX2
AKT1|COL10A1
AKT1|VEGFA
AKT1|MMP13
AKT1|SOX9
AKT1|AGC
AKT1|COL2A1
AKT1|AKT2
AKT1|AKT3
AKT2|RUNX2
AKT2|COL10A1
AKT2|VEGFA
AKT2|MMP13
AKT2|SOX9
AKT2|AGC
AKT2|COL2A1
AKT2|AKT1
AKT2|AKT3
AKT3|RUNX2
AKT3|COL10A1
AKT3|VEGFA
AKT3|MMP13
AKT3|SOX9
AKT3|AGC
AKT3|COL2A1
AKT3|AKT1
AKT3|AKT2
SOX9|AGC
SOX9|COL2A1
AGC|SOX9
AGC|COL2A1
VHL|HIF1A
FGF23|FGFR1
FGF23|FGFR2
FGF23|FGFR3
FGF23|FGFR4
FGF23|LAMTOR1
COL3A1|DDR2
COL3A1|COL10A1
COL3A1|COL1A1
COL3A1|COL2A1
COL1A1|DDR2
COL1A1|COL3A1
COL1A1|COL10A1
COL1A1|COL2A1
