source|target
INOS|NO
INOS|Urea cycle
NO|NRS
NO|"Sensitization and
hyperexcitation"
e-|ROS
e-|ATP
Sorbitol|Fructose
Fructose|AGE
AGE|RAGE
AGE|"Protein
synthesis"
AGE|MMP
BDNF|BDNFR
BDNFR|"Sensitization and
hyperexcitation"
NADPH|NADP
"Protein
synthesis"|"SNAP
proteins"
"Protein
synthesis"|"Sensitization and
hyperexcitation"
Glucose|"NADPH
oxidase"
Glucose|Glucose
Glucose|Sorbitol
Glucose|AGE
Glucose|ATP
Glucose|e-
Glucose|"Protein
synthesis"
PGE2|GPCR
PKC|Na⁺/K⁺-ATPase
PKC|PRKCQ
PKC|PRKCZ
PKC|PRKCD
PKC|PRKCH
PKC|PRKCI
PKC|PRKCE
PKC|PRKCG
PKC|PRKD3
PKC|PRKCA
PKC|PRKCB
Na⁺/K⁺-ATPase|Na+
Na⁺/K⁺-ATPase|K+
ATP|e-
"Aldose 
reductase"|Sorbitol
K+|K+
K+|"Ion
imbalance"
K+|"Sensitization and
hyperexcitation"
K+|Na+
Nav1.6|Na+
Na+|"Sensitization and
hyperexcitation"
Na+|Na+
Na+|K+
"Sorbitol 
dehydrogenase"|NADH
O2- radical|ROS
O2- radical|O2- radical
ROS|NO
ROS|O2- radical
Cytokines|TKR
TKR|"Protein
kinases"
Glut-1|Glucose
Glut-1|Glut-3
Glut-3|Glucose
Glut-3|Glut-1
"NADPH
oxidase"|ROS
NMDA|"Protein
kinases"
NMDA|Ca2+
"Protein
kinases"|"Sensitization and
hyperexcitation"
NAD|Fructose
Nav1.7|Na+
Nav1.8|Na+
TRPV1|Ca2+
Ca2+|PKC
TRPA1|Ca2+
MMP7|MMP28
MMP7|MMP15
MMP7|MMP16
MMP7|MMP3
MMP7|MMP23B
MMP7|MMP20
MMP7|MMP1
MMP7|MMP2
MMP7|MMP10
MMP7|MMP11
MMP7|MMP8
MMP7|MMP9
MMP7|MMP13
MMP7|MMP12
MMP7|MMP24
MMP7|MMP21
MMP7|MMP14
MMP7|MMP25
MMP7|MMP19
MMP7|MMP27
MMP7|MMP17
MMP28|MMP7
MMP28|MMP15
MMP28|MMP16
MMP28|MMP3
MMP28|MMP23B
MMP28|MMP20
MMP28|MMP1
MMP28|MMP2
MMP28|MMP10
MMP28|MMP11
MMP28|MMP8
MMP28|MMP9
MMP28|MMP13
MMP28|MMP12
MMP28|MMP24
MMP28|MMP21
MMP28|MMP14
MMP28|MMP25
MMP28|MMP19
MMP28|MMP27
MMP28|MMP17
MMP15|MMP7
MMP15|MMP28
MMP15|MMP16
MMP15|MMP3
MMP15|MMP23B
MMP15|MMP20
MMP15|MMP1
MMP15|MMP2
MMP15|MMP10
MMP15|MMP11
MMP15|MMP8
MMP15|MMP9
MMP15|MMP13
MMP15|MMP12
MMP15|MMP24
MMP15|MMP21
MMP15|MMP14
MMP15|MMP25
MMP15|MMP19
MMP15|MMP27
MMP15|MMP17
MMP16|MMP7
MMP16|MMP28
MMP16|MMP15
MMP16|MMP3
MMP16|MMP23B
MMP16|MMP20
MMP16|MMP1
MMP16|MMP2
MMP16|MMP10
MMP16|MMP11
MMP16|MMP8
MMP16|MMP9
MMP16|MMP13
MMP16|MMP12
MMP16|MMP24
MMP16|MMP21
MMP16|MMP14
MMP16|MMP25
MMP16|MMP19
MMP16|MMP27
MMP16|MMP17
MMP3|MMP7
MMP3|MMP28
MMP3|MMP15
MMP3|MMP16
MMP3|MMP23B
MMP3|MMP20
MMP3|MMP1
MMP3|MMP2
MMP3|MMP10
MMP3|MMP11
MMP3|MMP8
MMP3|MMP9
MMP3|MMP13
MMP3|MMP12
MMP3|MMP24
MMP3|MMP21
MMP3|MMP14
MMP3|MMP25
MMP3|MMP19
MMP3|MMP27
MMP3|MMP17
MMP23B|MMP7
MMP23B|MMP28
MMP23B|MMP15
MMP23B|MMP16
MMP23B|MMP3
MMP23B|MMP20
MMP23B|MMP1
MMP23B|MMP2
MMP23B|MMP10
MMP23B|MMP11
MMP23B|MMP8
MMP23B|MMP9
MMP23B|MMP13
MMP23B|MMP12
MMP23B|MMP24
MMP23B|MMP21
MMP23B|MMP14
MMP23B|MMP25
MMP23B|MMP19
MMP23B|MMP27
MMP23B|MMP17
MMP20|MMP7
MMP20|MMP28
MMP20|MMP15
MMP20|MMP16
MMP20|MMP3
MMP20|MMP23B
MMP20|MMP1
MMP20|MMP2
MMP20|MMP10
MMP20|MMP11
MMP20|MMP8
MMP20|MMP9
MMP20|MMP13
MMP20|MMP12
MMP20|MMP24
MMP20|MMP21
MMP20|MMP14
MMP20|MMP25
MMP20|MMP19
MMP20|MMP27
MMP20|MMP17
MMP1|MMP7
MMP1|MMP28
MMP1|MMP15
MMP1|MMP16
MMP1|MMP3
MMP1|MMP23B
MMP1|MMP20
MMP1|MMP2
MMP1|MMP10
MMP1|MMP11
MMP1|MMP8
MMP1|MMP9
MMP1|MMP13
MMP1|MMP12
MMP1|MMP24
MMP1|MMP21
MMP1|MMP14
MMP1|MMP25
MMP1|MMP19
MMP1|MMP27
MMP1|MMP17
MMP2|MMP7
MMP2|MMP28
MMP2|MMP15
MMP2|MMP16
MMP2|MMP3
MMP2|MMP23B
MMP2|MMP20
MMP2|MMP1
MMP2|MMP10
MMP2|MMP11
MMP2|MMP8
MMP2|MMP9
MMP2|MMP13
MMP2|MMP12
MMP2|MMP24
MMP2|MMP21
MMP2|MMP14
MMP2|MMP25
MMP2|MMP19
MMP2|MMP27
MMP2|MMP17
MMP10|MMP7
MMP10|MMP28
MMP10|MMP15
MMP10|MMP16
MMP10|MMP3
MMP10|MMP23B
MMP10|MMP20
MMP10|MMP1
MMP10|MMP2
MMP10|MMP11
MMP10|MMP8
MMP10|MMP9
MMP10|MMP13
MMP10|MMP12
MMP10|MMP24
MMP10|MMP21
MMP10|MMP14
MMP10|MMP25
MMP10|MMP19
MMP10|MMP27
MMP10|MMP17
MMP11|MMP7
