source|target
KIF5B|SYNE4
SYNE4|SUN
SUN|ADCY9
SUN|ADCY1
SUN|ADCY10
SUN|ADCY4
SUN|ADCY7
SUN|ADCY3
SUN|ADCY2
SUN|ADCY8
SUN|ADCY5
SUN|ADCY6
SUN|LEMD3
ADCY9|ADCY1
ADCY9|ADCY2
ADCY9|ADCY3
ADCY9|ADCY4
ADCY9|ADCY5
ADCY9|ADCY6
ADCY9|ADCY7
ADCY9|ADCY8
ADCY9|ADCY10
ADCY9|ADCY9
ADCY1|ADCY2
ADCY1|ADCY3
ADCY1|ADCY4
ADCY1|ADCY5
ADCY1|ADCY6
ADCY1|ADCY7
ADCY1|ADCY8
ADCY1|ADCY9
ADCY1|ADCY10
ADCY1|ADCY1
ADCY10|ADCY1
ADCY10|ADCY2
ADCY10|ADCY3
ADCY10|ADCY4
ADCY10|ADCY5
ADCY10|ADCY6
ADCY10|ADCY7
ADCY10|ADCY8
ADCY10|ADCY9
ADCY10|ADCY10
ADCY4|ADCY1
ADCY4|ADCY2
ADCY4|ADCY3
ADCY4|ADCY5
ADCY4|ADCY6
ADCY4|ADCY7
ADCY4|ADCY8
ADCY4|ADCY9
ADCY4|ADCY10
ADCY4|ADCY4
ADCY7|ADCY1
ADCY7|ADCY2
ADCY7|ADCY3
ADCY7|ADCY4
ADCY7|ADCY5
ADCY7|ADCY6
ADCY7|ADCY8
ADCY7|ADCY9
ADCY7|ADCY10
ADCY7|ADCY7
ADCY3|ADCY1
ADCY3|ADCY2
ADCY3|ADCY4
ADCY3|ADCY5
ADCY3|ADCY6
ADCY3|ADCY7
ADCY3|ADCY8
ADCY3|ADCY9
ADCY3|ADCY10
ADCY3|ADCY3
ADCY2|ADCY1
ADCY2|ADCY3
ADCY2|ADCY4
ADCY2|ADCY5
ADCY2|ADCY6
ADCY2|ADCY7
ADCY2|ADCY8
ADCY2|ADCY9
ADCY2|ADCY10
ADCY2|ADCY2
ADCY8|ADCY1
ADCY8|ADCY2
ADCY8|ADCY3
ADCY8|ADCY4
ADCY8|ADCY5
ADCY8|ADCY6
ADCY8|ADCY7
ADCY8|ADCY9
ADCY8|ADCY10
ADCY8|ADCY8
ADCY5|ADCY1
ADCY5|ADCY2
ADCY5|ADCY3
ADCY5|ADCY4
ADCY5|ADCY6
ADCY5|ADCY7
ADCY5|ADCY8
ADCY5|ADCY9
ADCY5|ADCY10
ADCY5|ADCY5
ADCY6|ADCY1
ADCY6|ADCY2
ADCY6|ADCY3
ADCY6|ADCY4
ADCY6|ADCY5
ADCY6|ADCY7
ADCY6|ADCY8
ADCY6|ADCY9
ADCY6|ADCY10
ADCY6|ADCY6
MAP3K9|TAZ
MAP3K9|SRF
TAZ|MAP3K9
TAZ|YY1AP1
TAZ|TAZ
MAP2K2|Smad3
MAP2K2|Smad2
MAP2K2|MAPK1
MAP2K2|MAPK3
MAP2K2|MAP2K1
Smad3|Smad2
Smad3|Smad3
Smad3|Smad4
Smad2|Smad2
Smad2|Smad3
MAP2K1|Smad3
MAP2K1|Smad2
MAP2K1|MAPK1
MAP2K1|MAPK3
MAP2K1|MAP2K2
Microtubule|KIF5B
TGFB1|Smad3
TGFB1|Smad2
TGFB1|TGFB2
TGFB1|TGFB3
TGFB2|Smad3
TGFB2|Smad2
TGFB2|TGFB1
TGFB2|TGFB3
TGFB3|Smad3
TGFB3|Smad2
TGFB3|TGFB1
TGFB3|TGFB2
Intermediate filament|PLEC
PLEC|SYNE3
SOS2|HRAS
SOS2|NRAS
SOS2|KRAS
SOS2|SOS1
HRAS|MAP2K2
HRAS|MAP2K1
HRAS|NRAS
HRAS|KRAS
NRAS|MAP2K2
NRAS|MAP2K1
NRAS|HRAS
NRAS|KRAS
KRAS|MAP2K2
KRAS|MAP2K1
KRAS|HRAS
KRAS|NRAS
F-actin|SYNE1
F-actin|SYNE2
SYNE1|SUN
SYNE1|SYNE2
SYNE2|SUN
SYNE2|SYNE1
"Serum or 
mechanical stimulation"|RhoA
RhoA|MAP3K9
RhoA|MAPK1
RhoA|MAPK3
Cofilin-1|F-actin
Cofilin-1|MAPK3
SRF|MAP3K9
LBR|BANF1
TMPO|BANF1
MAPK1|MAPK3
MAPK1|MAPK1
MAPK3|MAPK1
MAPK3|Cofilin-1
MAPK3|MAPK3
EMD|BANF1
SYNE3|SUN
TMEM43|SUN
YY1AP1|TAZ
YY1AP1|YY1AP1
SOS1|SOS2
SOS1|Grb2
Grb2|SOS1
Smad4|Smad3
