source|target
PAK1|NF2
PAK1|PAK2
PAK1|PAK3
PAK1|PAK4
PAK1|PAK5
PAK1|PAK6
NF2|LATS1
NF2|WWTR1
NF2|YAP1
PAK2|NF2
PAK2|PAK1
PAK2|PAK3
PAK2|PAK4
PAK2|PAK5
PAK2|PAK6
PAK3|NF2
PAK3|PAK1
PAK3|PAK2
PAK3|PAK4
PAK3|PAK5
PAK3|PAK6
PAK4|NF2
PAK4|PAK1
PAK4|PAK2
PAK4|PAK3
PAK4|PAK5
PAK4|PAK6
PAK5|NF2
PAK5|PAK1
PAK5|PAK2
PAK5|PAK3
PAK5|PAK4
PAK5|PAK6
PAK6|NF2
PAK6|PAK1
PAK6|PAK2
PAK6|PAK3
PAK6|PAK4
PAK6|PAK5
MAPK10|LIMD1
MAPK10|MAPK8
MAPK10|MAPK9
LIMD1|LATS1
MAPK8|LIMD1
MAPK8|MAPK10
MAPK8|MAPK9
MAPK9|LIMD1
MAPK9|MAPK10
MAPK9|MAPK8
ITGB5|SRC
ITGB5|MAPK10
ITGB5|MAPK8
ITGB5|MAPK9
ITGB5|PAK1
ITGB5|PAK2
ITGB5|PAK3
ITGB5|PAK4
ITGB5|PAK5
ITGB5|PAK6
ITGB5|ITGB7
ITGB5|ITGB8
ITGB5|ITGB6
ITGB5|ITGB4
ITGB5|ITGB3
ITGB5|ITGB2
ITGB5|ITGB1
SRC|WWTR1
SRC|YAP1
ITGB7|SRC
ITGB7|MAPK10
ITGB7|MAPK8
ITGB7|MAPK9
ITGB7|PAK1
ITGB7|PAK2
ITGB7|PAK3
ITGB7|PAK4
ITGB7|PAK5
ITGB7|PAK6
ITGB7|ITGB5
ITGB7|ITGB8
ITGB7|ITGB6
ITGB7|ITGB4
ITGB7|ITGB3
ITGB7|ITGB2
ITGB7|ITGB1
ITGB8|SRC
ITGB8|MAPK10
ITGB8|MAPK8
ITGB8|MAPK9
ITGB8|PAK1
ITGB8|PAK2
ITGB8|PAK3
ITGB8|PAK4
ITGB8|PAK5
ITGB8|PAK6
ITGB8|ITGB5
ITGB8|ITGB7
ITGB8|ITGB6
ITGB8|ITGB4
ITGB8|ITGB3
ITGB8|ITGB2
ITGB8|ITGB1
ITGB6|SRC
ITGB6|MAPK10
ITGB6|MAPK8
ITGB6|MAPK9
ITGB6|PAK1
ITGB6|PAK2
ITGB6|PAK3
ITGB6|PAK4
ITGB6|PAK5
ITGB6|PAK6
ITGB6|ITGB5
ITGB6|ITGB7
ITGB6|ITGB8
ITGB6|ITGB4
ITGB6|ITGB3
ITGB6|ITGB2
ITGB6|ITGB1
ITGB4|SRC
ITGB4|MAPK10
ITGB4|MAPK8
ITGB4|MAPK9
ITGB4|PAK1
ITGB4|PAK2
ITGB4|PAK3
ITGB4|PAK4
ITGB4|PAK5
ITGB4|PAK6
ITGB4|ITGB5
ITGB4|ITGB7
ITGB4|ITGB8
ITGB4|ITGB6
ITGB4|ITGB3
ITGB4|ITGB2
ITGB4|ITGB1
ITGB3|SRC
ITGB3|MAPK10
ITGB3|MAPK8
ITGB3|MAPK9
ITGB3|PAK1
ITGB3|PAK2
ITGB3|PAK3
ITGB3|PAK4
ITGB3|PAK5
ITGB3|PAK6
ITGB3|ITGB5
ITGB3|ITGB7
ITGB3|ITGB8
ITGB3|ITGB6
ITGB3|ITGB4
ITGB3|ITGB2
ITGB3|ITGB1
ITGB2|SRC
ITGB2|MAPK10
ITGB2|MAPK8
ITGB2|MAPK9
ITGB2|PAK1
ITGB2|PAK2
ITGB2|PAK3
ITGB2|PAK4
ITGB2|PAK5
ITGB2|PAK6
ITGB2|ITGB5
ITGB2|ITGB7
ITGB2|ITGB8
ITGB2|ITGB6
ITGB2|ITGB4
ITGB2|ITGB3
ITGB2|ITGB1
ITGB1|SRC
ITGB1|MAPK10
ITGB1|MAPK8
ITGB1|MAPK9
ITGB1|PAK1
ITGB1|PAK2
ITGB1|PAK3
ITGB1|PAK4
ITGB1|PAK5
ITGB1|PAK6
ITGB1|ITGB5
ITGB1|ITGB7
ITGB1|ITGB8
ITGB1|ITGB6
ITGB1|ITGB4
ITGB1|ITGB3
ITGB1|ITGB2
MAP4K2|LATS1
MAP4K2|MAP4K5
MAP4K2|MAP4K3
MAP4K2|MAP4K4
MAP4K2|MAP4K1
LATS1|WWTR1
LATS1|YAP1
LATS1|SGMS1
MAP4K5|LATS1
MAP4K5|MAP4K2
MAP4K5|MAP4K3
MAP4K5|MAP4K4
MAP4K5|MAP4K1
MAP4K3|LATS1
