source|target
PPP1R14A|PPP1R12A
PPP1R14A|PPP1CA
PPP1R14A|PPP1CB
PPP1R14A|PPP1CC
PPP1R12A|NF2
PPP1R12A|PPP1CA
PPP1R12A|PPP1CB
PPP1R12A|PPP1CC
PPP1CA|NF2
PPP1CA|PPP1R12A
PPP1CA|PPP1CB
PPP1CA|PPP1CC
PPP1CB|NF2
PPP1CB|PPP1R12A
PPP1CB|PPP1CA
PPP1CB|PPP1CC
PPP1CC|NF2
PPP1CC|PPP1R12A
PPP1CC|PPP1CA
PPP1CC|PPP1CB
CTNNB1|NF2
CTNNB1|CTNNA1
NF2|NF2
NF2|AMOT
NF2|LIN28B
NF2|PTK2
NF2|CD44
NF2|DCAF1
NF2|CUL4A
NF2|DDB1
NF2|RBX1
NF2|STK3
NF2|STK4
NF2|SAV1
CTNNA1|NF2
CTNNA1|CTNNB1
microRNA|NF2
AJUBA|LATS2
AJUBA|LATS1
LATS2|YAP1
LATS2|WWTR1
LATS2|LATS1
LATS2|LATS2
LATS1|YAP1
LATS1|WWTR1
LATS1|LATS2
LATS1|LATS1
VGLL4|TEAD1
VGLL4|TEAD2
VGLL4|TEAD3
VGLL4|TEAD4
AMOT|NF2
YAP1|CCND1
YAP1|PLCB4
YAP1|CTGF
YAP1|FOXM1
YAP1|YAP1
YAP1|WWTR1
YAP1|TEAD1
YAP1|TEAD2
YAP1|TEAD3
YAP1|TEAD4
CCND1|PLCB4
CCND1|CTGF
CCND1|FOXM1
PLCB4|CCND1
PLCB4|CTGF
PLCB4|FOXM1
CTGF|CCND1
CTGF|PLCB4
CTGF|FOXM1
FOXM1|CCND1
FOXM1|PLCB4
FOXM1|CTGF
WWTR1|CCND1
WWTR1|PLCB4
WWTR1|CTGF
WWTR1|FOXM1
WWTR1|YAP1
WWTR1|WWTR1
WWTR1|TEAD1
WWTR1|TEAD2
WWTR1|TEAD3
WWTR1|TEAD4
DCAF1|LATS2
DCAF1|LATS1
DCAF1|CUL4A
DCAF1|DDB1
DCAF1|RBX1
CUL4A|LATS2
CUL4A|LATS1
CUL4A|DCAF1
CUL4A|DDB1
CUL4A|RBX1
DDB1|LATS2
DDB1|LATS1
DDB1|DCAF1
DDB1|CUL4A
DDB1|RBX1
RBX1|LATS2
RBX1|LATS1
RBX1|DCAF1
RBX1|CUL4A
RBX1|DDB1
PRKACA|NF2
PRKACA|PRKACB
PRKACA|PRKACG
PRKACA|PRKAR1A
PRKACA|PRKAR2A
PRKACA|PRKAR2B
PRKACA|PRKAR1B
PRKACA|PAK5
PRKACA|PAK3
PRKACA|PAK6
PRKACA|PAK4
PRKACA|PAK1
PRKACA|PAK2
PRKACB|NF2
PRKACB|PRKACA
PRKACB|PRKACG
PRKACB|PRKAR1A
PRKACB|PRKAR2A
PRKACB|PRKAR2B
PRKACB|PRKAR1B
PRKACB|PAK5
PRKACB|PAK3
PRKACB|PAK6
PRKACB|PAK4
PRKACB|PAK1
PRKACB|PAK2
PRKACG|NF2
PRKACG|PRKACA
PRKACG|PRKACB
PRKACG|PRKAR1A
PRKACG|PRKAR2A
PRKACG|PRKAR2B
PRKACG|PRKAR1B
PRKACG|PAK5
PRKACG|PAK3
PRKACG|PAK6
PRKACG|PAK4
PRKACG|PAK1
PRKACG|PAK2
PRKAR1A|NF2
PRKAR1A|PRKACA
PRKAR1A|PRKACB
PRKAR1A|PRKACG
PRKAR1A|PRKAR2A
PRKAR1A|PRKAR2B
PRKAR1A|PRKAR1B
PRKAR1A|PAK5
PRKAR1A|PAK3
PRKAR1A|PAK6
PRKAR1A|PAK4
PRKAR1A|PAK1
PRKAR1A|PAK2
PRKAR2A|NF2
PRKAR2A|PRKACA
PRKAR2A|PRKACB
PRKAR2A|PRKACG
PRKAR2A|PRKAR1A
PRKAR2A|PRKAR2B
PRKAR2A|PRKAR1B
PRKAR2A|PAK5
PRKAR2A|PAK3
PRKAR2A|PAK6
PRKAR2A|PAK4
PRKAR2A|PAK1
PRKAR2A|PAK2
PRKAR2B|NF2
PRKAR2B|PRKACA
PRKAR2B|PRKACB
PRKAR2B|PRKACG
PRKAR2B|PRKAR1A
PRKAR2B|PRKAR2A
PRKAR2B|PRKAR1B
PRKAR2B|PAK5
PRKAR2B|PAK3
PRKAR2B|PAK6
