source|target
SOCS2|STAT1
SOCS2|JAK2
SOCS2|STAT5B
SOCS2|STAT5A
SOCS2|STAT3
SOCS2|SOCS1
SOCS2|CISH
SOCS2|SOCS3
STAT1|KRAS
STAT1|NRAS
STAT1|HRAS
STAT1|AKT2
STAT1|AKT3
STAT1|AKT1
STAT1|JAK2
JAK2|KRAS
JAK2|NRAS
JAK2|HRAS
JAK2|AKT2
JAK2|AKT3
JAK2|AKT1
JAK2|STAT5B
JAK2|STAT5A
JAK2|STAT1
JAK2|STAT3
SOCS1|STAT1
SOCS1|JAK2
SOCS1|STAT5B
SOCS1|STAT5A
SOCS1|STAT3
SOCS1|SOCS2
SOCS1|CISH
SOCS1|SOCS3
CISH|STAT1
CISH|JAK2
CISH|STAT5B
CISH|STAT5A
CISH|STAT3
CISH|SOCS2
CISH|SOCS1
CISH|SOCS3
SOCS3|STAT1
SOCS3|JAK2
SOCS3|STAT5B
SOCS3|STAT5A
SOCS3|STAT3
SOCS3|SOCS2
SOCS3|SOCS1
SOCS3|CISH
AKT2|RPTOR
AKT2|MLST8
AKT2|AKT1S1
AKT2|MTOR
AKT2|AKT3
AKT2|AKT1
RPTOR|MLST8
RPTOR|AKT1S1
RPTOR|MTOR
MLST8|RPTOR
MLST8|AKT1S1
MLST8|MTOR
AKT1S1|RPTOR
AKT1S1|MLST8
AKT1S1|MTOR
MTOR|RPTOR
MTOR|MLST8
MTOR|AKT1S1
AKT3|RPTOR
AKT3|MLST8
AKT3|AKT1S1
AKT3|MTOR
AKT3|AKT2
AKT3|AKT1
AKT1|RPTOR
AKT1|MLST8
AKT1|AKT1S1
AKT1|MTOR
AKT1|AKT2
AKT1|AKT3
STAT5B|STAT5A
STAT5A|STAT5A
STAT5A|FOXM1
STAT5A|CCND1
STAT5A|CCND3
STAT5A|CCND2
STAT5A|CDK4
STAT5A|STAT5B
GH1|GHR
GHR|STAT5B
GHR|STAT5A
PRL|PRLR
PRLR|STAT5B
PRLR|STAT5A
KRAS|MAPK signaling pathway
KRAS|NRAS
KRAS|HRAS
NRAS|MAPK signaling pathway
NRAS|KRAS
NRAS|HRAS
HRAS|MAPK signaling pathway
HRAS|KRAS
HRAS|NRAS
IFNG|IFNGR2
IFNG|IFNGR1
IFNGR2|STAT1
IFNGR2|JAK2
IFNGR2|IFNGR1
IFNGR1|STAT1
IFNGR1|JAK2
IFNGR1|IFNGR2
STAT3|KRAS
STAT3|NRAS
STAT3|HRAS
STAT3|AKT2
STAT3|AKT3
STAT3|AKT1
STAT3|JAK2
EPOR|STAT5B
EPOR|STAT5A
FOXM1|CCND1
FOXM1|CCND3
FOXM1|CCND2
FOXM1|CDK4
CCND1|FOXM1
CCND1|CCND3
CCND1|CCND2
CCND1|CDK4
CCND3|FOXM1
CCND3|CCND1
CCND3|CCND2
CCND3|CDK4
CCND2|FOXM1
CCND2|CCND1
CCND2|CCND3
CCND2|CDK4
CDK4|FOXM1
CDK4|CCND1
CDK4|CCND3
CDK4|CCND2
EPO|EPOR
IL6|IL6R
IL6R|STAT3
IL6R|JAK2
