source|target
STAT3|STAT3
STAT3|STMN1
"placeholder

miR-7a"|SOCS3
"placeholder

miR-7a"|STAT3
SOCS3|JAK2
SOCS3|JAK1
SOCS3|TYK2
"placeholder

miR-135a-5p
miR-17-5p
miR-29b
miR-124
miR-519a"|PTPRD
"placeholder

miR-135a-5p
miR-17-5p
miR-29b
miR-124
miR-519a"|STAT3
PTPRD|STAT3
PTPRD|DUSP2
PTPRD|PTPRC
PTPRD|PTPRT
MLST8|STAT3
MLST8|MTOR
MLST8|AKT1S1
MLST8|RPTOR
MLST8|DEPTOR
MLST8|MAPKAP1
MLST8|RICTOR
MLST8|MLST8
MTOR|STAT3
MTOR|MLST8
MTOR|AKT1S1
MTOR|RPTOR
MTOR|DEPTOR
MTOR|MAPKAP1
MTOR|RICTOR
MTOR|MTOR
AKT1S1|MLST8
AKT1S1|MTOR
AKT1S1|RPTOR
AKT1S1|DEPTOR
RPTOR|MLST8
RPTOR|MTOR
RPTOR|AKT1S1
RPTOR|DEPTOR
DEPTOR|MLST8
DEPTOR|MTOR
DEPTOR|AKT1S1
DEPTOR|RPTOR
MAPK1|MAPK14
MAPK1|MAPK15
MAPK1|MAPK12
MAPK1|MAPK9
MAPK1|MAPK8
MAPK1|MAPK7
MAPK1|MAPK6
MAPK1|MAPK3
MAPK1|MAPK11
MAPK1|MAPK10
MAPK1|MAPK13
MAPK1|MAPK4
MAPK14|MAPK1
MAPK14|MAPK15
MAPK14|MAPK12
MAPK14|MAPK9
MAPK14|MAPK8
MAPK14|MAPK7
MAPK14|MAPK6
MAPK14|MAPK3
MAPK14|MAPK11
MAPK14|MAPK10
MAPK14|MAPK13
MAPK14|MAPK4
MAPK15|MAPK1
MAPK15|MAPK14
MAPK15|MAPK12
MAPK15|MAPK9
MAPK15|MAPK8
MAPK15|MAPK7
MAPK15|MAPK6
MAPK15|MAPK3
MAPK15|MAPK11
MAPK15|MAPK10
MAPK15|MAPK13
MAPK15|MAPK4
MAPK12|MAPK1
MAPK12|MAPK14
MAPK12|MAPK15
MAPK12|MAPK9
MAPK12|MAPK8
MAPK12|MAPK7
MAPK12|MAPK6
MAPK12|MAPK3
MAPK12|MAPK11
MAPK12|MAPK10
MAPK12|MAPK13
MAPK12|MAPK4
MAPK9|MAPK1
MAPK9|MAPK14
MAPK9|MAPK15
MAPK9|MAPK12
MAPK9|MAPK8
MAPK9|MAPK7
MAPK9|MAPK6
MAPK9|MAPK3
MAPK9|MAPK11
MAPK9|MAPK10
MAPK9|MAPK13
MAPK9|MAPK4
MAPK8|MAPK1
MAPK8|MAPK14
MAPK8|MAPK15
MAPK8|MAPK12
MAPK8|MAPK9
MAPK8|MAPK7
MAPK8|MAPK6
MAPK8|MAPK3
MAPK8|MAPK11
MAPK8|MAPK10
MAPK8|MAPK13
MAPK8|MAPK4
MAPK7|MAPK1
MAPK7|MAPK14
MAPK7|MAPK15
MAPK7|MAPK12
MAPK7|MAPK9
MAPK7|MAPK8
MAPK7|MAPK6
MAPK7|MAPK3
MAPK7|MAPK11
MAPK7|MAPK10
MAPK7|MAPK13
MAPK7|MAPK4
MAPK6|MAPK1
MAPK6|MAPK14
MAPK6|MAPK15
MAPK6|MAPK12
MAPK6|MAPK9
MAPK6|MAPK8
MAPK6|MAPK7
MAPK6|MAPK3
MAPK6|MAPK11
MAPK6|MAPK10
MAPK6|MAPK13
MAPK6|MAPK4
MAPK3|MAPK1
MAPK3|MAPK14
MAPK3|MAPK15
MAPK3|MAPK12
MAPK3|MAPK9
MAPK3|MAPK8
MAPK3|MAPK7
MAPK3|MAPK6
MAPK3|MAPK11
MAPK3|MAPK10
MAPK3|MAPK13
MAPK3|MAPK4
MAPK11|MAPK1
MAPK11|MAPK14
MAPK11|MAPK15
MAPK11|MAPK12
MAPK11|MAPK9
MAPK11|MAPK8
MAPK11|MAPK7
MAPK11|MAPK6
MAPK11|MAPK3
MAPK11|MAPK10
MAPK11|MAPK13
MAPK11|MAPK4
MAPK10|MAPK1
MAPK10|MAPK14
