source|target|source_label|target_label|source_id|target_id
TCTEX1D2|WDR35|TCTEX1D2|WDR35|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/57539
TCTEX1D2|IFT122|TCTEX1D2|IFT122|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/55764
TCTEX1D2|IFT140|TCTEX1D2|IFT140|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/9742
TCTEX1D2|WDR19|TCTEX1D2|WDR19|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/57728
TCTEX1D2|IFT22|TCTEX1D2|IFT22|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/64792
TCTEX1D2|HSPB11|TCTEX1D2|HSPB11|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/51668
TCTEX1D2|IFT27|TCTEX1D2|IFT27|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/11020
TCTEX1D2|IFT43|TCTEX1D2|IFT43|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/112752
TCTEX1D2|IFT46|TCTEX1D2|IFT46|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/56912
TCTEX1D2|IFT80|TCTEX1D2|IFT80|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/57560
TCTEX1D2|IFT81|TCTEX1D2|IFT81|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/28981
TCTEX1D2|WDR34|TCTEX1D2|WDR34|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/89891
TCTEX1D2|DYNC2H1|TCTEX1D2|DYNC2H1|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/79659
TCTEX1D2|DYNC2LI1|TCTEX1D2|DYNC2LI1|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/51626
TCTEX1D2|WDR60|TCTEX1D2|WDR60|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/55112
TCTEX1D2|DYNLL2|TCTEX1D2|DYNLL2|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/140735
TCTEX1D2|DYNLT1|TCTEX1D2|DYNLT1|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/6993
TCTEX1D2|DYNLRB1|TCTEX1D2|DYNLRB1|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/83658
TCTEX1D2|DYNLL1|TCTEX1D2|DYNLL1|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/8655
TCTEX1D2|DYNLRB2|TCTEX1D2|DYNLRB2|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/83657
TCTEX1D2|DYNLT3|TCTEX1D2|DYNLT3|http://www.ncbi.nlm.nih.gov/gene/255758|http://www.ncbi.nlm.nih.gov/gene/6990
WDR35|IFT122|WDR35|IFT122|http://www.ncbi.nlm.nih.gov/gene/57539|http://www.ncbi.nlm.nih.gov/gene/55764
WDR35|IFT140|WDR35|IFT140|http://www.ncbi.nlm.nih.gov/gene/57539|http://www.ncbi.nlm.nih.gov/gene/9742
WDR35|WDR19|WDR35|WDR19|http://www.ncbi.nlm.nih.gov/gene/57539|http://www.ncbi.nlm.nih.gov/gene/57728
WDR35|IFT22|WDR35|IFT22|http://www.ncbi.nlm.nih.gov/gene/57539|http://www.ncbi.nlm.nih.gov/gene/64792
WDR35|HSPB11|WDR35|HSPB11|http://www.ncbi.nlm.nih.gov/gene/57539|http://www.ncbi.nlm.nih.gov/gene/51668
WDR35|IFT27|WDR35|IFT27|http://www.ncbi.nlm.nih.gov/gene/57539|http://www.ncbi.nlm.nih.gov/gene/11020
WDR35|IFT43|WDR35|IFT43|http://www.ncbi.nlm.nih.gov/gene/57539|http://www.ncbi.nlm.nih.gov/gene/112752
WDR35|IFT46|WDR35|IFT46|http://www.ncbi.nlm.nih.gov/gene/57539|http://www.ncbi.nlm.nih.gov/gene/56912
WDR35|IFT80|WDR35|IFT80|http://www.ncbi.nlm.nih.gov/gene/57539|http://www.ncbi.nlm.nih.gov/gene/57560
WDR35|IFT81|WDR35|IFT81|http://www.ncbi.nlm.nih.gov/gene/57539|http://www.ncbi.nlm.nih.gov/gene/28981
IFT122|WDR35|IFT122|WDR35|http://www.ncbi.nlm.nih.gov/gene/55764|http://www.ncbi.nlm.nih.gov/gene/57539
IFT122|IFT140|IFT122|IFT140|http://www.ncbi.nlm.nih.gov/gene/55764|http://www.ncbi.nlm.nih.gov/gene/9742
IFT122|WDR19|IFT122|WDR19|http://www.ncbi.nlm.nih.gov/gene/55764|http://www.ncbi.nlm.nih.gov/gene/57728
IFT122|IFT22|IFT122|IFT22|http://www.ncbi.nlm.nih.gov/gene/55764|http://www.ncbi.nlm.nih.gov/gene/64792
IFT122|HSPB11|IFT122|HSPB11|http://www.ncbi.nlm.nih.gov/gene/55764|http://www.ncbi.nlm.nih.gov/gene/51668
IFT122|IFT27|IFT122|IFT27|http://www.ncbi.nlm.nih.gov/gene/55764|http://www.ncbi.nlm.nih.gov/gene/11020
IFT122|IFT43|IFT122|IFT43|http://www.ncbi.nlm.nih.gov/gene/55764|http://www.ncbi.nlm.nih.gov/gene/112752
IFT122|IFT46|IFT122|IFT46|http://www.ncbi.nlm.nih.gov/gene/55764|http://www.ncbi.nlm.nih.gov/gene/56912
IFT122|IFT80|IFT122|IFT80|http://www.ncbi.nlm.nih.gov/gene/55764|http://www.ncbi.nlm.nih.gov/gene/57560
