S|P|O|S_ID|P_ID|O_ID
TCF7L1|participates_in|Repression of WNT target genes|http://www.ncbi.nlm.nih.gov/gene/83439|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-4641265
TCF7|participates_in|Repression of WNT target genes|http://www.ncbi.nlm.nih.gov/gene/6932|http://purl.obolibrary.org/obo/RO_0000056|https://reactome.org/content/detail/R-HSA-4641265
