source_node,target_node,num_paths
Sparc,Cell adhesion,1351
14-3-3,TAZ,3
14-3-3,Smad2,3
14-3-3,Smad3,3
14-3-3,Smad4,3
TAZ,CNN2,8
Sparc,Periostin,1
Sparc,PAI-1,6
Smad2,Smad3,28
TAZ,Smad2,6
TAZ,Smad3,6
TAZ,Smad4,7
Smad2,CNN2,3
Smad2,POSTN,1
Smad2,SERPINE1,7
Smad2,SPARC,10
TAZ,SERPINE1,6
TAZ,POSTN,2
Smad2,Smad4,23
TGF-β,TGFβ-II-R,26
Smad4,CNN2,3
Smad4,POSTN,1
Smad4,SERPINE1,8
TAZ,SPARC,3
Smad4,SPARC,1
TGFβ-I-R,Smad2,17
TGFβ-I-R,Smad3,23
TGFβ-I-R,TGFβ-II-R,24
TGFβ-I-R,TGFβ-III-R,2
Smad3,Smad4,23
Smad2,TGFβ-II-R,16
Smad3,SPARC,3
Smad3,SERPINE1,8
Smad3,POSTN,2
Smad3,CNN2,4
TGFβ-II-R,TGFβ-III-R,1
