source|target|source_label|target_label|source_id|target_id
TrkB|C/EBP10A𝛽|TrkB|C/EBP10A𝛽|http://www.ncbi.nlm.nih.gov/gene/4915|http://www.ncbi.nlm.nih.gov/gene/1051
PP2A|PP2A|PP2A|PP2A|http://www.ncbi.nlm.nih.gov/gene/5516|http://www.ncbi.nlm.nih.gov/gene/5516
δ-secretase|Amyloid-beta|δ-secretase|Amyloid-beta|http://www.ncbi.nlm.nih.gov/gene/5641|http://purl.obolibrary.org/obo/CHEBI_64645
PP2A|Microtubule-associated protein tau|PP2A|Microtubule-associated protein tau|http://www.ncbi.nlm.nih.gov/gene/5516|http://www.ncbi.nlm.nih.gov/gene/4137
AKT 3|AKT 3|AKT 3|AKT 3|http://www.ncbi.nlm.nih.gov/gene/10000|http://www.ncbi.nlm.nih.gov/gene/10000
Microtubule-associated protein tau|Alzheimer's disease|Microtubule-associated protein tau|Alzheimer's disease|http://www.ncbi.nlm.nih.gov/gene/4137|http://www.ebi.ac.uk/efo/EFO_0000249
Microtubule-associated protein tau|TrkB|Microtubule-associated protein tau|TrkB|http://www.ncbi.nlm.nih.gov/gene/4137|http://www.ncbi.nlm.nih.gov/gene/4915
δ-secretase|Alzheimer's disease|δ-secretase|Alzheimer's disease|http://www.ncbi.nlm.nih.gov/gene/5641|http://www.ebi.ac.uk/efo/EFO_0000249
α-synuclein|DOPAL|α-synuclein|DOPAL|http://www.ncbi.nlm.nih.gov/gene/6622|http://purl.obolibrary.org/obo/CHEBI_27978
Amyloid-beta|LGMN|Amyloid-beta|LGMN|http://purl.obolibrary.org/obo/CHEBI_64645|http://www.ncbi.nlm.nih.gov/gene/5641
DOPAL|δ-secretase|DOPAL|δ-secretase|http://purl.obolibrary.org/obo/CHEBI_27978|http://www.ncbi.nlm.nih.gov/gene/5641
δ-secretase|STAT1|δ-secretase|STAT1|http://www.ncbi.nlm.nih.gov/gene/5641|http://www.ncbi.nlm.nih.gov/gene/6772
Microtubule-associated protein tau|Microtubule-associated protein tau|Microtubule-associated protein tau|Microtubule-associated protein tau|http://www.ncbi.nlm.nih.gov/gene/4137|http://www.ncbi.nlm.nih.gov/gene/4137
SET|Microtubule-associated protein tau|SET|Microtubule-associated protein tau|http://www.ncbi.nlm.nih.gov/gene/6418|http://www.ncbi.nlm.nih.gov/gene/4137
δ-secretase|PP2A|δ-secretase|PP2A|http://www.ncbi.nlm.nih.gov/gene/5641|http://www.ncbi.nlm.nih.gov/gene/5516
δ-secretase|Parkinson's disease|δ-secretase|Parkinson's disease|http://www.ncbi.nlm.nih.gov/gene/5641|http://www.ebi.ac.uk/efo/EFO_0002508
α-synuclein|Parkinson's disease|α-synuclein|Parkinson's disease|http://www.ncbi.nlm.nih.gov/gene/6622|http://www.ebi.ac.uk/efo/EFO_0002508
TrkB|AKT 3|TrkB|AKT 3|http://www.ncbi.nlm.nih.gov/gene/4915|http://www.ncbi.nlm.nih.gov/gene/10000
δ-secretase|δ-secretase|δ-secretase|δ-secretase|http://www.ncbi.nlm.nih.gov/gene/5641|http://www.ncbi.nlm.nih.gov/gene/5641
C/EBP10A𝛽|LGMN|C/EBP10A𝛽|LGMN|http://www.ncbi.nlm.nih.gov/gene/1051|http://www.ncbi.nlm.nih.gov/gene/5641
AKT 3|δ-secretase|AKT 3|δ-secretase|http://www.ncbi.nlm.nih.gov/gene/10000|http://www.ncbi.nlm.nih.gov/gene/5641
