source_node,target_node,num_paths
ERK 2,EZH2,5
AKT3,FOXO1,30
AKT1,FOXO1,35
AKT1,AKT2,86
AKT1,AKT3,71
AKT2,FOXO1,30
AKT2,AKT3,71
K-Ras,Rasf1a,5
K-Ras,B-Raf,83
T3,ERK 1,3
T3,ERK 2,1
T3,T4,3
ERK 1,FOXO1,28
ERK 1,EZH2,7
ERK 1,ERK 2,147
VEGFR-1,AKT3,3
FOXO1,Pdx1,5
cMyc,CDK4,15
cMyc,FOXM1,5
CDK2,CDK4,17
CDK2,FOXM1,6
cMyc,CDK2,12
CDK4,FOXM1,5
CaM,CRTC2,9
IGF-1,IGF-1R,13
PLGF,VEGFR-1,6
CaM,CDK4,27
CRTC2,cMyc,1
TGFB1,TGFB1R,27
PI3K,AKT3,112
CRTC2,PI3K,216
CRTC2,CDK2,1
CRTC2,CDK4,1
CRTC2,FOXM1,1
B-Raf,ERK 1,73
B-Raf,ERK 2,78
TGFB1R,Smad7,12
Smad7,AKT1,6
Smad7,AKT2,5
Smad7,AKT3,5
Insulin,K-Ras,22
PI3K,AKT1,155
PI3K,AKT2,133
CaM,PI3K,37
CaM,cMyc,233
CaM,CDK2,124
CaM,FOXM1,10
IGF-1R,K-Ras,10
VEGFR-1,AKT1,7
VEGFR-1,AKT2,5
AKT1,CDK2,15
Pdx1,CaM,6
Ca2+,CaM,1
PDGFa,K-Ras,59
CRTC2,Pdx1,1
CRTC2,AKT1,1
CRTC2,Rasf1a,1
CRTC2,AKT2,1
CRTC2,EZH2,1
CRTC2,AKT3,1
Pdx1,AKT1,5
Pdx1,cMyc,3
Pdx1,Rasf1a,2
Pdx1,FOXM1,1
Pdx1,AKT2,6
Pdx1,CDK2,1
Pdx1,CDK4,3
Pdx1,EZH2,3
Pdx1,AKT3,5
AKT1,CaM,647
AKT1,cMyc,26
AKT1,Rasf1a,3
AKT1,FOXM1,5
AKT1,CDK4,12
AKT1,EZH2,7
CDK4,EZH2,10
CDK2,AKT3,14
Pref-1,ERK 1,3
Pref-1,ERK 2,3
CDK4,AKT3,9
CaM,Rasf1a,10
CaM,AKT2,634
CaM,EZH2,20
CaM,AKT3,626
cMyc,Rasf1a,10
cMyc,AKT2,17
cMyc,EZH2,9
cMyc,AKT3,13
ERK 2,FOXO1,27
Rasf1a,FOXM1,3
Rasf1a,CDK2,1
Rasf1a,CDK4,3
Rasf1a,EZH2,2
Rasf1a,AKT3,2
FOXM1,AKT2,6
FOXM1,EZH2,3
FOXM1,AKT3,3
AKT2,CDK2,14
AKT2,CDK4,9
AKT2,EZH2,5
CDK2,EZH2,5
Rasf1a,AKT2,2
EZH2,AKT3,4
