source_node,target_node,num_paths
STAT3,STMN1,7
SOCS3,JAK2,15
SOCS3,JAK1,15
SOCS3,TYK2,11
PTPRD,STAT3,2
PTPRD,DUSP2,2
PTPRD,PTPRC,2
PTPRD,PTPRT,1
MLST8,STAT3,11
MLST8,MTOR,52
MLST8,AKT1S1,38
MLST8,RPTOR,22
MLST8,DEPTOR,1
MLST8,MAPKAP1,37
MLST8,RICTOR,37
MTOR,STAT3,21
MTOR,MLST8,52
MTOR,AKT1S1,37
MTOR,RPTOR,21
MTOR,DEPTOR,1
MTOR,MAPKAP1,36
MTOR,RICTOR,36
AKT1S1,MLST8,38
AKT1S1,MTOR,37
AKT1S1,RPTOR,16
AKT1S1,DEPTOR,1
RPTOR,MLST8,22
RPTOR,MTOR,21
RPTOR,AKT1S1,16
RPTOR,DEPTOR,1
DEPTOR,MLST8,1
DEPTOR,MTOR,1
DEPTOR,AKT1S1,1
DEPTOR,RPTOR,1
MAPK1,MAPK14,42
MAPK1,MAPK15,2
MAPK1,MAPK12,12
MAPK1,MAPK9,30
MAPK1,MAPK8,36
MAPK1,MAPK7,36
MAPK1,MAPK6,3
MAPK1,MAPK3,147
MAPK1,MAPK11,37
MAPK1,MAPK10,28
MAPK1,MAPK13,11
MAPK1,MAPK4,4
MAPK14,MAPK1,42
MAPK14,MAPK15,1
MAPK14,MAPK12,20
MAPK14,MAPK9,26
MAPK14,MAPK8,31
MAPK14,MAPK7,29
MAPK14,MAPK6,2
MAPK14,MAPK3,42
MAPK14,MAPK11,53
MAPK14,MAPK10,25
MAPK14,MAPK13,16
MAPK14,MAPK4,2
MAPK15,MAPK1,2
MAPK15,MAPK14,1
MAPK15,MAPK12,2
MAPK15,MAPK9,1
MAPK15,MAPK8,2
MAPK15,MAPK7,1
MAPK15,MAPK6,1
MAPK15,MAPK3,2
MAPK15,MAPK11,2
MAPK15,MAPK10,2
MAPK15,MAPK13,2
MAPK15,MAPK4,2
MAPK12,MAPK1,12
MAPK12,MAPK14,20
MAPK12,MAPK15,2
MAPK12,MAPK9,3
MAPK12,MAPK8,8
MAPK12,MAPK7,7
MAPK12,MAPK6,2
MAPK12,MAPK3,12
MAPK12,MAPK11,21
MAPK12,MAPK10,4
MAPK12,MAPK13,16
MAPK12,MAPK4,3
MAPK9,MAPK1,30
MAPK9,MAPK14,26
MAPK9,MAPK15,1
MAPK9,MAPK12,3
MAPK9,MAPK8,34
MAPK9,MAPK7,24
MAPK9,MAPK6,1
MAPK9,MAPK3,30
MAPK9,MAPK11,25
MAPK9,MAPK10,28
MAPK9,MAPK13,3
MAPK9,MAPK4,1
MAPK8,MAPK1,36
MAPK8,MAPK14,31
MAPK8,MAPK15,2
MAPK8,MAPK12,8
MAPK8,MAPK9,34
MAPK8,MAPK7,26
MAPK8,MAPK6,2
MAPK8,MAPK3,37
MAPK8,MAPK11,30
MAPK8,MAPK10,29
MAPK8,MAPK13,8
MAPK8,MAPK4,3
MAPK7,MAPK1,36
MAPK7,MAPK14,29
MAPK7,MAPK15,1
MAPK7,MAPK12,7
MAPK7,MAPK9,24
MAPK7,MAPK8,26
MAPK7,MAPK6,2
MAPK7,MAPK3,36
MAPK7,MAPK11,29
MAPK7,MAPK10,23
MAPK7,MAPK13,6
MAPK7,MAPK4,2
MAPK6,MAPK1,3
MAPK6,MAPK14,2
MAPK6,MAPK15,1
MAPK6,MAPK12,2
MAPK6,MAPK9,1
MAPK6,MAPK8,2
MAPK6,MAPK7,2
MAPK6,MAPK3,3
MAPK6,MAPK11,2
MAPK6,MAPK10,2
MAPK6,MAPK13,2
MAPK6,MAPK4,4
MAPK3,MAPK1,147
MAPK3,MAPK14,42
MAPK3,MAPK15,2
MAPK3,MAPK12,12
MAPK3,MAPK9,30
MAPK3,MAPK8,37
MAPK3,MAPK7,36
MAPK3,MAPK6,3
MAPK3,MAPK11,38
MAPK3,MAPK10,28
MAPK3,MAPK13,11
MAPK3,MAPK4,4
MAPK11,MAPK1,37
MAPK11,MAPK14,53
MAPK11,MAPK15,2
MAPK11,MAPK12,21
MAPK11,MAPK9,25
MAPK11,MAPK8,30
MAPK11,MAPK7,29
MAPK11,MAPK6,2
MAPK11,MAPK3,38
MAPK11,MAPK10,26
MAPK11,MAPK13,16
MAPK11,MAPK4,3
MAPK10,MAPK1,28
MAPK10,MAPK14,25
MAPK10,MAPK15,2
MAPK10,MAPK12,4
MAPK10,MAPK9,28
MAPK10,MAPK8,29
MAPK10,MAPK7,23
MAPK10,MAPK6,2
MAPK10,MAPK3,28
MAPK10,MAPK11,26
MAPK10,MAPK13,4
MAPK10,MAPK4,2
MAPK13,MAPK1,11
MAPK13,MAPK14,16
MAPK13,MAPK15,2
MAPK13,MAPK12,16
MAPK13,MAPK9,3
MAPK13,MAPK8,8
MAPK13,MAPK7,6
MAPK13,MAPK6,2
MAPK13,MAPK3,11
MAPK13,MAPK11,16
MAPK13,MAPK10,4
MAPK13,MAPK4,3
MAPK4,MAPK1,4
MAPK4,MAPK14,2
MAPK4,MAPK15,2
MAPK4,MAPK12,3
MAPK4,MAPK9,1
MAPK4,MAPK8,3
MAPK4,MAPK7,2
MAPK4,MAPK6,4
MAPK4,MAPK3,4
MAPK4,MAPK11,3
MAPK4,MAPK10,2
MAPK4,MAPK13,3
PRKCB,STAT3,7
MAPKAP1,STAT3,10
MAPKAP1,MLST8,37
MAPKAP1,RICTOR,37
MAPKAP1,MTOR,36
RICTOR,STAT3,10
RICTOR,MAPKAP1,37
RICTOR,MLST8,37
RICTOR,MTOR,36
JAK2,STAT3,22
DUSP2,STAT3,12
DUSP2,PTPRC,5
DUSP2,PTPRT,1
DUSP2,PTPRD,2
PTPRC,STAT3,5
PTPRC,DUSP2,5
PTPRC,PTPRT,1
PTPRC,PTPRD,2
PTPRT,STAT3,3
PTPRT,DUSP2,1
PTPRT,PTPRC,1
PTPRT,PTPRD,1
CSF2RB,JAK2,55
CSF2RB,CSF2RA,63
CSF2RB,IL3RA,54
CSF2RB,IL5RA,53
IL3RA,JAK2,53
IL3RA,CSF2RB,54
PIAS3,STAT3,3
CSF2RA,JAK2,54
CSF2RA,CSF2RB,63
MPL,JAK2,4
MPL,TYK2,2
GHR,JAK2,9
GHR,TYK2,4
CSF3R,JAK2,6
CSF3R,TYK2,5
IL7R,JAK3,8
IL7R,JAK1,5
IL7R,IL2RG,6
IL2RG,JAK3,56
IL2RG,JAK1,55
IL2RG,IL21R,2
IL2RG,IL9R,4
IL2RG,IL2RA,55
IL2RG,IL2RB,54
IL2RG,IL15RA,4
IL2RG,IL7R,6
IL2RA,JAK3,54
IL2RA,JAK1,54
IL2RA,IL2RB,55
IL2RA,IL2RG,55
IL2RB,JAK3,53
IL2RB,JAK1,54
IL2RB,IL2RA,55
IL2RB,IL2RG,54
IL2RB,IL15RA,4
IL9R,JAK3,4
IL9R,JAK1,4
IL9R,IL2RG,4
IL21R,JAK3,3
IL21R,JAK1,2
IL21R,IL2RG,2
IL15RA,JAK1,4
IL15RA,JAK3,4
IL15RA,IL2RB,4
IL15RA,IL2RG,4
IL6ST,TYK2,13
IL6ST,JAK1,15
IL6ST,JAK2,16
IL6ST,LIFR,9
IL6ST,CNTFR,7
IL6ST,IL27RA,6
IL6ST,OSMR,6
IL6ST,IL12RB2,6
IL6ST,IL6R,16
IL6ST,IL11RA,7
IL6ST,CTF1,6
IFNAR1,JAK1,6
IFNAR1,TYK2,6
IFNAR1,IFNAR2,6
IFNAR2,JAK1,6
IFNAR2,TYK2,7
IFNAR2,IFNAR1,6
IFNGR1,JAK1,8
IFNGR1,JAK2,9
IFNGR1,TYK2,5
IFNGR1,IFNGR2,8
IFNGR2,JAK1,7
IFNGR2,JAK2,8
IFNGR2,TYK2,5
IFNGR2,IFNGR1,8
IL10RA,JAK1,5
IL10RA,JAK2,6
IL10RA,TYK2,6
IL10RA,IL10RB,8
IL10RB,JAK1,5
IL10RB,JAK2,6
IL10RB,TYK2,6
IL10RB,IFNLR1,4
IL10RB,IL10RA,8
IL10RB,IL22RA1,5
IL20RB,JAK1,4
IL20RB,JAK2,4
IL20RB,TYK2,4
IL20RB,IL20RA,5
IL20RB,IL22RA1,5
IL20RA,JAK1,4
IL20RA,JAK2,5
IL20RA,TYK2,4
IL20RA,IL20RB,5
IL22RA1,JAK1,5
IL22RA1,JAK2,5
IL22RA1,TYK2,4
IL22RA1,IL10RB,5
IL22RA1,IL20RB,5
IFNLR1,JAK1,4
IFNLR1,JAK2,4
IFNLR1,TYK2,6
IFNLR1,IL10RB,4
EGFR,JAK1,49
EGFR,JAK2,54
EGFR,SRC,68
PDGFRB,JAK1,48
PDGFRB,JAK2,52
PDGFRB,SRC,60
PDGFRB,PDGFRA,61
PDGFRA,JAK1,47
PDGFRA,JAK2,50
PDGFRA,SRC,59
PDGFRA,PDGFRB,61
AGTR1,JAK2,7
AGTR1,F2RL3,9
AGTR1,F2RL2,10
AGTR1,AGTR2,7
AGTR1,F2R,9
F2RL3,JAK2,8
F2RL3,AGTR1,9
F2RL3,F2RL2,13
F2RL3,AGTR2,8
F2RL3,F2R,12
F2RL2,JAK2,8
F2RL2,AGTR1,10
F2RL2,F2RL3,13
F2RL2,AGTR2,8
F2RL2,F2R,12
AGTR2,JAK2,5
AGTR2,AGTR1,7
AGTR2,F2RL3,8
AGTR2,F2RL2,8
AGTR2,F2R,9
F2R,JAK2,7
F2R,AGTR1,9
F2R,F2RL3,12
F2R,F2RL2,12
F2R,AGTR2,9
TRIM28,STAT3,3
SETD7,STAT3,1
CREBBP,STAT3,11
LIFR,IL6ST,9
CNTFR,IL6ST,7
IL27RA,IL6ST,6
OSMR,IL6ST,6
IL12RB2,IL6ST,6
IL6R,IL6ST,16
IL11RA,IL6ST,7
CTF1,IL6ST,6
IL5RA,CSF2RB,53
