source_node,target_node,num_paths
IL9R,JAK3,4
IL9R,JAK1,4
IL21R,JAK3,3
IL21R,JAK1,2
IL15RA,JAK1,4
IL15RA,JAK3,4
IL6ST,TYK2,13
IL6ST,JAK1,15
IL6ST,JAK2,16
IL6ST,LIFR,9
IL2RA,IL2RB,55
IL2RB,IL15RA,4
IL6ST,CNTFR,7
IL6ST,IL12RB2,6
IL6ST,IL6R,16
IL6ST,IL11RA,7
IL6ST,CTF1,6
IFNAR1,JAK1,6
IFNAR1,TYK2,6
IFNAR1,IFNAR2,6
IFNAR2,JAK1,6
IFNAR2,TYK2,7
IFNGR1,JAK1,8
IL2RB,JAK1,54
IL6ST,IL27RA,6
IL6ST,OSMR,6
IFNGR1,TYK2,5
IFNGR1,JAK2,9
IL2RA,JAK1,54
IL3RA,JAK2,53
PIAS3,STAT3,3
CSF2RA,JAK2,54
MPL,JAK2,4
MPL,TYK2,2
GHR,JAK2,9
GHR,TYK2,4
CSF3R,JAK2,6
IL2RB,JAK3,53
CSF3R,TYK2,5
IL7R,IL2RG,6
IL2RG,JAK3,56
IL2RG,JAK1,55
IL2RG,IL21R,2
IL2RG,IL9R,4
IL2RG,IL2RA,55
IL2RG,IL2RB,54
IL2RG,IL15RA,4
IL2RA,JAK3,54
IL7R,JAK3,8
IL7R,JAK1,5
CSF2RB,IL5RA,53
IFNGR1,IFNGR2,8
IFNGR2,TYK2,5
PDGFRB,JAK1,48
PDGFRB,JAK2,52
PDGFRB,SRC,60
PDGFRB,PDGFRA,61
PDGFRA,JAK1,47
PDGFRA,JAK2,50
PDGFRA,SRC,59
AGTR1,JAK2,7
AGTR1,F2RL3,9
EGFR,JAK2,54
EGFR,SRC,68
AGTR1,F2RL2,10
F2RL3,JAK2,8
F2RL3,F2RL2,13
F2RL3,AGTR2,8
F2RL3,F2R,12
F2RL2,JAK2,8
F2RL2,AGTR2,8
F2RL2,F2R,12
AGTR2,JAK2,5
AGTR2,F2R,9
F2R,JAK2,7
TRIM28,STAT3,3
AGTR1,AGTR2,7
AGTR1,F2R,9
IFNGR2,JAK1,7
EGFR,JAK1,49
IFNLR1,JAK2,4
IL10RA,JAK1,5
IL10RA,JAK2,6
IL10RA,TYK2,6
IL10RA,IL10RB,8
IL10RB,JAK1,5
IL10RB,JAK2,6
IL10RB,TYK2,6
IL10RB,IFNLR1,4
IFNLR1,TYK2,6
IL10RB,IL22RA1,5
IL20RB,JAK2,4
IL20RB,TYK2,4
IL20RB,IL20RA,5
IL20RB,IL22RA1,5
IL20RA,JAK1,4
IL20RA,JAK2,5
IL20RA,TYK2,4
IL22RA1,JAK1,5
IL22RA1,JAK2,5
IL22RA1,TYK2,4
IFNLR1,JAK1,4
IFNGR2,JAK2,8
IL20RB,JAK1,4
CREBBP,STAT3,11
SETD7,STAT3,1
PRKCB,STAT3,7
MAPK1,MAPK12,12
MAPK1,MAPK9,30
MAPK1,MAPK8,36
MAPK1,MAPK7,36
MAPK1,MAPK6,3
MAPK1,MAPK3,147
MAPK1,MAPK11,37
MAPK1,MAPK10,28
MAPK1,MAPK13,11
MAPK1,MAPK4,4
MAPK14,MAPK15,1
MAPK14,MAPK12,20
MAPK14,MAPK8,31
MAPK15,MAPK3,2
MAPK14,MAPK7,29
MAPK14,MAPK6,2
MAPK14,MAPK3,42
MAPK14,MAPK11,53
MAPK14,MAPK10,25
MAPK14,MAPK13,16
MAPK14,MAPK4,2
MAPK15,MAPK12,2
MAPK15,MAPK9,1
MAPK15,MAPK8,2
MAPK15,MAPK7,1
MAPK15,MAPK6,1
MAPK1,MAPK15,2
MAPK14,MAPK9,26
MAPK1,MAPK14,42
MLST8,DEPTOR,1
STAT3,STMN1,7
SOCS3,JAK2,15
SOCS3,JAK1,15
SOCS3,TYK2,11
PTPRD,STAT3,2
PTPRD,DUSP2,2
PTPRD,PTPRC,2
PTPRD,PTPRT,1
MLST8,STAT3,11
MLST8,MTOR,52
